site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,rainy_days,heavy_rain_days,frost_days,storm_days,bike_crash_count_1km,bike_crash_happened_1km,month_sin,month_cos
1,2019,8,2976,2976,43.0,45.0,2.12869623655914,1.9422043010752688,0.0,0.0,6335.0,5780.0,1121,1134,241,21.03692946058091,10.4,32.2,66.03399140248963,4.3,4.3,0.0,38.79253112033195,7.684303661410788,0.0,3.51331843620502,8,0,0,0,1.0,1,-0.8660254037844385,-0.5000000000000004
1,2019,9,2880,2880,73.0,45.0,2.451041666666667,2.0909722222222222,0.0,0.0,7059.0,6022.0,1103,1109,720,15.374583333333334,6.1,25.8,73.17893493194444,56.8,56.8,0.0,59.31805555555555,14.673562786944444,3.0,3.51331843620502,134,0,0,0,0.0,0,-1.0,-1.8369701987210297e-16
1,2019,10,2976,2976,30.0,30.0,1.840725806451613,1.6935483870967742,0.0,0.0,5478.0,5040.0,1252,1289,744,12.40893817204301,0.7,23.6,82.47122202150537,113.6,113.6,0.0,80.63709677419355,16.540118407526883,3.0,3.51331843620502,186,1,0,0,0.0,0,-0.8660254037844386,0.5000000000000001
1,2019,11,2880,2880,32.0,25.0,1.4715277777777778,1.4552083333333334,0.0,0.0,4238.0,4191.0,1375,1365,720,6.553680555555555,-1.75,14.8,87.79495963055555,69.5,69.5,0.0,70.69305555555556,14.510999752222222,3.0,3.51331843620502,180,0,29,0,0.0,0,-0.5000000000000004,0.8660254037844384
1,2019,12,2976,2976,31.0,17.0,1.1794354838709677,1.095766129032258,0.0,0.0,3510.0,3261.0,1572,1583,744,5.832325268817204,-2.2,15.1,85.44804557526882,74.2,74.2,0.0,69.84543010752688,18.34630571061828,3.0,3.51331843620502,160,0,44,0,0.0,0,-2.4492935982947064e-16,1.0
1,2020,1,2976,2976,51.0,46.0,1.4163306451612903,1.3958333333333333,0.0,0.0,4215.0,4154.0,1449,1401,744,5.835887096774193,-2.05,13.0,87.11981076075269,37.2,37.2,0.0,72.33602150537635,17.26306297747312,3.0,3.51331843620502,134,0,49,0,0.0,0,0.49999999999999994,0.8660254037844387
1,2020,2,2784,2784,18.0,18.0,1.1767241379310345,1.1458333333333333,0.0,0.0,3276.0,3190.0,1495,1466,696,7.131321839080459,-1.65,16.25,78.9115035933908,132.4,127.10000006,3.70999998,74.05172413793103,25.13964558071839,3.0,3.51331843620502,237,0,9,10,0.0,0,0.8660254037844386,0.5000000000000001
1,2020,3,2972,2972,33.0,31.0,1.7752355316285329,1.721399730820996,0.0,0.0,5276.0,5116.0,1408,1351,744,6.795631720430107,-2.55,15.65,73.45239930107526,71.4,71.3,0.07,53.70161290322581,17.758615599731183,0.0,3.51331843620502,172,0,18,0,0.0,0,1.0,6.123233995736766e-17
1,2020,4,2880,2880,69.0,99.0,3.50625,3.5059027777777776,0.0,0.0,10098.0,10097.0,1124,1083,720,11.905208333333333,-2.7,23.45,61.930925325000004,13.8,13.8,0.0,36.69305555555555,12.20446331111111,0.0,3.51331843620502,45,0,11,0,0.0,0,0.8660254037844387,-0.4999999999999998
1,2020,5,2976,2976,40.0,45.0,3.401545698924731,3.319220430107527,0.0,0.0,10123.0,9878.0,1022,980,744,13.853091397849463,2.0,26.25,60.123654782258065,14.6,14.6,0.0,48.045698924731184,12.670380579946237,0.0,3.51331843620502,60,0,0,0,0.0,0,0.49999999999999994,-0.8660254037844387
