crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL
78,3,Brasschaat 1,Brasschaat,51.27503,4.47222,0.3993145607615659,51.278005023489335,4.475435212618602,2017,1,15,11008,Brasschaat,Regenval,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets
78,2,Brasschaat 2,Brasschaat,51.27512,4.47169,0.4132558135332935,51.278005023489335,4.475435212618602,2017,1,15,11008,Brasschaat,Regenval,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets
118,110,Herentals totem,Herentals,51.1739426,4.811783,0.7027206034614598,51.18017619547184,4.813441551292066,2017,1,12,13011,Herentals,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets
118,94,Herentals teller 2,Herentals,51.17345,4.81283,0.74913282137624,51.18017619547184,4.813441551292066,2017,1,12,13011,Herentals,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets
122,45,Pelt teller 1,Pelt,51.23127,5.44377,0.971682172016907,51.232667426635,5.42999402108764,2017,1,10,72043,Pelt,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
122,46,Pelt teller 2,Pelt,51.231,5.44375,0.9755684412131677,51.232667426635,5.42999402108764,2017,1,10,72043,Pelt,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
135,25,Bree,Bree,51.13679500160176,5.597669323604317,0.28594037088357077,51.13907135257048,5.5957628264363555,2017,1,10,72004,Bree,Sneeuwval,"Ijzel, sneeuw",Dag,met lichtgewonden,3,Fiets,11,een weggebruiker tegen een hindernis
136,151,Leuven,District Leuven,50.8690262,4.6854839,0.9945394233734225,50.8629816031238,4.695929211003067,2017,1,17,24062,Leuven,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,6,Bromfiets
140,69,Leuven teller 1,Leuven,50.87549,4.71526,0.9740730149182517,50.87220435054805,4.702391312392832,2017,1,15,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
140,144,test leuven,Leuven,50.875576,4.7153726,0.9850006865263401,50.87220435054805,4.702391312392832,2017,1,15,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
141,69,Leuven teller 1,Leuven,50.87549,4.71526,0.5181277321978882,50.87250373304537,4.720928412543435,2017,1,12,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
141,144,test leuven,Leuven,50.875576,4.7153726,0.518339498266192,50.87250373304537,4.720928412543435,2017,1,12,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
144,69,Leuven teller 1,Leuven,50.87549,4.71526,0.7210048640821133,50.87319276484092,4.70565088503165,2017,1,7,24062,Leuven,Regenval,"Nat, plassen",Dageraad - schemering,met lichtgewonden,8,Voetganger,3,Fiets
144,144,test leuven,Leuven,50.875576,4.7153726,0.7318062998183799,50.87319276484092,4.70565088503165,2017,1,7,24062,Leuven,Regenval,"Nat, plassen",Dageraad - schemering,met lichtgewonden,8,Voetganger,3,Fiets
145,77,Leuven teller 2,Leuven,50.88672,4.70796,0.45790435732223544,50.88278071837383,4.706057733914377,2017,1,10,24062,Leuven,Regenval,"Nat, plassen",Dag,met lichtgewonden,6,Bromfiets,3,Fiets
