iter	Logloss
0	0.6898549345
1	0.6866771058
2	0.683168402
3	0.6804808942
4	0.6783767241
5	0.6744122874
6	0.6709017952
7	0.6686377336
8	0.6655389987
9	0.6620781776
10	0.659721725
11	0.6570818699
12	0.6552756453
13	0.6537266933
14	0.6510942584
15	0.6478036242
16	0.6460227863
17	0.6442836856
18	0.6428777238
19	0.6409208895
20	0.6376375132
21	0.6353616485
22	0.6322220714
23	0.6301192183
24	0.6280452281
25	0.6265429104
26	0.6244431876
27	0.6225585858
28	0.620760579
29	0.6183710665
30	0.6160641658
31	0.6147465937
32	0.6131945398
33	0.611708027
34	0.6099416939
35	0.608009609
36	0.6056775155
37	0.6042244945
38	0.6033648765
39	0.6021677926
40	0.6005660201
41	0.5993136825
42	0.5977194106
43	0.5961891553
44	0.594212909
45	0.5924893225
46	0.590547351
47	0.58915624
48	0.5877876864
49	0.5864611797
50	0.5856009463
51	0.5842167379
52	0.5835618194
53	0.5826194971
54	0.5815607859
55	0.5797576263
56	0.5787748955
57	0.5774611109
58	0.5763909063
59	0.5752382821
60	0.5740937607
61	0.5723106214
62	0.5716804383
63	0.5705031165
64	0.569850603
65	0.5688428979
66	0.567582714
67	0.5669848009
68	0.5656838263
69	0.5645771831
70	0.5640400252
71	0.5632785771
72	0.5617113397
73	0.5610537484
74	0.5597863221
75	0.5584632182
76	0.5573445959
77	0.5570264066
78	0.5563169092
79	0.5556610038
80	0.5548555224
81	0.5537012636
82	0.5524646615
83	0.5518055822
84	0.5505610129
85	0.5499298305
86	0.549350231
87	0.5483000586
88	0.5474804147
89	0.5465365457
90	0.5459623037
91	0.5453514275
92	0.5448100593
93	0.544247938
94	0.5434113931
95	0.5426874108
96	0.5422387352
97	0.5418697447
98	0.5414320736
99	0.5405665226
100	0.5397347658
101	0.5390460332
102	0.5387203332
103	0.5382749135
104	0.5379811722
105	0.5373147411
106	0.5368842332
107	0.5366301228
108	0.5359121883
109	0.5355454824
110	0.534917829
111	0.5345257896
112	0.5340830301
113	0.5337428478
114	0.5333973302
115	0.5326495625
116	0.53180604
117	0.5310786126
118	0.5306244771
119	0.5303558096
120	0.5300596944
121	0.5295683804
122	0.5289813268
123	0.5285646148
124	0.5282142231
125	0.5279570541
126	0.5273303293
127	0.5269259025
128	0.5266518197
129	0.5263913973
130	0.5259321297
131	0.525643372
132	0.5251945915
133	0.5250812908
134	0.5248124988
135	0.524519034
136	0.5243330871
137	0.5238568784
138	0.5236699034
139	0.5233900621
140	0.5232227643
141	0.5225969032
142	0.522288942
143	0.5221050543
144	0.5215628479
145	0.5213893183
146	0.5212470281
147	0.5206815223
148	0.5202310963
149	0.5198564872
150	0.5194080075
151	0.5190127609
152	0.5186437542
153	0.5184408641
154	0.5181092447
155	0.5176754377
156	0.5171705442
157	0.5170173678
158	0.5168666926
159	0.5164143694
160	0.5163403241
161	0.5161538889
162	0.5158115786
163	0.5153876202
164	0.5152327414
165	0.5149062728
166	0.5145872139
167	0.5141826444
168	0.5140416952
169	0.5135872038
170	0.5132760895
171	0.5129286242
172	0.5128251522
173	0.5124512451
174	0.5122257753
175	0.5119897527
176	0.5118839862
177	0.5118118209
178	0.5113852022
179	0.5110803349
180	0.5109657837
181	0.5105982248
182	0.5103829475
183	0.5102194818
184	0.5098963502
185	0.5095914534
186	0.5094442652
187	0.5090396735
188	0.5087021765
189	0.5084866409
190	0.5081386129
191	0.5080029416
192	0.5078817186
193	0.5078184932
194	0.507728353
195	0.5076250664
196	0.5074800013
197	0.5072707911
198	0.5071937712
199	0.5068343283
200	0.5067088446
201	0.5066201924
202	0.5062417345
203	0.5058592001
204	0.5056180283
205	0.5052341059
206	0.5051471333
207	0.505060508
208	0.5049723619
209	0.5046867646
210	0.5046400665
211	0.504506571
212	0.504411932
213	0.5040619278
214	0.5039917479
215	0.5038302119
216	0.5036242088
217	0.5033345607
218	0.5032551925
219	0.5031014131
220	0.502851735
221	0.5025893017
222	0.5024910129
223	0.5024178792
224	0.5023600145
225	0.5022417486
226	0.5021152831
227	0.5018523937
228	0.5017152963
229	0.501484792
230	0.5013493202
231	0.5013169712
232	0.5011433402
233	0.5009809303
234	0.5009031035
235	0.5007550934
236	0.5006256009
237	0.500372428
238	0.5002873968
239	0.5001623633
240	0.5000934679
241	0.5000137912
242	0.4999386563
243	0.4997241832
244	0.4995666822
245	0.4994757594
246	0.4993046655
247	0.4991883667
248	0.4990934283
249	0.4990368045
250	0.4990051764
251	0.4988318185
252	0.4986905248
253	0.4986063531
254	0.4984342668
255	0.498302617
256	0.4981668592
257	0.4980982531
258	0.4979718997
259	0.4978257636
260	0.497737146
261	0.4976167917
262	0.4975212441
263	0.4974188267
264	0.4972739574
265	0.4972203026
266	0.4971558756
267	0.4970435003
268	0.4969702866
269	0.4968948065
270	0.4966726199
271	0.4965947628
272	0.4965511885
273	0.4964970647
274	0.4964274472
275	0.4964100737
276	0.4963456537
277	0.4962625087
278	0.4961817241
279	0.4960451337
280	0.4959686288
281	0.4958865075
282	0.4956363423
283	0.4955079997
284	0.4954608683
285	0.4952391942
286	0.4952122224
287	0.4950481196
288	0.4949664642
289	0.4948131027
290	0.494759223
291	0.4946903904
292	0.4946207312
293	0.4945584439
294	0.4943991863
295	0.4942894036
296	0.4942454711
297	0.4942028528
298	0.4939674273
299	0.4939179704
300	0.4936752384
301	0.4935649522
302	0.4935024884
303	0.4934319316
304	0.4932139165
305	0.493148618
306	0.4931153231
307	0.4929754531
308	0.4928923201
309	0.4927876307
310	0.4927450007
311	0.4926652251
312	0.4926305517
313	0.4925725896
314	0.4923660686
315	0.4922627452
316	0.4922154358
317	0.4920719148
318	0.4919776867
319	0.4918812271
320	0.491807003
321	0.491784497
322	0.491726561
323	0.4916164518
324	0.4915999884
325	0.4914516208
326	0.4913830233
327	0.4913044385
328	0.4912949262
329	0.4912456311
330	0.4912455241
331	0.4910924908
332	0.4910405181
333	0.4909769773
334	0.4908810563
335	0.4908229974
336	0.4908229143
337	0.4907798664
338	0.4907206559
339	0.4906232706
340	0.4905798661
341	0.4904395001
342	0.4903366393
343	0.490303657
344	0.4900918397
345	0.4900613046
346	0.489989693
347	0.4898961052
348	0.4897444483
349	0.4896847095
350	0.4895730558
351	0.4895572869
352	0.4894244831
353	0.4893437952
354	0.4891949257
355	0.489111121
356	0.4890682719
357	0.489013509
358	0.4888792027
359	0.4888389917
360	0.4888186144
361	0.4887485836
362	0.4886546162
363	0.4886429475
364	0.4885028181
365	0.488390976
366	0.4883265373
367	0.4882546857
368	0.4882071329
369	0.4880980478
370	0.4880094282
371	0.4878943351
372	0.4878269739
