iter	Passed	Remaining
310	9249	14126
311	9285	14107
312	9413	14225
313	9537	14337
314	9598	14351
315	9663	14373
316	9720	14380
317	9836	14476
318	9965	14588
319	10092	14697
320	10122	14663
321	10148	14623
322	10181	14594
323	10207	14555
324	10235	14518
325	10260	14477
326	10287	14440
327	10322	14413
328	10358	14388
329	10385	14350
330	10409	14309
331	10437	14273
332	10466	14238
333	10494	14201
334	10521	14164
335	10548	14127
336	10579	14095
337	10605	14056
338	10631	14018
339	10661	13984
340	10688	13948
341	10713	13908
342	10740	13871
343	10768	13836
344	10797	13801
345	10824	13764
346	10853	13731
347	10884	13699
348	11029	13810
349	11200	13952
350	11309	14015
351	11390	14043
352	11509	14117
353	11649	14216
354	11735	14247
355	11829	14288
356	11947	14357
357	12014	14363
358	12061	14345
359	12103	14322
360	12149	14303
361	12209	14300
362	12279	14309
363	12316	14279
364	12354	14249
365	12396	14225
366	12430	14191
367	12466	14160
368	12503	14129
369	12535	14094
370	12567	14058
371	12609	14032
372	12650	14007
373	12685	13974
374	12729	13951
375	12768	13923
376	12807	13895
377	12853	13873
378	12893	13846
379	12931	13815
380	12976	13793
381	13017	13766
382	13066	13748
383	13104	13719
384	13143	13689
385	13179	13657
386	13213	13623
387	13241	13582
388	13275	13549
389	13313	13518
390	13346	13482
391	13388	13457
392	13424	13424
393	13454	13386
394	13495	13358
395	13529	13324
396	13563	13290
397	13599	13257
398	13635	13225
399	13700	13220
400	13748	13200
401	14107	13475
402	14164	13461
403	14266	13489
404	14309	13461
405	14351	13432
406	14381	13392
407	14414	13354
408	14448	13317
409	14472	13271
410	14498	13228
411	14527	13187
412	14553	13144
413	14583	13103
414	14608	13059
415	14633	13015
416	14659	12972
417	14686	12929
418	14713	12887
419	14740	12845
420	14784	12817
421	14820	12783
422	14849	12743
423	14877	12701
424	14902	12658
425	14933	12620
426	14961	12578
427	14988	12536
428	15017	12497
429	15048	12458
430	15075	12416
431	15100	12374
432	15130	12334
433	15155	12291
434	15188	12255
435	15215	12214
436	15245	12175
437	15272	12134
438	15300	12093
439	15331	12056
440	15363	12018
441	15390	11978
442	15416	11936
443	15442	11894
444	15468	11853
445	15496	11813
446	15523	11772
447	15551	11733
448	15578	11692
449	15608	11654
450	15634	11613
451	15666	11576
452	15694	11537
453	15723	11498
454	15751	11459
455	15781	11420
456	15809	11381
457	15833	11339
458	15833	11339
459	15932	11316
460	15973	11285
461	16048	11279
462	16193	11321
463	16249	11300
464	16295	11273
465	16344	11247
466	16382	11214
467	16437	11192
468	16466	11153
469	16513	11126
470	16544	11088
471	16727	11151
472	16755	11111
473	16782	11070
474	16816	11033
475	16849	10996
476	16892	10965
477	16936	10936
478	16997	10917
479	17040	10885
480	17121	10879
481	17190	10864
482	17223	10826
483	17281	10805
484	17326	10775
485	17352	10733
486	17377	10690
487	17402	10648
488	17432	10609
489	17499	10593
490	17565	10575
491	17622	10551
492	17670	10523
493	17738	10506
494	17782	10474
495	17816	10438
496	17859	10405
497	17923	10386
498	17986	10365
499	18018	10327
500	18064	10297
501	18107	10264
502	18140	10226
503	18181	10193
504	18224	10160
505	18276	10133
506	18305	10093
507	18351	10062
508	18466	10069
509	18522	10043
510	18549	10002
511	18592	9969
512	18623	9930
513	18659	9893
514	18685	9851
515	18714	9811
516	18767	9783
517	18807	9749
518	18827	9704
519	18863	9668
520	18884	9623
521	18955	9605
522	18982	9563
523	19026	9531
524	19053	9490
525	19071	9444
526	19105	9407
527	19139	9370
528	19179	9335
529	19229	9305
530	19253	9263
531	19322	9242
532	19352	9203
533	19383	9164
534	19421	9129
535	19458	9092
536	19496	9057
537	19559	9033
538	19628	9011
539	19674	8979
540	19724	8949
541	19771	8917
542	19805	8879
543	19840	8842
544	19875	8805
545	19913	8769
546	19944	8730
547	19988	8697
548	20025	8660
549	20073	8629
550	20111	8592
551	20182	8571
552	20229	8538
553	20258	8499
554	20301	8464
555	20331	8425
556	20447	8421
557	20476	8381
558	20505	8341
559	20537	8303
560	20578	8268
561	20603	8226
562	20627	8184
563	20658	8145
564	20684	8105
565	20711	8064
566	20738	8024
567	20763	7983
568	20790	7942
569	20812	7900
570	20839	7860
571	20865	7819
572	20886	7777
573	20917	7739
574	20942	7698
575	20966	7657
576	20988	7615
577	21014	7575
578	21041	7535
579	21067	7495
580	21092	7455
581	21123	7416
582	21156	7379
583	21228	7355
584	21271	7321
585	21308	7285
586	21338	7246
587	21369	7208
588	21437	7182
589	21463	7142
590	21493	7103
591	21522	7064
592	21577	7034
593	21616	6998
594	21705	6979
595	21778	6954
596	21832	6923
597	21935	6907
598	21970	6870
599	21992	6829
600	22014	6787
601	22034	6746
602	22055	6704
603	22075	6662
604	22096	6621
605	22121	6581
606	22142	6540
607	22166	6500
608	22188	6459
609	22208	6418
610	22229	6377
611	22250	6336
612	22272	6295
613	22292	6254
614	22311	6213
615	22334	6173
616	22354	6132
617	22374	6092
618	22397	6052
619	22416	6011
620	22434	5970
621	22452	5929
622	22472	5889
623	22493	5849
624	22513	5808
625	22532	5768
626	22551	5728
627	22571	5687
628	22589	5647
629	22608	5607
630	22628	5567
631	22647	5527
632	22669	5487
633	22692	5449
634	22711	5409
635	22739	5371
636	22760	5332
637	22778	5292
638	22796	5252
639	22815	5212
640	22834	5173
641	22852	5133
642	22871	5094
643	22889	5054
644	22920	5018
645	22942	4979
646	22965	4941
647	22988	4903
648	23021	4867
649	23050	4830
650	23075	4792
651	23108	4756
652	23129	4718
653	23149	4679
654	23168	4640
655	23190	4602
656	23213	4564
657	23234	4526
658	23257	4488
659	23279	4450
660	23298	4412
661	23317	4374
662	23336	4335
663	23356	4297
664	23380	4260
665	23402	4223
666	23423	4185
667	23459	4150
668	23509	4117
669	23534	4080
670	23552	4042
671	23578	4005
672	23596	3967
673	23618	3930
674	23638	3892
675	23656	3855
676	23677	3817
677	23697	3780
678	23716	3742
679	23736	3705
680	23759	3668
681	23780	3631
682	23801	3594
683	23825	3558
684	23844	3520
685	23864	3483
686	23884	3446
687	23903	3409
688	23923	3372
689	23942	3335
690	23961	3298
691	23992	3263
692	24012	3227
693	24034	3190
694	24055	3154
695	24075	3117
696	24098	3081
697	24121	3045
698	24144	3009
699	24168	2973
700	24189	2937
701	24209	2901
702	24229	2864
703	24249	2828
704	24272	2792
705	24294	2756
706	24320	2721
707	24342	2685
708	24366	2650
709	24387	2614
710	24412	2578
711	24436	2543
712	24491	2511
713	24514	2475
714	24538	2440
715	24559	2404
716	24589	2369
717	24616	2334
718	24658	2301
719	24687	2266
720	24716	2231
721	24740	2196
722	24766	2161
723	24791	2125
724	24814	2090
725	24839	2055
726	24863	2020
727	24887	1985
728	24911	1950
729	24933	1915
730	24963	1880
731	24990	1846
732	25019	1811
733	25042	1776
734	25070	1741
735	25092	1706
736	25112	1671
737	25133	1636
738	25154	1601
739	25174	1567
740	25194	1532
741	25214	1497
742	25234	1462
743	25255	1427
744	25276	1392
745	25296	1358
746	25317	1323
747	25338	1288
748	25359	1254
749	25381	1219
750	25402	1185
751	25424	1151
752	25445	1116
753	25468	1082
754	25493	1048
755	25515	1013
756	25535	979
757	25553	945
758	25571	910
759	25589	876
760	25607	842
761	25626	808
762	25646	774
763	25665	740
764	25682	705
765	25700	671
766	25724	638
767	25743	604
768	25761	570
769	25781	536
770	25800	502
771	25818	468
772	25838	435
773	25856	401
774	25875	367
775	25895	334
776	25914	300
777	25933	267
778	25953	233
779	25971	200
780	25991	166
781	26009	133
782	26028	99
783	26050	66
784	26068	33
785	26086	0
