group_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,group_name,gemeente,lat,long,member_site_count,member_site_ids,historical_risk_rank
34,62,57.0,0.9193548387096774,298466.0,4813.967741935484,0.5483870967741935,1.9097652663955023,1.8263758418573441,Genk,Genk,50.97172,5.48927,1,14,1
38,28,4.0,0.14285714285714285,33608.0,1200.2857142857142,0.14285714285714285,1.19019281123542,0.88624911042891,St. pieters leeuw teller 2,Halle,50.75509,4.24943,1,105,2
82,28,4.0,0.14285714285714285,41229.0,1472.4642857142858,0.14285714285714285,0.9701908850566349,0.7674172745709161,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,50.75533,4.24951,1,106,3
54,29,38.0,1.3103448275862069,531142.0,18315.241379310344,0.6896551724137931,0.7154395623016068,0.7016327910873872,Kortrijk teller 1,Kortrijk,50.81917,3.257295,2,"74,75",4
58,29,128.0,4.413793103448276,1993799.0,68751.68965517242,1.0,0.6419904915189545,0.6388042641143842,test leuven,Leuven,50.875533,4.7153163,2,"69,144",5
67,31,17.0,0.5483870967741935,273743.0,8830.41935483871,0.3870967741935484,0.6210204461849252,0.6000248118410461,Maasmechelen teller 1,Maasmechelen,50.97034,5.6980450000000005,2,"41,42",6
7,29,4.0,0.13793103448275862,67022.0,2311.103448275862,0.06896551724137931,0.5968189549700098,0.5278689992608595,Asse teller 2,Asse,50.89132,4.1709,1,86,7
14,54,48.0,0.8888888888888888,914241.0,16930.38888888889,0.5925925925925926,0.5250256770370176,0.5201036074584376,Bree,Bree,51.13679500160176,5.597669323604317,1,25,8
53,62,119.0,1.9193548387096775,2543349.0,41021.75806451613,0.8548387096774194,0.46788702612185745,0.46644701185675197,Kortrijk 1,Kortrijk,50.833355,3.27775,2,"16,17",9
35,62,64.0,1.032258064516129,1368476.0,22072.1935483871,0.6290322580645161,0.46767352880138197,0.4650135734801051,Gent,Gent,51.03018,3.70146,1,13,10
31,62,50.0,0.8064516129032258,1099130.0,17727.90322580645,0.5483870967741935,0.45490524323783355,0.45178136338111985,Evergem 2,Evergem,51.10892,3.703075,2,"6,7",11
80,31,19.0,0.6129032258064516,413416.0,13336.0,0.41935483870967744,0.4595855022543878,0.4512984208207793,Pelt teller 1,Pelt,51.231135,5.443759999999999,2,"45,46",12
24,28,20.0,0.7142857142857143,463990.0,16571.071428571428,0.6071428571428571,0.4310437724950969,0.4245594582623266,Diest teller 1,Diest,50.977945,5.044775,2,"101,102",13
39,26,15.0,0.5769230769230769,359530.0,13828.076923076924,0.4230769230769231,0.4172113592746085,0.40949697070128627,Hamme totem,Hamme,51.1017709,4.1469307,1,126,14
41,19,42.0,2.210526315789474,1094415.0,57600.78947368421,0.7368421052631579,0.38376666986472224,0.3816298297679504,Hasselt ring,Hasselt,50.9300038,5.3438616,1,140,15
74,27,2.0,0.07407407407407407,48309.0,1789.2222222222222,0.07407407407407407,0.4140015318056677,0.3695088096909993,Deinze teller 1,Nazareth,50.9598305,3.555502,1,114,16
48,20,10.0,0.5,267754.0,13387.7,0.4,0.37347714693337913,0.36567322543887937,Houthalen-Helchteren,Houthalen-Helchteren,51.0644267,5.3819796,1,139,17
6,29,3.0,0.10344827586206896,79654.0,2746.689655172414,0.06896551724137931,0.3766289200793432,0.35289940263403174,Asse teller 1,Asse,50.89621,4.17294,1,85,18
16,30,27.0,0.9,794678.0,26489.266666666666,0.43333333333333335,0.339760255097033,0.33768065905506817,Brugge,Brugge,51.22632,3.24095,1,52,19
4,29,7.0,0.2413793103448276,205247.0,7077.482758620689,0.2413793103448276,0.3410524879778998,0.33333142866455423,Ardooie teller 1,Ardooie,50.967835,3.18445,2,"59,60",20
85,29,10.0,0.3448275862068966,300816.0,10372.965517241379,0.3448275862068966,0.3324291261103133,0.3274654122655624,Torhout teller 1,Torhout,51.07154,3.082525,2,"55,56",21
78,62,74.0,1.1935483870967742,2322817.0,37464.790322580644,0.6612903225806451,0.31857869130456684,0.31799947415191315,Oostende 2,Oostende,51.213745,2.92754,2,"15,18",22
17,29,22.0,0.7586206896551724,706004.0,24344.96551724138,0.4827586206896552,0.3116129653656353,0.30988664878092387,Brugge teller 1,Brugge,51.23019,3.22809,2,"53,54",23
36,26,28.0,1.0769230769230769,963606.0,37061.769230769234,0.6153846153846154,0.29057519359572276,0.28963835742161137,Gent teller 1,Gent,51.02811425,3.76826385,2,"118,119",24
52,12,44.0,3.6666666666666665,1530083.0,127506.91666666667,1.0,0.28756609935539446,0.2870029882052301,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,1,143,25
2,27,15.0,0.5555555555555556,520736.0,19286.51851851852,0.48148148148148145,0.2880538315000307,0.2864168073755291,Aalter,Aalter,51.1058367,3.4350591,1,115,26
59,29,122.0,4.206896551724138,4263640.0,147022.06896551725,1.0,0.286140480903641,0.2859422815345789,leuven totem,Leuven,50.8868972,4.70837595,2,"77,107",27
22,26,52.0,2.0,1898419.0,73016.11538461539,0.9615384615384616,0.2739121342548721,0.27356873364851053,Dendermonde totem,Dendermonde,51.0373312,4.102261,2,"122,125",28
87,29,4.0,0.13793103448275862,145293.0,5010.103448275862,0.13793103448275862,0.27530576146132296,0.27108559798028264,Wemmel teller 1,Wemmel,50.914285,4.295695,2,"80,81",29
44,62,18.0,0.2903225806451613,666557.0,10750.91935483871,0.24193548387096775,0.27004442230746956,0.26916940147724333,Heist op den Berg 2,Heist-op-den-Berg,51.06904,4.69524,1,9,30
37,22,6.0,0.2727272727272727,228956.0,10407.09090909091,0.22727272727272727,0.26205908558849733,0.26012802080197434,Gent R4,Gent,51.0876313,3.7587918,1,136,31
72,27,12.0,0.4444444444444444,506773.0,18769.37037037037,0.4074074074074074,0.23679241001395102,0.23664329487821537,Melle teller 2,Melle,50.9986113,3.8040599,2,"116,117",32
43,62,13.0,0.20967741935483872,552929.0,8918.209677419354,0.20967741935483872,0.2351115604354266,0.2350206966883002,Heist op den Berg 1,Heist-op-den-Berg,51.06759,4.68823,1,8,33
92,27,8.0,0.2962962962962963,341529.0,12649.222222222223,0.2222222222222222,0.23424072333535367,0.23413413417360107,Zaventem totem,Zaventem,50.8871216,4.4597084,1,111,34
86,30,14.0,0.4666666666666667,621803.0,20726.766666666666,0.3333333333333333,0.22515169595514978,0.22531454067493992,Vilvoorde,Vilvoorde,50.91372,4.41497,1,47,35
18,2,4.0,2.0,184494.0,92247.0,1.0,0.2168092187279803,0.21797868264226808,TEST Validatie BRUGGE Y2H22022134,Brugge,51.22632,3.24095,1,142,36
10,25,5.0,0.2,233277.0,9331.08,0.16,0.2143374614728413,0.2154327164235138,Beveren teller 1,Beveren,51.19646335,4.2361924,2,"123,124",37
73,29,3.0,0.10344827586206896,144110.0,4969.310344827586,0.10344827586206896,0.2081743112899868,0.21048331497869344,Meulebeke teller 1,Meulebeke,50.960385,3.24481,2,"57,58",38
49,29,11.0,0.3793103448275862,538313.0,18562.51724137931,0.2413793103448276,0.20434208350903657,0.20511585006796892,Ieper,Ieper,50.85025,2.85616,2,"67,68",39
11,62,9.0,0.14516129032258066,462798.0,7464.4838709677415,0.12903225806451613,0.19446929329858814,0.19568730638781967,Bilzen,Bilzen,50.86015,5.50161,1,21,40
1,62,43.0,0.6935483870967742,2218996.0,35790.25806451613,0.5,0.19378133173741638,0.19404690151810958,Aalst 2,Aalst,50.93455666666667,4.015630000000001,3,"10,11,19",41
93,26,7.0,0.2692307692307692,369770.0,14221.923076923076,0.23076923076923078,0.1893068664304838,0.19102798766258225,Zele teller 1,Zele,51.0605869,4.055221850000001,2,"120,121",42
33,30,6.0,0.2,322550.0,10751.666666666666,0.2,0.18601767167880948,0.1881309484854719,Bokrijk,Genk,50.95264,5.41001,1,49,43
83,62,46.0,0.7419354838709677,2452323.0,39553.596774193546,0.532258064516129,0.1875772481846804,0.18785694795152316,Tienen 2,Tienen,50.81330918367914,4.935166168467146,3,"22,23,24",44
61,22,3.0,0.13636363636363635,163440.0,7429.090909090909,0.13636363636363635,0.18355359765051396,0.18775962570713772,Gierde lille,Lille,51.24541825,4.82981335,2,"132,133",45
62,26,8.0,0.3076923076923077,442636.0,17024.46153846154,0.2692307692307692,0.18073541239302723,0.1824748127766388,Lokeren teller 1,Lokeren,51.09628,3.97024,2,"128,129",46
70,29,25.0,0.8620689655172413,1410421.0,48635.206896551725,0.6206896551724138,0.17725204034823644,0.17784911135668963,Mechelen teller 1,Mechelen,51.04567,4.468825,2,"99,100",47
55,49,9.0,0.1836734693877551,516383.0,10538.42857142857,0.1836734693877551,0.17428923880143227,0.17597664500922375,Tervuren,Kraainem,50.81896,4.47803,1,12,48
51,29,10.0,0.3448275862068966,601536.0,20742.620689655174,0.27586206896551724,0.166241089477604,0.1678992186488326,Kampenhout teller 1,Kampenhout,50.956355,4.59241,2,"70,71",49
50,29,7.0,0.2413793103448276,434201.0,14972.448275862069,0.20689655172413793,0.16121565818595535,0.1636650167313595,Roeselare totem,Izegem,50.91717,3.18772,1,84,50
65,31,2.0,0.06451612903225806,141394.0,4561.096774193548,0.06451612903225806,0.14144871776737344,0.15043123098947117,Lummen,Lummen,50.979745,5.209485,2,"32,33",51
47,31,10.0,0.3225806451612903,680466.0,21950.516129032258,0.2903225806451613,0.14695811399834818,0.1488606167061492,Herk De Stad,Herk-de-Stad,50.9437,5.177205000000001,2,"30,31",52
64,31,7.0,0.22580645161290322,485274.0,15654.0,0.16129032258064516,0.14424840399444439,0.14697674473239622,Lommel teller 1,Lommel,51.23288,5.292,2,"37,38",53
21,23,3.0,0.13043478260869565,216777.0,9425.08695652174,0.13043478260869565,0.13839106547281307,0.14466513333845893,Nevele,Deinze,51.0276612,3.558569,1,131,54
71,39,5.0,0.1282051282051282,357134.0,9157.28205128205,0.1282051282051282,0.14000347208610772,0.14384750690738096,Grimbergen,Meise,50.92127,4.34013,1,27,55
32,29,8.0,0.27586206896551724,613915.0,21169.48275862069,0.20689655172413793,0.13031119943314629,0.13282757409917892,Geel teller 1,Geel,51.148115,4.996705,2,"97,98",56
5,30,7.0,0.23333333333333334,548107.0,18270.233333333334,0.2,0.127712289753643,0.13059438554275066,As,As,51.00509,5.60389,1,48,57
40,20,29.0,1.45,2260595.0,113029.75,0.75,0.1282848099725957,0.12899465243042832,Hasselt-Kempische brug,Hasselt,50.94084615,5.3420024,2,"137,138",58
75,29,20.0,0.6896551724137931,1614531.0,55673.48275862069,0.3793103448275862,0.12387498288976799,0.12490837707044362,Nieuwpoort totem,Nieuwpoort,51.134995,2.74329,2,"63,66",59
20,27,2.0,0.07407407407407407,182320.0,6752.592592592592,0.07407407407407407,0.10969723562966213,0.11932631906685721,Deinze teller 2,Deinze,50.96018,3.55578,1,113,60
8,62,6.0,0.0967741935483871,564886.0,9111.064516129032,0.0967741935483871,0.10621612148291867,0.10959290629527833,Balen 1,Balen,51.160205,5.19007,2,"4,5",61
9,29,1.0,0.034482758620689655,115069.0,3967.896551724138,0.034482758620689655,0.08690437911166343,0.10421135500315243,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83",62
60,29,5.0,0.1724137931034483,525403.0,18117.344827586207,0.13793103448275862,0.09516504473708753,0.09910709724917945,Lier teller 1,Lier,51.11696,4.584405,2,"95,96",63
88,29,8.0,0.27586206896551724,851823.0,29373.206896551725,0.2413793103448276,0.09391622437994748,0.09639732859992341,Wervik teller 2,Wervik,50.805675,3.09182,2,"61,62",64
76,29,23.0,0.7931034482758621,2571269.0,88664.44827586207,0.41379310344827586,0.08944999531359807,0.09030890691322818,Nieuwpoort teller 1,Nieuwpoort,51.13397,2.75624,2,"64,65",65
79,31,3.0,0.0967741935483871,356859.0,11511.58064516129,0.0967741935483871,0.08406681630559969,0.09025775226945827,Peer teller 1,Peer,51.134315,5.478545,2,"39,40",66
23,22,4.0,0.18181818181818182,470839.0,21401.772727272728,0.13636363636363635,0.08495472974838533,0.08966657109641729,Retie,Dessel,51.25467015,5.1038861,2,"134,135",67
46,29,8.0,0.27586206896551724,993072.0,34243.862068965514,0.2413793103448276,0.08055810656226337,0.0828984790956348,Herentals totem,Herentals,51.1736963,4.8123065,2,"94,110",68
12,62,20.0,0.3225806451612903,2445428.0,39442.3870967742,0.27419354838709675,0.08178527439777414,0.08273671655963837,Brasschaat 2,Brasschaat,51.275075,4.471955,2,"2,3",69
