group_id,group_name,gemeente,lat,long,member_site_count,member_site_ids,year,month,predicted_probability,predicted_label,forecast_risk_rank,risk_label
92,Zaventem totem,Zaventem,50.8871216,4.4597084,1,111,2024,11,0.14367374378707168,0,48,Lower risk
89,Geel totem,Westerlo,51.1348979,4.9397605,2,"112,127",2024,11,0.13738470654604226,0,49,Lower risk
32,Geel teller 1,Geel,51.148115,4.996705,2,"97,98",2024,11,0.1358974999571892,0,50,Lower risk
45,Herent teller 1,Herent,50.891315000000006,4.64687,2,"72,73",2024,11,0.13019119824000897,0,51,Lower risk
23,Retie,Dessel,51.25467015,5.1038861,2,"134,135",2024,11,0.12862897173170243,0,52,Lower risk
33,Bokrijk,Genk,50.95264,5.41001,1,49,2024,11,0.12809828891252537,0,53,Lower risk
4,Ardooie teller 1,Ardooie,50.967835,3.18445,2,"59,60",2024,11,0.12752393631065598,0,54,Lower risk
60,Lier teller 1,Lier,51.11696,4.584405,2,"95,96",2024,11,0.12748875084374803,0,55,Lower risk
50,Roeselare totem,Izegem,50.91717,3.18772,1,84,2024,11,0.1210213291629394,0,56,Lower risk
5,As,As,51.00509,5.60389,1,48,2024,11,0.11698130704542944,0,57,Lower risk
43,Heist op den Berg 1,Heist-op-den-Berg,51.06759,4.68823,1,8,2024,11,0.11599171436826713,0,58,Lower risk
66,Maaseik teller 1,Maaseik,51.093515,5.797205,2,"43,44",2024,11,0.11011738029132025,0,59,Lower risk
64,Lommel teller 1,Lommel,51.23288,5.292,2,"37,38",2024,11,0.10941228844710002,0,60,Lower risk
71,Grimbergen,Meise,50.92127,4.34013,1,27,2024,11,0.10871086882132096,0,61,Lower risk
3,Aarschot,Aarschot,50.99084,4.81259,1,87,2024,11,0.10697641156542052,0,62,Lower risk
91,Zaventem,Zaventem,50.86995,4.45444,1,26,2024,11,0.10593539692216719,0,63,Lower risk
61,Gierde lille,Lille,51.24541825,4.82981335,2,"132,133",2024,11,0.105201782133655,0,64,Lower risk
20,Deinze teller 2,Deinze,50.96018,3.55578,1,113,2024,11,0.1000534128716755,0,65,Lower risk
68,Machelen,Machelen,50.91618331151478,4.456121776137429,1,1,2024,11,0.09868281659394386,0,66,Lower risk
11,Bilzen,Bilzen,50.86015,5.50161,1,21,2024,11,0.09780360915479835,0,67,Lower risk
8,Balen 1,Balen,51.160205,5.19007,2,"4,5",2024,11,0.09720399577509335,0,68,Lower risk
21,Nevele,Deinze,51.0276612,3.558569,1,131,2024,11,0.09483514995124838,0,69,Lower risk
79,Peer teller 1,Peer,51.134315,5.478545,2,"39,40",2024,11,0.09282379594581856,0,70,Lower risk
56,Lanaken teller 1,Lanaken,50.881215,5.63076,2,"35,36",2024,11,0.09158671977241066,0,71,Lower risk
65,Lummen,Lummen,50.979745,5.209485,2,"32,33",2024,11,0.08689259489826442,0,72,Lower risk
10,Beveren teller 1,Beveren,51.19646335,4.2361924,2,"123,124",2024,11,0.08680467464837187,0,73,Lower risk
73,Meulebeke teller 1,Meulebeke,50.960385,3.24481,2,"57,58",2024,11,0.08388049250763983,0,74,Lower risk
13,Brecht teller 1,Brecht,51.357455,4.62426,2,"90,91",2024,11,0.08237184990213349,0,75,Lower risk
81,Pepingen teller 1,Pepingen,50.75836,4.165285,2,"78,79",2024,11,0.08055561836926926,0,76,Lower risk
77,Nijlen teller 1,Nijlen,51.149935,4.6447400000000005,2,"92,93",2024,11,0.0799289414156617,0,77,Lower risk
69,Malle teller 1,Malle,51.316815,4.73862,2,"103,104",2024,11,0.0753596445638163,0,78,Lower risk
87,Wemmel teller 1,Wemmel,50.914285,4.295695,2,"80,81",2024,11,0.07496015557651174,0,79,Lower risk
6,Asse teller 1,Asse,50.89621,4.17294,1,85,2024,11,0.07449118219123624,0,80,Lower risk
74,Deinze teller 1,Nazareth,50.9598305,3.555502,1,114,2024,11,0.07385578899024357,0,81,Lower risk
7,Asse teller 2,Asse,50.89132,4.1709,1,86,2024,11,0.06773143710886208,0,82,Lower risk
42,Heers,Heers,50.75487,5.30322,2,"28,34",2024,11,0.06547933549868575,0,83,Lower risk
84,Tongeren,Tongeren,50.79286,5.52825,1,29,2024,11,0.0654300437021001,0,84,Lower risk
9,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83",2024,11,0.06376929166489936,0,85,Lower risk
82,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,50.75533,4.24951,1,106,2024,11,0.06116952794196379,0,86,Lower risk
38,St. pieters leeuw teller 2,Halle,50.75509,4.24943,1,105,2024,11,0.053738011000634626,0,87,Lower risk
