crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
158,118,Gent teller 1,Gent,51.028049,3.7681359,0.7985253140743857,51.02227410400099,3.7749226125197644,2017,1,17,44040,Melle,Normaal,Droog,Dageraad - schemering,met lichtgewonden,3,Fiets,8,Voetganger,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Met een voetganger,Geen hindernis
158,119,Gent teller 2,Gent,51.0281795,3.7683918,0.7998866920397462,51.02227410400099,3.7749226125197644,2017,1,17,44040,Melle,Normaal,Droog,Dageraad - schemering,met lichtgewonden,3,Fiets,8,Voetganger,Buiten Kruispunt,Gewestweg,buiten bebouwde kom,Met een voetganger,Geen hindernis
160,116,Melle teller 2,Melle,50.9986113,3.8040599,0.751088224448884,51.00492837245404,3.800259199454601,2017,1,11,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
160,117,Melle teller 1,Melle,50.9986113,3.8040599,0.751088224448884,51.00492837245404,3.800259199454601,2017,1,11,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Buiten Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
170,115,Aalter,Aalter,51.1058367,3.4350591,0.8221221091627279,51.099391799715605,3.440829158623603,2017,1,7,44084,Aalter,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,3,Fiets,11,een weggebruiker tegen een hindernis,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Weggebruiker tegen hindernis op de rijbaan,"Verkeersdrempel,ezelsrug,put,uitholling,straatgoot"
211,125,Dendermonde totem,Dendermonde,51.0372706,4.1025998,0.8294468500252276,51.030099441882186,4.105865292071189,2017,1,8,42006,Dendermonde,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Langs achteren,Geen hindernis
211,122,Dendermonde teller 2,Dendermonde,51.0373918,4.1019222,0.8564696051206327,51.030099441882186,4.105865292071189,2017,1,8,42006,Dendermonde,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Langs achteren,Geen hindernis
212,122,Dendermonde teller 2,Dendermonde,51.0373918,4.1019222,0.8725645811433446,51.03172880604304,4.09328396376825,2017,1,12,42006,Dendermonde,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
212,125,Dendermonde totem,Dendermonde,51.0372706,4.1025998,0.8966958211260307,51.03172880604304,4.09328396376825,2017,1,12,42006,Dendermonde,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
215,125,Dendermonde totem,Dendermonde,51.0372706,4.1025998,0.5347351655222893,51.03248794877589,4.103399063283876,2017,1,7,42006,Dendermonde,Onbekend,Onbekend,Onbekend,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,onbekend,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
215,122,Dendermonde teller 2,Dendermonde,51.0373918,4.1019222,0.5549760716401666,51.03248794877589,4.103399063283876,2017,1,7,42006,Dendermonde,Onbekend,Onbekend,Onbekend,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Buiten Kruispunt,Gemeenteweg,onbekend,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
216,142,TEST Validatie BRUGGE Y2H22022134,Brugge,51.22632,3.24095,0.6787335939772439,51.22237060045816,3.2335185054162183,2017,1,20,31005,Brugge,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
216,52,Brugge,Brugge,51.22632,3.24095,0.6787335939772439,51.22237060045816,3.2335185054162183,2017,1,20,31005,Brugge,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
216,54,Brugge teller 2,Brugge,51.23015,3.22818,0.9415274466733234,51.22237060045816,3.2335185054162183,2017,1,20,31005,Brugge,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
216,53,Brugge teller 1,Brugge,51.23023,3.228,0.9546827303882395,51.22237060045816,3.2335185054162183,2017,1,20,31005,Brugge,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met zwaargewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,binnen bebouwde kom,Tussen 2 bestuurders: Frontale botsing,Geen hindernis
