site_id,site_name,site_gemeente,bike_crash_count_500m,nearest_crash_distance_km,average_crash_distance_km
144,test leuven,Leuven,129,0.02838110259643007,0.35592952920217935
69,Leuven teller 1,Leuven,128,0.018620169846780547,0.3508492286469321
143,Eco Display Classic Budastraat,Kortrijk,86,0.004671751431893508,0.32622491584224367
140,Hasselt ring,Hasselt,62,0.020636890745595816,0.31160660705990517
77,Leuven teller 2,Leuven,61,0.047272627550616356,0.3056981705330665
107,leuven totem,Leuven,56,0.0645927576653999,0.30267831887328744
151,Leuven,District Leuven,53,0.1445523307409489,0.4251187813930111
17,Kortrijk 2,Kortrijk,51,0.048636791559532454,0.3026079843165762
16,Kortrijk 1,Kortrijk,51,0.053769875600611625,0.3015772108400006
119,Gent teller 2,Gent,50,0.008438540033756414,0.2653014240650598
118,Gent teller 1,Gent,50,0.015731749728242324,0.2627024862187901
18,Oostende 1,Oostende,37,0.01291358954251515,0.32558156200248767
15,Oostende 2,Oostende,37,0.01581721167426718,0.3262263706780596
25,Bree,Bree,35,0.06244538394889952,0.32982338877607464
7,Evergem 1,Evergem,33,0.1440118841298681,0.32587758286569257
6,Evergem 2,Evergem,33,0.15121327064918383,0.3250063941797604
125,Dendermonde totem,Dendermonde,32,0.016533188250177907,0.29464364698624823
137,Hasselt-Kempische brug,Hasselt,32,0.22126583413243234,0.36070819532024506
99,Mechelen teller 1,Mechelen,31,0.06453752992708554,0.29422735205522843
138,Hasselt-Kempische brug,Hasselt,31,0.16912559892755244,0.33587622583416427
100,Mechelen teller 2,Mechelen,30,0.07049801373428972,0.2894758271141122
23,Tienen 3,Tienen,29,0.04111807954214671,0.2923822923578878
122,Dendermonde teller 2,Dendermonde,29,0.061820587917849106,0.27102512362732045
24,Tienen 1,Tienen,28,0.009770190624328684,0.3006796159907684
101,Diest teller 1,Diest,26,0.02284171269759095,0.2711538915335512
75,Kortrijk teller 2,Kortrijk,26,0.029325817037671672,0.34761940261757585
74,Kortrijk teller 1,Kortrijk,26,0.04430739062769007,0.3607532394483304
102,Diest teller 2,Diest,24,0.03390156275509915,0.2581292016899754
22,Tienen 2,Tienen,23,0.057237242823281576,0.28245200663401565
