crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL,TX_CROSSWAY_NL,CD_ROAD_TYPE_NL,TX_BUILD_UP_AREA_NL,TX_COLLISION_TYPE_NL,TX_OBSTACLES_NL
84,88,Westerlo teller 1,Westerlo,51.082,4.91325,1.070235063197694,51.09089315350669,4.919110069654614,2017,1,13,13049,Westerlo,Onbekend,Onbekend,Dag,met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,onbekend,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
84,89,Westerlo teller 2,Westerlo,51.08191,4.91334,1.0771209240683213,51.09089315350669,4.919110069654614,2017,1,13,13049,Westerlo,Onbekend,Onbekend,Dag,met lichtgewonden,9,personenauto,3,Fiets,Op Kruispunt,Gewestweg,onbekend,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
85,112,Geel teller 2,Westerlo,51.1354992,4.9394789,1.0955948085429628,51.143157204481994,4.949359860040128,2017,1,5,13008,Geel,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
85,127,Geel totem,Westerlo,51.1342966,4.9400421,1.1803937737246093,51.143157204481994,4.949359860040128,2017,1,5,13008,Geel,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gewestweg,buiten bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
89,135,Retie 2,Dessel,51.2544998,5.1040064,2.441947175940606,51.23341025464705,5.113790544991055,2017,1,13,13006,Dessel,Normaal,Droog,Dag,Met doden,3,Fiets,9,personenauto,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
89,134,Retie,Dessel,51.2548405,5.1037658,2.483004433763467,51.23341025464705,5.113790544991055,2017,1,13,13006,Dessel,Normaal,Droog,Dag,Met doden,3,Fiets,9,personenauto,Buiten Kruispunt,Gewestweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
92,110,Herentals totem,Herentals,51.1739426,4.811783,0.7027206034614598,51.18017619547184,4.813441551292066,2017,1,12,13011,Herentals,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
92,94,Herentals teller 2,Herentals,51.17345,4.81283,0.74913282137624,51.18017619547184,4.813441551292066,2017,1,12,13011,Herentals,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
95,37,Lommel teller 1,Lommel,51.23299,5.29211,1.4047936260042166,51.22798215721081,5.310632669754798,2017,1,16,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
95,38,Lommel teller 2,Lommel,51.23277,5.29189,1.4094520022479158,51.22798215721081,5.310632669754798,2017,1,16,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto,Op Kruispunt,Gemeenteweg,binnen bebouwde kom,Tss. 2 best.: langs opzij (voor-/achterkant-flank),Geen hindernis
