group_id,group_name,gemeente,lat,long,member_site_count,member_site_ids,year,month,predicted_probability,predicted_label,forecast_risk_rank,risk_label,hidden_risk_spot
72,Meulebeke teller 1,Meulebeke,50.960385,3.24481,2,"57,58",2024,11,0.048630824444096304,0,54,Lower risk,False
89,Westerlo teller 1,Westerlo,51.081955,4.913295,2,"88,89",2024,11,0.04814363528964494,0,55,Lower risk,False
68,Malle teller 1,Malle,51.316815,4.73862,2,"103,104",2024,11,0.04668424067155173,0,56,Lower risk,False
50,Kampenhout teller 1,Kampenhout,50.956355,4.59241,2,"70,71",2024,11,0.0455886522995917,0,57,Lower risk,False
87,Wervik teller 2,Wervik,50.805675,3.09182,2,"61,62",2024,11,0.045310319766047026,0,58,Lower risk,False
88,Geel totem,Westerlo,51.1348979,4.9397605,2,"112,127",2024,11,0.04421598184641419,0,59,Lower risk,False
93,Zemst,Zemst,50.9903936,4.4707023,1,109,2024,11,0.044127510318532015,0,60,Lower risk,False
14,Bree,Bree,51.13679500160176,5.597669323604317,1,25,2024,11,0.0407505165679611,0,61,Lower risk,False
70,Grimbergen,Meise,50.92127,4.34013,1,27,2024,11,0.03874728547387556,0,62,Lower risk,False
43,Heist op den Berg 2,Heist-op-den-Berg,51.06904,4.69524,1,9,2024,11,0.03727707877404429,0,63,Lower risk,False
10,Beveren teller 2,Beveren,51.1964712,4.2361077,1,124,2024,11,0.03560966059229045,0,64,Lower risk,False
63,Lommel teller 1,Lommel,51.23288,5.292,2,"37,38",2024,11,0.03224354692576925,0,65,Lower risk,False
76,Nijlen teller 1,Nijlen,51.149935,4.6447400000000005,2,"92,93",2024,11,0.02695586268855743,0,66,Lower risk,False
31,Geel teller 1,Geel,51.148115,4.996705,2,"97,98",2024,11,0.02637739930119998,0,67,Lower risk,False
42,Heist op den Berg 1,Heist-op-den-Berg,51.06759,4.68823,1,8,2024,11,0.025380007146924156,0,68,Lower risk,False
86,Wemmel teller 1,Wemmel,50.914285,4.295695,2,"80,81",2024,11,0.023701973277366475,0,69,Lower risk,False
81,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,50.75533,4.24951,1,106,2024,11,0.023414837584923152,0,70,Lower risk,False
80,Pepingen teller 1,Pepingen,50.75836,4.165285,2,"78,79",2024,11,0.023354270464922795,0,71,Lower risk,False
9,Beersel teller 1,Beersel,50.751515,4.3332,2,"82,83",2024,11,0.023159395089664633,0,72,Lower risk,False
46,Herk De Stad,Herk-de-Stad,50.9437,5.177205000000001,2,"30,31",2024,11,0.02194872363666406,0,73,Lower risk,False
32,Bokrijk,Genk,50.95264,5.41001,1,49,2024,11,0.020593996933061735,0,74,Lower risk,False
64,Lummen,Lummen,50.979745,5.209485,2,"32,33",2024,11,0.019890001361613303,0,75,Lower risk,False
3,Aarschot,Aarschot,50.99084,4.81259,1,87,2024,11,0.015726284208108444,0,76,Lower risk,False
37,St. pieters leeuw teller 2,Halle,50.75509,4.24943,1,105,2024,11,0.015166752626944145,0,77,Lower risk,False
11,Bilzen,Bilzen,50.86015,5.50161,1,21,2024,11,0.014462517341814946,0,78,Lower risk,False
65,Maaseik teller 1,Maaseik,51.093515,5.797205,2,"43,44",2024,11,0.013343560723866933,0,79,Lower risk,False
6,Asse teller 1,Asse,50.89621,4.17294,1,85,2024,11,0.011696732537255011,0,80,Lower risk,False
8,Balen 1,Balen,51.160205,5.19007,2,"4,5",2024,11,0.010228429163389131,0,81,Lower risk,False
41,Heers,Heers,50.75487,5.30322,2,"28,34",2024,11,0.009935726767664453,0,82,Lower risk,False
5,As,As,51.00509,5.60389,1,48,2024,11,0.007877226302934892,0,83,Lower risk,False
83,Tongeren,Tongeren,50.79286,5.52825,1,29,2024,11,0.006490673118356224,0,84,Lower risk,False
7,Asse teller 2,Asse,50.89132,4.1709,1,86,2024,11,0.006384756886775394,0,85,Lower risk,False
55,Lanaken teller 1,Lanaken,50.881215,5.63076,2,"35,36",2024,11,0.005357783764192762,0,86,Lower risk,False
