site_id,group_id,group_name,group_base_name,member_site_count,group_lat,group_long,gemeente,datum_van
70,51,Kampenhout teller 1,kampenhout,2,50.956355,4.59241,Kampenhout,2022-07-07
71,51,Kampenhout teller 1,kampenhout,2,50.956355,4.59241,Kampenhout,2022-07-07
143,52,Eco Display Classic Budastraat,eco display classic budastraat,1,50.83066,3.26286,Kortrijk,2023-12-08
16,53,Kortrijk 1,kortrijk,2,50.833355,3.27775,Kortrijk,2019-08-22
17,53,Kortrijk 1,kortrijk,2,50.833355,3.27775,Kortrijk,2019-08-22
74,54,Kortrijk teller 1,kortrijk,2,50.81917,3.257295,Kortrijk,2022-07-07
75,54,Kortrijk teller 1,kortrijk,2,50.81917,3.257295,Kortrijk,2022-07-07
12,55,Tervuren,tervuren,1,50.81896,4.47803,Kraainem,2019-08-22
35,56,Lanaken teller 1,lanaken,2,50.881215,5.63076,Lanaken,2022-04-15
36,56,Lanaken teller 1,lanaken,2,50.881215,5.63076,Lanaken,2022-04-15
76,57,Heverlee teller 2,heverlee,2,50.8466164,4.6957187000000005,Leuven,2022-07-07
108,57,Heverlee teller 2,heverlee,2,50.8466164,4.6957187000000005,Leuven,2022-08-25
69,58,test leuven,leuven,2,50.875533000000004,4.7153163,Leuven,2022-07-07
144,58,test leuven,leuven,2,50.875533000000004,4.7153163,Leuven,2024-01-12
77,59,leuven totem,leuven,2,50.8868972,4.70837595,Leuven,2022-07-07
107,59,leuven totem,leuven,2,50.8868972,4.70837595,Leuven,2022-08-23
95,60,Lier teller 1,lier,2,51.11696,4.584405,Lier,2022-07-26
96,60,Lier teller 1,lier,2,51.11696,4.584405,Lier,2022-07-26
132,61,Gierde lille,gierde lille,2,51.24541825,4.82981335,Lille,2023-02-15
133,61,Gierde lille,gierde lille,2,51.24541825,4.82981335,Lille,2023-02-15
128,62,Lokeren teller 1,lokeren,2,51.09628,3.97024,Lokeren,2022-10-29
129,62,Lokeren teller 1,lokeren,2,51.09628,3.97024,Lokeren,2022-10-29
141,63,Test site A support,site a support,1,51.08342085,3.9961071208376326,Lokeren,2023-10-21
37,64,Lommel teller 1,lommel,2,51.23288,5.292,Lommel,2022-04-20
38,64,Lommel teller 1,lommel,2,51.23288,5.292,Lommel,2022-04-20
32,65,Lummen,lummen,2,50.979744999999994,5.209485,Lummen,2022-04-14
33,65,Lummen,lummen,2,50.979744999999994,5.209485,Lummen,2022-04-14
43,66,Maaseik teller 1,maaseik,2,51.093515,5.797205,Maaseik,2022-04-28
44,66,Maaseik teller 1,maaseik,2,51.093515,5.797205,Maaseik,2022-04-28
41,67,Maasmechelen teller 1,maasmechelen,2,50.97034,5.6980450000000005,Maasmechelen,2022-04-22
42,67,Maasmechelen teller 1,maasmechelen,2,50.97034,5.6980450000000005,Maasmechelen,2022-04-22
1,68,Machelen,machelen,1,50.91618331151478,4.456121776137429,Machelen,2019-08-22
103,69,Malle teller 1,malle,2,51.316815,4.73862,Malle,2022-08-03
104,69,Malle teller 1,malle,2,51.316815,4.73862,Malle,2022-08-03
99,70,Mechelen teller 1,mechelen,2,51.04567,4.468825,Mechelen,2022-07-28
100,70,Mechelen teller 1,mechelen,2,51.04567,4.468825,Mechelen,2022-07-28
27,71,Grimbergen,grimbergen,1,50.92127,4.34013,Meise,2021-08-14
116,72,Melle teller 2,melle,2,50.9986113,3.8040599,Melle,2022-10-01
117,72,Melle teller 2,melle,2,50.9986113,3.8040599,Melle,2022-10-01
57,73,Meulebeke teller 1,meulebeke,2,50.960385,3.24481,Meulebeke,2022-06-03
58,73,Meulebeke teller 1,meulebeke,2,50.960385,3.24481,Meulebeke,2022-06-03
114,74,Deinze teller 1,deinze,1,50.9598305,3.555502,Nazareth,2022-09-21
63,75,Nieuwpoort totem,nieuwpoort,2,51.134995,2.74329,Nieuwpoort,2022-06-24
66,75,Nieuwpoort totem,nieuwpoort,2,51.134995,2.74329,Nieuwpoort,2022-06-30
64,76,Nieuwpoort teller 1,nieuwpoort,2,51.13397,2.75624,Nieuwpoort,2022-06-24
65,76,Nieuwpoort teller 1,nieuwpoort,2,51.13397,2.75624,Nieuwpoort,2022-06-24
92,77,Nijlen teller 1,nijlen,2,51.149935,4.6447400000000005,Nijlen,2022-07-24
93,77,Nijlen teller 1,nijlen,2,51.149935,4.6447400000000005,Nijlen,2022-07-24
15,78,Oostende 2,oostende,2,51.213745,2.92754,Oostende,2019-08-22
18,78,Oostende 2,oostende,2,51.213745,2.92754,Oostende,2019-08-22
39,79,Peer teller 1,peer,2,51.134315,5.478545,Peer,2022-04-20
