site_id,months_observed,total_crashes,average_monthly_crashes,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van,historical_risk_rank
24,62,41.0,0.6612903225806451,626183.0,10099.725806451614,0.4838709677419355,0.654760669005706,0.6504774285133746,1km_bike,1.0 km,100052882,4.935044252605416,50.8133795491886,Tienen 1,Tienen,2019-08-31,26
22,62,45.0,0.7258064516129032,711576.0,11477.032258064517,0.5161290322580645,0.6323990691085702,0.6289265389895259,1km_bike,1.0 km,100052876,4.935984252796022,50.81330800184882,Tienen 2,Tienen,2019-08-31,27
69,29,125.0,4.310344827586207,1993799.0,68751.68965517242,1.0,0.626943839373979,0.6257202662649332,1km_bike,1.0 km,300025572,4.71526,50.87549,Leuven teller 1,Leuven,2022-07-07,28
53,29,21.0,0.7241379310344828,337297.0,11630.931034482759,0.4827586206896552,0.6225967026092731,0.6156563281859839,1km_bike,1.0 km,300024499,3.228,51.23023,Brugge teller 1,Brugge,2022-06-02,29
59,29,7.0,0.2413793103448276,110120.0,3797.2413793103447,0.2413793103448276,0.6356701779876498,0.6145135135466911,1km_bike,1.0 km,300024551,3.18479,50.96784,Ardooie teller 1,Ardooie,2022-06-03,30
56,29,10.0,0.3448275862068966,164867.0,5685.068965517241,0.3448275862068966,0.6065495217357021,0.5936575744057676,1km_bike,1.0 km,300024505,3.08244,51.07147,Torhout teller 2,Torhout,2022-06-02,31
18,62,70.0,1.1290322580645162,1210534.0,19524.74193548387,0.6290322580645161,0.5782571988890853,0.5766391233745463,1km_bike,1.0 km,100052881,2.92765,51.21378,Oostende 1,Oostende,2019-08-22,32
80,24,4.0,0.16666666666666666,66573.0,2773.875,0.16666666666666666,0.6008441860814444,0.5720910801723437,1km_bike,1.0 km,300025810,4.29571,50.91418,Wemmel teller 1,Wemmel,2022-07-13,33
86,29,4.0,0.13793103448275862,67022.0,2311.103448275862,0.06896551724137931,0.5968189549700098,0.5687472385847393,1km_bike,1.0 km,300025856,4.1709,50.89132,Asse teller 2,Asse,2022-07-14,34
54,29,21.0,0.7241379310344828,368707.0,12714.034482758621,0.4827586206896552,0.5695579416718424,0.5645662715066618,1km_bike,1.0 km,300024500,3.22818,51.23015,Brugge teller 2,Brugge,2022-06-02,35
11,62,40.0,0.6451612903225806,708050.0,11420.161290322581,0.46774193548387094,0.5649318550949791,0.5623629978654514,1km_bike,1.0 km,100052871,4.01647,50.93385,Aalst 3,Aalst,2019-08-22,36
125,26,52.0,2.0,931966.0,35844.846153846156,0.9615384615384616,0.5579602689368496,0.5560747107123312,1km_bike,1.0 km,300028325,4.1025998,51.0372706,Dendermonde totem,Dendermonde,2022-10-22,37
122,26,51.0,1.9615384615384615,966453.0,37171.269230769234,0.9230769230769231,0.527702847422482,0.52618752659768,1km_bike,1.0 km,300027931,4.1019222,51.0373918,Dendermonde teller 2,Dendermonde,2022-10-05,38
25,54,48.0,0.8888888888888888,914241.0,16930.38888888889,0.5925925925925926,0.5250256770370176,0.5234531171594462,1km_bike,1.0 km,100056189,5.597669323604317,51.13679500160176,Bree,Bree,2020-05-09,39
116,27,12.0,0.4444444444444444,227089.0,8410.703703703704,0.4074074074074074,0.5284271805327426,0.5221523045826857,1km_bike,1.0 km,300027878,3.8040599,50.9986113,Melle teller 2,Melle,2022-10-01,40
94,29,8.0,0.27586206896551724,151526.0,5225.0344827586205,0.2413793103448276,0.5279621979066299,0.5187764245360802,1km_bike,1.0 km,300026090,4.81283,51.17345,Herentals teller 2,Herentals,2022-07-24,41
58,29,3.0,0.10344827586206896,57904.0,1996.6896551724137,0.10344827586206896,0.5180989223542415,0.4976375321780754,1km_bike,1.0 km,300024550,3.24471,50.96021,Meulebeke teller 2,Meulebeke,2022-06-03,42
81,29,4.0,0.13793103448275862,78720.0,2714.4827586206898,0.13793103448275862,0.508130081300813,0.4935837922559274,1km_bike,1.0 km,300025811,4.29568,50.91439,Wemmel teller 2,Wemmel,2022-07-13,43
13,62,64.0,1.032258064516129,1368476.0,22072.1935483871,0.6290322580645161,0.46767352880138197,0.46702688310709367,1km_bike,1.0 km,100052873,3.70146,51.03018,Gent,Gent,2019-08-22,44
117,27,12.0,0.4444444444444444,279684.0,10358.666666666666,0.4074074074074074,0.42905564851761274,0.42728373671878345,1km_bike,1.0 km,300027879,3.8040599,50.9986113,Melle teller 1,Melle,2022-10-01,45
65,29,23.0,0.7931034482758621,539366.0,18598.827586206895,0.41379310344827586,0.4264265823207247,0.42553945279807304,1km_bike,1.0 km,300025206,2.75511,51.13435,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,46
126,26,15.0,0.5769230769230769,359530.0,13828.076923076924,0.4230769230769231,0.4172113592746085,0.4161366967905682,1km_bike,1.0 km,300028358,4.1469307,51.1017709,Hamme totem,Hamme,2022-10-25,47
67,29,11.0,0.3793103448275862,267089.0,9209.965517241379,0.2413793103448276,0.4118477361478758,0.4106040574433179,1km_bike,1.0 km,300025382,2.85624,50.85018,Ieper totem,Ieper,2022-06-30,48
114,27,2.0,0.07407407407407407,48309.0,1789.2222222222222,0.07407407407407407,0.4140015318056677,0.40771200225833687,1km_bike,1.0 km,300027499,3.555502,50.9598305,Deinze teller 1,Nazareth,2022-09-21,49
68,29,11.0,0.3793103448275862,271224.0,9352.551724137931,0.2413793103448276,0.40556882871722266,0.4045623353001713,1km_bike,1.0 km,300025383,2.85608,50.85032,Ieper,Ieper,2022-06-30,50
19,62,38.0,0.6129032258064516,981020.0,15822.90322580645,0.45161290322580644,0.38735193981774074,0.38724658879542456,1km_bike,1.0 km,100052883,4.01471,50.93433,Aalst 1,Aalst,2019-08-22,51
118,26,28.0,1.0769230769230769,727944.0,27997.846153846152,0.6153846153846154,0.3846449726902069,0.3845394278167211,1km_bike,1.0 km,300027898,3.7681359,51.028049,Gent teller 1,Gent,2022-10-04,52
140,19,42.0,2.210526315789474,1094415.0,57600.78947368421,0.7368421052631579,0.38376666986472224,0.3837039459806584,1km_bike,1.0 km,300031927,5.3438616,50.9300038,Hasselt ring,Hasselt,2023-05-04,53
132,22,3.0,0.13636363636363635,79536.0,3615.2727272727275,0.13636363636363635,0.3771876885938443,0.3771338510309439,1km_bike,1.0 km,300030471,4.8298851,51.245445,Gierde lille,Lille,2023-02-15,54
23,62,42.0,0.6774193548387096,1114564.0,17976.83870967742,0.5,0.37682896630431273,0.37682781434177187,1km_bike,1.0 km,100052877,4.93447,50.81324,Tienen 3,Tienen,2019-08-31,55
85,29,3.0,0.10344827586206896,79654.0,2746.689655172414,0.06896551724137931,0.3766289200793432,0.37663634912294275,1km_bike,1.0 km,300025855,4.17294,50.89621,Asse teller 1,Asse,2022-07-14,56
139,20,10.0,0.5,267754.0,13387.7,0.4,0.37347714693337913,0.37359078707198073,1km_bike,1.0 km,300031607,5.3819796,51.0644267,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,57
133,22,3.0,0.13636363636363635,83904.0,3813.818181818182,0.13636363636363635,0.35755148741418763,0.35955314803252697,1km_bike,1.0 km,300030472,4.8297416,51.2453915,Gierde Lille Totem,Lille,2023-02-15,58
128,26,8.0,0.3076923076923077,223375.0,8591.346153846154,0.2692307692307692,0.35814213766088415,0.3589216938914996,1km_bike,1.0 km,300028477,3.97023,51.09644,Lokeren teller 1,Lokeren,2022-10-29,59
57,29,3.0,0.10344827586206896,86206.0,2972.6206896551726,0.10344827586206896,0.34800361923764006,0.3509315876901309,1km_bike,1.0 km,300024549,3.24491,50.96056,Meulebeke teller 1,Meulebeke,2022-06-03,60
70,29,10.0,0.3448275862068966,294571.0,10157.620689655172,0.27586206896551724,0.33947673056750327,0.34067470983998555,1km_bike,1.0 km,300025573,4.59318,50.95682,Kampenhout teller 1,Kampenhout,2022-07-07,61
