site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,crash_count_500m,crash_happened_500m,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,crash_count_500m_lag1,crash_count_500m_lag2,crash_count_500m_roll3_mean,crash_count_500m_roll6_mean,crash_count_500m_roll3_std,crash_happened_500m_lag1,crash_happened_500m_lag2,crash_count_500m_roll3_sum,crash_count_500m_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,crashes_per_1000_cyclists_lag1,site_avg_crash_count_history,site_avg_total_count_in_history,site_avg_total_count_out_history,target_crash_count_next_month_500m,target_crash_happened_next_month_500m,predicted_probability,predicted_label,radius_key,radius_label,site_nr,long,lat,naam,gemeente,datum_van
1,2024,11,2880,2880,16.0,28.0,1.714236111111111,1.7972222222222225,0.0,0.0,4937.0,5176.0,1231,1159,720,7.384027777777778,-0.95,17.7,86.25044987083334,67.6,58.799999844,6.15999999,78.98194444444445,11.694432085569444,3.0,3.51331843620502,0.0,0,-0.5000000000000004,0.8660254037844384,7144.0,7584.0,7279.666666666667,7074.333333333333,264.07637784043527,7630.0,7955.0,7671.666666666667,7348.666666666667,264.96855159308046,2.480555555555556,2.548387096774193,2.472797192353644,2.415617532855436,0.079752616150041,2.649305555555556,2.673051075268817,2.606332138590203,2.509371266427718,0.0957354258494739,997.0,907.0,940.0,967.5,49.56813492557598,921.0,862.0,887.3333333333334,920.3333333333334,30.369941279711863,15.690833333333332,19.65403225806452,17.905725806451617,15.812373431899642,2.022378133743951,93.4,67.3,83.90000000000002,93.5,14.426018161641077,13.730699514583332,11.880100230349464,12.536358488364696,13.018970808250971,1.0360160359664503,58.71388888888889,58.979838709677416,61.34324970131423,66.10783303464756,4.325911469548632,0.0,1.0,0.3333333333333333,0.5,0.5773502691896262,0.0,1.0,1.0,3.0,-2207.0,-2454.0,-8.306805555555554,-25.80000000000001,0.9538253477588872,0.9363040629095676,10113.0,14774.0,0.0,0.2833333333333333,5918.133333333333,5817.1,0.0,0.0,0.29030399594137424,1,500m,500 m,100046096,4.456121776137429,50.91618331151478,Machelen,Machelen,2019-08-22
2,2024,11,2880,2880,83.0,22.0,6.880555555555556,1.01875,0.0,0.0,19816.0,2934.0,537,1582,720,7.264722222222223,-0.55,17.75,86.3271319875,67.8,63.60000005,2.9400000100000003,79.1361111111111,11.740525270930556,3.0,4.867444285021063,0.0,0,-0.5000000000000004,0.8660254037844384,25258.0,20870.0,22909.0,24213.0,2210.3644495874555,3922.0,3444.0,2657.6666666666665,1574.3333333333333,1791.9392660839071,8.770138888888889,7.012768817204301,7.792219235364396,8.277314814814815,0.8953378804969404,1.3618055555555555,1.157258064516129,0.9076762246117084,0.5379536290322581,0.6179538639778144,467.0,419.0,420.0,418.3333333333333,46.50806381693376,1335.0,1465.0,1795.3333333333333,2180.5,687.8156245196332,15.717361111111112,19.63447580645161,17.90162037037037,15.836902628434885,1.997190762745967,110.7,74.2,92.43333333333334,105.75,18.250022831035945,13.626108422333331,11.862044123897851,12.555948702820784,13.044900562542187,0.9402960493210688,59.230555555555554,60.206989247311824,61.72918160095579,66.11008064516129,3.516189860796732,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,-5442.0,-988.0,-8.452638888888888,-42.900000000000006,6.753919563735515,6.440081591024987,22750.0,29180.0,0.0,0.6333333333333333,20064.916666666668,491.81666666666666,0.0,0.0,0.1408406761977275,0,500m,500 m,100052862,4.47169,51.27512,Brasschaat 2,Brasschaat,2019-08-22
3,2024,11,2880,2880,12.0,94.0,0.20625,7.674652777777778,0.0,0.0,594.0,22103.0,2467,429,720,7.264722222222223,-0.55,17.75,86.3271319875,67.8,63.60000005,2.9400000100000003,79.1361111111111,11.740525270930556,3.0,4.832997531881069,0.0,0,-0.5000000000000004,0.8660254037844384,808.0,991.0,730.0,546.3333333333334,307.5109754138866,27869.0,23005.0,23705.666666666668,23030.0,3860.980359097069,0.2805555555555555,0.332997311827957,0.2483124253285543,0.1864153972520907,0.1046023674297627,9.676736111111111,7.730174731182796,8.06966472520908,7.872918533452808,1.4670880137978624,2347.0,2353.0,2453.0,2534.833333333333,178.42645543752758,386.0,342.0,363.0,372.5,22.068076490715317,15.717361111111112,19.63447580645161,17.90162037037037,15.836902628434885,1.997190762745967,110.7,74.2,92.43333333333334,105.75,18.250022831035945,13.626108422333331,11.862044123897851,12.555948702820784,13.044900562542187,0.9402960493210688,59.230555555555554,60.206989247311824,61.72918160095579,66.11008064516129,3.516189860796732,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,-214.0,-5766.0,-8.452638888888888,-42.900000000000006,0.0268741799755689,0.0289927876852416,22697.0,28677.0,0.0,0.6666666666666666,367.0,18443.516666666663,0.0,0.0,0.12415017257628697,0,500m,500 m,100052863,4.47222,51.27503,Brasschaat 1,Brasschaat,2019-08-22
4,2024,11,2880,2880,6.0,18.0,0.0329861111111111,1.4232638888888889,0.0,0.0,95.0,4099.0,2806,1323,720,7.055277777777778,-3.0,17.6,86.58390885555556,63.6,55.80000005,5.46,78.76388888888889,11.671372225902775,3.0,2.410701561860149,1.0,1,-0.5000000000000004,0.8660254037844384,133.0,199.0,166.0,138.0,32.99999999999998,6689.0,8191.0,7303.333333333333,6604.666666666667,787.4225887878341,0.0461805555555555,0.0668682795698924,0.0562761350059736,0.0470150089605734,0.0103527973952599,2.3225694444444445,2.7523521505376345,2.479050925925926,2.2532127389486263,0.2375151214195764,2777.0,2804.0,2807.0,2809.5,31.606961258557124,1050.0,891.0,967.0,1043.0,79.73079706111062,15.808541666666668,19.79422043010753,18.04491711469534,15.966820489844684,2.0369924516587057,91.4,118.6,101.76666666666668,115.31666666666666,14.707934366638042,13.11017942125,11.27232963642473,12.08420850477598,12.435557997167264,0.9374430711769212,59.13333333333333,58.53629032258065,60.94543010752688,65.91193249701315,3.66786636279676,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,-38.0,-2590.0,-8.75326388888889,-27.800000000000004,0.0231763844840204,0.0198833906413514,4194.0,6822.0,0.0,0.2666666666666666,82.35,4239.216666666666,0.0,0.0,0.08759486472420502,0,500m,500 m,100052864,5.19011,51.16023,Balen 1,Balen,2019-08-22
5,2024,11,2880,2880,4.0,19.0,0.0524305555555555,1.3479166666666669,0.0,0.0,151.0,3882.0,2756,1317,720,7.055277777777778,-3.0,17.6,86.58390885555556,63.6,55.80000005,5.46,78.76388888888889,11.671372225902775,3.0,2.4029611675645266,1.0,1,-0.5000000000000004,0.8660254037844384,264.0,278.0,251.66666666666663,205.33333333333331,34.210134950528094,6997.0,8618.0,7735.0,6960.0,820.1701043076367,0.0916666666666666,0.0934139784946236,0.0855510752688171,0.0700399492234169,0.0121372158509976,2.4295138888888888,2.895833333333333,2.625250149342891,2.3743335573476703,0.242002071352491,2697.0,2756.0,2751.6666666666665,2764.333333333333,52.63395608666844,974.0,815.0,895.3333333333334,968.5,79.51310164578665,15.808541666666668,19.79422043010753,18.04491711469534,15.966820489844684,2.0369924516587057,91.4,118.6,101.76666666666668,115.31666666666666,14.707934366638042,13.11017942125,11.27232963642473,12.08420850477598,12.435557997167264,0.9374430711769212,59.13333333333333,58.53629032258065,60.94543010752688,65.91193249701315,3.66786636279676,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,-113.0,-3115.0,-8.75326388888889,-27.800000000000004,0.0388974755280783,0.0377304559096755,4033.0,7261.0,0.0,0.2666666666666666,126.51666666666668,4721.533333333334,0.0,0.0,0.09188867681690943,0,500m,500 m,100052865,5.19003,51.16018,Balen 2,Balen,2019-08-22
6,2024,11,2880,2880,64.0,3.0,3.892361111111111,0.021875,0.0,0.0,11210.0,63.0,747,2823,720,7.546319444444445,-0.6,17.8,86.58163332777778,74.4,65.20000005,6.4399998,80.29861111111111,11.845178487777778,3.0,3.8305201114429512,2.0,1,-0.5000000000000004,0.8660254037844384,13568.0,11587.0,12024.333333333334,11940.833333333334,1378.0676084043578,88.0,77.0,79.0,95.66666666666669,8.185352771872498,4.711111111111111,3.893481182795699,4.091091696535245,4.081931376941458,0.5485905891906792,0.0305555555555555,0.0258736559139784,0.0268742532855435,0.0326892921146953,0.0032969197939694,656.0,650.0,655.0,675.5,4.582575694918572,2793.0,2903.0,2869.6666666666665,2842.0,66.58328118479295,15.848194444444443,19.658736559139783,17.887301373954596,15.72874365292712,1.9193212143878675,89.7,69.4,85.53333333333332,94.65,14.505975780116763,13.841871408472224,12.15869799016129,12.73518087620221,13.174420207638144,0.9587013612783688,60.55138888888889,60.29435483870968,62.19320489844685,66.59929062126643,3.068998824768862,1.0,0.0,1.3333333333333333,1.1666666666666667,1.5275252316519463,1.0,0.0,4.0,7.0,-2358.0,-25.0,-8.301874999999999,-15.299999999999995,177.93650793650792,154.1818181818182,11273.0,13656.0,0.073227885178676,0.7333333333333333,9148.183333333332,58.5,2.0,1.0,0.8377031722539003,1,500m,500 m,100052866,3.70298,51.10894,Evergem 2,Evergem,2019-08-22
7,2024,11,2880,2880,4.0,55.0,0.0190972222222222,3.5027777777777778,0.0,0.0,55.0,10088.0,2832,787,720,7.546319444444445,-0.6,17.8,86.58163332777778,74.4,65.20000005,6.4399998,80.29861111111111,11.845178487777778,3.0,3.831632836103283,2.0,1,-0.5000000000000004,0.8660254037844384,93.0,113.0,99.66666666666669,97.5,11.54700538378917,12438.0,10514.0,11005.666666666666,11003.0,1260.5888835513829,0.0322916666666666,0.0379704301075268,0.0338373655913978,0.0332343936678613,0.0036170338790215,4.31875,3.532930107526881,3.7445788530465935,3.7612473864994014,0.5029364716418481,2796.0,2876.0,2854.0,2838.0,50.71488933242974,709.0,726.0,679.6666666666666,715.5,66.07823645750034,15.848194444444443,19.658736559139783,17.887301373954596,15.72874365292712,1.9193212143878675,89.7,69.4,85.53333333333332,94.65,14.505975780116763,13.841871408472224,12.15869799016129,12.73518087620221,13.174420207638144,0.9587013612783688,60.55138888888889,60.29435483870968,62.19320489844685,66.59929062126643,3.068998824768862,1.0,0.0,1.3333333333333333,1.1666666666666667,1.5275252316519463,1.0,0.0,4.0,7.0,-38.0,-2350.0,-8.301874999999999,-15.299999999999995,0.0054520222045995,0.0074770863482875,10143.0,12531.0,0.0798020908147793,0.7333333333333333,87.05,8396.5,2.0,1.0,0.7976361789251024,1,500m,500 m,100052867,3.70317,51.1089,Evergem 1,Evergem,2019-08-22
8,2024,11,2880,2880,10.0,90.0,0.1756944444444444,3.292013888888889,0.0,0.0,506.0,9481.0,2531,911,720,7.367638888888889,-1.0,17.9,86.3704973763889,64.5,60.59999998,2.73000003,78.43888888888888,11.708407089166666,3.0,0.9039770611011564,0.0,0,-0.5000000000000004,0.8660254037844384,685.0,405.0,471.6666666666667,499.5,189.0326250501041,13292.0,10647.0,11249.333333333334,11304.666666666666,1817.9456354174456,0.2378472222222222,0.1360887096774193,0.1610476403823177,0.1711096176821983,0.0678549080863627,4.615277777777778,3.5776209677419355,3.8296445639187575,3.865847147550776,0.6947930137210976,2445.0,2636.0,2588.0,2568.0,126.0515767453946,745.0,673.0,729.6666666666666,757.5,50.767443635989856,15.815069444444443,19.713844086021503,18.006770459976106,15.957977523894863,1.9940558433583333,106.0,94.5,97.7,111.98333333333332,7.250517222929766,13.392365019444444,11.588454665564516,12.292406662879328,12.795035013626046,0.964955397225089,57.86944444444445,58.93817204301075,60.462753882915166,65.48617831541219,3.606011107217239,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,-179.0,-3811.0,-8.447430555555554,-41.5,0.053369897690117,0.0515347577490219,9987.0,13977.0,0.0,0.2166666666666666,475.03333333333336,8438.983333333334,0.0,0.0,0.13073092257667418,0,500m,500 m,100052868,4.68823,51.06759,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22
9,2024,11,2880,2880,127.0,4.0,3.681944444444445,0.1788194444444444,0.0,0.0,10604.0,515.0,800,2464,720,7.367638888888889,-1.0,17.9,86.3704973763889,64.5,60.59999998,2.73000003,78.43888888888888,11.708407089166666,3.0,1.2895209328958137,0.0,0,-0.5000000000000004,0.8660254037844384,15200.0,11707.0,12459.0,12588.166666666666,2453.029351638493,721.0,659.0,666.0,682.1666666666666,51.85556864995879,5.277777777777778,3.93380376344086,4.243242234169654,4.30590464456392,0.919723252737937,0.2503472222222222,0.2214381720430107,0.2264822281959378,0.2332082586618876,0.0217854096218713,629.0,571.0,607.0,631.3333333333334,31.43246729100333,2340.0,2467.0,2428.0,2406.1666666666665,76.37407937252159,15.815069444444443,19.713844086021503,18.006770459976106,15.957977523894863,1.9940558433583333,106.0,94.5,97.7,111.98333333333332,7.250517222929766,13.392365019444444,11.588454665564516,12.292406662879328,12.795035013626046,0.964955397225089,57.86944444444445,58.93817204301075,60.462753882915166,65.48617831541219,3.606011107217239,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,1.0,-4596.0,-206.0,-8.447430555555554,-41.5,20.59029126213592,21.081830790568656,11119.0,15921.0,0.0,0.2833333333333333,9970.55,806.3166666666667,0.0,0.0,0.10835577775037505,0,500m,500 m,100052869,4.69524,51.06904,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22
10,2024,11,2880,2880,29.0,34.0,1.4541666666666666,1.4527777777777775,0.0,0.0,4188.0,4184.0,1421,1447,720,7.483958333333333,-0.3,17.55,86.70282787916668,60.4,57.800000044,1.81999996,79.36944444444444,12.41626979826389,3.0,0.4729625122684606,0.0,0,-0.5000000000000004,0.8660254037844384,6665.0,6785.0,6281.666666666667,5969.166666666667,770.2164198024725,6294.0,6264.0,5811.666666666667,5438.333333333333,809.5840495793674,2.314236111111111,2.2799059139784945,2.1356593488649938,2.039924955197133,0.2800996539170367,2.185416666666667,2.1048387096774195,1.9763440860215056,1.8578778375149343,0.2951049217699911,1140.0,1050.0,1144.3333333333333,1195.6666666666667,96.57294307068322,1158.0,1055.0,1141.0,1229.0,78.88599368709187,15.617638888888887,19.641397849462365,17.85128733572282,15.707077732974913,2.048219584607372,86.2,67.7,71.76666666666665,83.96666666666667,12.890435730933731,13.85641501902778,11.90382763252688,12.5492402336589,13.034426424309066,1.1320760870388142,60.38055555555555,60.16532258064516,62.53769414575866,66.92373058542414,3.924146785443863,0.0,0.0,0.3333333333333333,0.1666666666666666,0.5773502691896258,0.0,0.0,1.0,1.0,-2477.0,-2110.0,-8.133680555555554,-25.800000000000004,1.0009560229445509,1.0589450270098506,8372.0,12959.0,0.0,0.2833333333333333,4469.433333333333,4112.133333333333,1.0,1.0,0.5231819692271722,1,500m,500 m,100052870,4.01571,50.93549,Aalst 2,Aalst,2019-08-22
