site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
37,2024,11,0.9980485331625242,1,2_5km,2.5 km,Lommel teller 1,Lommel,2022-04-20,5.29211,51.23299,46,Higher risk
41,2024,11,0.9978817742582639,1,2_5km,2.5 km,Maasmechelen teller 1,Maasmechelen,2022-04-22,5.69799,50.97025,47,Higher risk
84,2024,11,0.9977738289613829,1,2_5km,2.5 km,Roeselare totem,Izegem,2022-07-13,3.18772,50.91717,48,Higher risk
122,2024,11,0.9977355723402404,1,2_5km,2.5 km,Dendermonde teller 2,Dendermonde,2022-10-05,4.1019222,51.0373918,49,Higher risk
38,2024,11,0.9977168040486804,1,2_5km,2.5 km,Lommel teller 2,Lommel,2022-04-20,5.29189,51.23277,50,Higher risk
138,2024,11,0.9976170390514876,1,2_5km,2.5 km,Hasselt-Kempische brug,Hasselt,2023-04-20,5.3422472,50.9405318,51,Higher risk
80,2024,4,0.9975822422923594,1,2_5km,2.5 km,Wemmel teller 1,Wemmel,2022-07-13,4.29571,50.91418,52,Higher risk
101,2024,11,0.997418714258457,1,2_5km,2.5 km,Diest teller 1,Diest,2022-08-02,5.04481,50.97799,53,Higher risk
51,2024,11,0.99741536149547,1,2_5km,2.5 km,"Brugge, Sint-Andries",Brugge,2022-06-01,3.16252,51.19281,54,Higher risk
25,2024,11,0.9973406158445709,1,2_5km,2.5 km,Bree,Bree,2020-05-09,5.597669323604317,51.13679500160176,55,Higher risk
109,2024,11,0.9973134963253218,1,2_5km,2.5 km,Zemst,Zemst,2022-08-26,4.4707023,50.9903936,56,Higher risk
126,2024,11,0.9970194200368823,1,2_5km,2.5 km,Hamme totem,Hamme,2022-10-25,4.1469307,51.1017709,57,Higher risk
102,2024,11,0.9967057055389199,1,2_5km,2.5 km,Diest teller 2,Diest,2022-08-02,5.04474,50.9779,58,Higher risk
95,2024,11,0.996207066300456,1,2_5km,2.5 km,Lier teller 1,Lier,2022-07-26,4.58437,51.11687,59,Higher risk
96,2024,11,0.9958235938257836,1,2_5km,2.5 km,Lier teller 2,Lier,2022-07-26,4.58444,51.11705,60,Higher risk
89,2024,11,0.9956274833310103,1,2_5km,2.5 km,Westerlo teller 2,Westerlo,2022-07-16,4.91334,51.08191,61,Higher risk
23,2024,11,0.9955516405494444,1,2_5km,2.5 km,Tienen 3,Tienen,2019-08-31,4.93447,50.81324,62,Higher risk
61,2024,11,0.995538200934095,1,2_5km,2.5 km,Wervik teller 2,Wervik,2022-06-05,3.0921,50.80555,63,Higher risk
135,2024,11,0.9953975535000351,1,2_5km,2.5 km,Retie 2,Dessel,2023-02-15,5.1040064,51.2544998,64,Higher risk
134,2024,11,0.9951766305344143,1,2_5km,2.5 km,Retie,Dessel,2023-02-15,5.1037658,51.2548405,65,Higher risk
94,2024,11,0.9950574792674907,1,2_5km,2.5 km,Herentals teller 2,Herentals,2022-07-24,4.81283,51.17345,66,Higher risk
22,2024,11,0.9949896025262821,1,2_5km,2.5 km,Tienen 2,Tienen,2019-08-31,4.935984252796022,50.81330800184882,67,Higher risk
97,2024,11,0.9945475114767086,1,2_5km,2.5 km,Geel teller 1,Geel,2022-07-26,4.99698,51.14813,68,Higher risk
64,2024,11,0.9944273815940504,1,2_5km,2.5 km,Nieuwpoort teller 1,Nieuwpoort,2022-06-24,2.75737,51.13359,69,Higher risk
98,2024,11,0.9943841764746574,1,2_5km,2.5 km,Geel teller 2,Geel,2022-07-26,4.99643,51.1481,70,Higher risk
24,2024,11,0.9942548678624911,1,2_5km,2.5 km,Tienen 1,Tienen,2019-08-31,4.935044252605416,50.8133795491886,71,Higher risk
121,2024,11,0.9940318121270832,1,2_5km,2.5 km,Zele teller 2,Zele,2022-10-05,4.0556696,51.0604067,72,Higher risk
62,2024,11,0.9937701075306965,1,2_5km,2.5 km,Wervik teller 1,Wervik,2022-06-05,3.09154,50.8058,73,Higher risk
8,2024,11,0.9936149129525886,1,2_5km,2.5 km,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22,4.68823,51.06759,74,Higher risk
9,2024,11,0.9935931914291538,1,2_5km,2.5 km,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22,4.69524,51.06904,75,Higher risk
65,2024,11,0.9930765078598096,1,2_5km,2.5 km,Nieuwpoort teller 2,Nieuwpoort,2022-06-24,2.75511,51.13435,76,Higher risk
108,2024,11,0.9930071948214614,1,2_5km,2.5 km,Heverlee teller 1,Leuven,2022-08-25,4.6954674,50.8471728,77,Higher risk
120,2024,11,0.9929907269542151,1,2_5km,2.5 km,Zele teller 1,Zele,2022-10-05,4.0547741,51.0607671,78,Higher risk
139,2024,11,0.992834765354061,1,2_5km,2.5 km,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,5.3819796,51.0644267,79,Higher risk
127,2024,11,0.9920668614962375,1,2_5km,2.5 km,Geel totem,Westerlo,2022-10-26,4.9400421,51.1342966,80,Higher risk
112,2024,11,0.9914121667479274,1,2_5km,2.5 km,Geel teller 2,Westerlo,2022-09-06,4.9394789,51.1354992,81,Higher risk
66,2024,11,0.9856934003016288,1,2_5km,2.5 km,Nieuwpoort totem,Nieuwpoort,2022-06-30,2.74369,51.1347,82,Higher risk
116,2024,11,0.9856442498675249,1,2_5km,2.5 km,Melle teller 2,Melle,2022-10-01,3.8040599,50.9986113,83,Higher risk
55,2024,11,0.9850887575778114,1,2_5km,2.5 km,Torhout teller 1,Torhout,2022-06-02,3.08261,51.07161,84,Higher risk
56,2024,11,0.984314964510514,1,2_5km,2.5 km,Torhout teller 2,Torhout,2022-06-02,3.08244,51.07147,85,Higher risk
88,2024,11,0.9837794280548874,1,2_5km,2.5 km,Westerlo teller 1,Westerlo,2022-07-16,4.91325,51.082,86,Higher risk
76,2024,11,0.9824689275913584,1,2_5km,2.5 km,Heverlee teller 2,Leuven,2022-07-07,4.69597,50.84606,87,Higher risk
117,2024,11,0.9816461450550769,1,2_5km,2.5 km,Melle teller 1,Melle,2022-10-01,3.8040599,50.9986113,88,Higher risk
124,2024,11,0.9813291996328003,1,2_5km,2.5 km,Beveren teller 2,Beveren,2022-10-06,4.2361077,51.1964712,89,Higher risk
63,2024,11,0.9811652148596084,1,2_5km,2.5 km,Nieuwpoort teller 3,Nieuwpoort,2022-06-24,2.74289,51.13529,90,Higher risk
46,2024,11,0.9782629276062946,1,2_5km,2.5 km,Pelt teller 2,Pelt,2022-04-30,5.44375,51.231,91,Higher risk
67,2024,11,0.9781981495742422,1,2_5km,2.5 km,Ieper totem,Ieper,2022-06-30,2.85624,50.85018,92,Higher risk
45,2024,11,0.9781538671078435,1,2_5km,2.5 km,Pelt teller 1,Pelt,2022-04-30,5.44377,51.23127,93,Higher risk
132,2024,11,0.9772868285492364,1,2_5km,2.5 km,Gierde lille,Lille,2023-02-15,4.8298851,51.245445,94,Higher risk
5,2024,11,0.9760496654821139,1,2_5km,2.5 km,Balen 2,Balen,2019-08-22,5.19003,51.16018,95,Higher risk
91,2024,11,0.97426420809924,1,2_5km,2.5 km,Brecht teller 2,Brecht,2022-07-21,4.62422,51.35739,96,Higher risk
90,2024,11,0.9740822917314744,1,2_5km,2.5 km,Brecht teller 1,Brecht,2022-07-21,4.6243,51.35752,97,Higher risk
70,2024,11,0.9737248915969985,1,2_5km,2.5 km,Kampenhout teller 1,Kampenhout,2022-07-07,4.59318,50.95682,98,Higher risk
4,2024,11,0.9728286708314516,1,2_5km,2.5 km,Balen 1,Balen,2019-08-22,5.19011,51.16023,99,Higher risk
93,2024,11,0.97069498213086,1,2_5km,2.5 km,Nijlen teller 2,Nijlen,2022-07-24,4.64469,51.14998,100,Higher risk
92,2024,11,0.9698994577808573,1,2_5km,2.5 km,Nijlen teller 1,Nijlen,2022-07-24,4.64479,51.14989,101,Higher risk
85,2024,11,0.9697028646205992,1,2_5km,2.5 km,Asse teller 1,Asse,2022-07-14,4.17294,50.89621,102,Higher risk
40,2024,11,0.9627401982527928,1,2_5km,2.5 km,Peer teller 2,Peer,2022-04-20,5.47892,51.13438,103,Higher risk
86,2024,11,0.962186210930592,1,2_5km,2.5 km,Asse teller 2,Asse,2022-07-14,4.1709,50.89132,104,Higher risk
133,2024,11,0.9597873665630386,1,2_5km,2.5 km,Gierde Lille Totem,Lille,2023-02-15,4.8297416,51.2453915,105,Higher risk
114,2024,11,0.9575017103135074,1,2_5km,2.5 km,Deinze teller 1,Nazareth,2022-09-21,3.555502,50.9598305,106,Higher risk
71,2024,11,0.9547635476995654,1,2_5km,2.5 km,Kampenhout teller 2,Kampenhout,2022-07-07,4.59164,50.95589,107,Higher risk
81,2024,11,0.9532838182677571,1,2_5km,2.5 km,Wemmel teller 2,Wemmel,2022-07-13,4.29568,50.91439,108,Higher risk
103,2024,11,0.9516650162697157,1,2_5km,2.5 km,Malle teller 1,Malle,2022-08-03,4.73872,51.31681,109,Higher risk
68,2024,11,0.9513458123994304,1,2_5km,2.5 km,Ieper,Ieper,2022-06-30,2.85608,50.85032,110,Higher risk
39,2024,11,0.9501617861075319,1,2_5km,2.5 km,Peer teller 1,Peer,2022-04-20,5.47817,51.13425,111,Higher risk
82,2024,11,0.9484752309442296,1,2_5km,2.5 km,Beersel teller 1,Beersel,2022-07-13,4.33336,50.75128,112,Higher risk
34,2024,11,0.9478416277954212,1,2_5km,2.5 km,Heers teller 1,Heers,2022-04-15,5.3033,50.75486,113,Higher risk
115,2024,11,0.9438342542472012,1,2_5km,2.5 km,Aalter,Aalter,2022-10-01,3.4350591,51.1058367,114,Higher risk
44,2024,11,0.9407702633353433,1,2_5km,2.5 km,Maaseik teller 2,Maaseik,2022-04-28,5.79726,51.09359,115,Higher risk
48,2024,11,0.9401292372217961,1,2_5km,2.5 km,As,As,2022-06-01,5.60389,51.00509,116,Higher risk
113,2024,11,0.9401209421088373,1,2_5km,2.5 km,Deinze teller 2,Deinze,2022-09-21,3.55578,50.96018,117,Higher risk
104,2024,11,0.9392336599888691,1,2_5km,2.5 km,Malle teller 2,Malle,2022-08-03,4.73852,51.31682,118,Higher risk
83,2024,11,0.9353570722271494,1,2_5km,2.5 km,Beersel teller 2,Beersel,2022-07-13,4.33304,50.75175,119,Higher risk
57,2024,11,0.9193394677241202,1,2_5km,2.5 km,Meulebeke teller 1,Meulebeke,2022-06-03,3.24491,50.96056,120,Higher risk
58,2024,11,0.9110668565701467,1,2_5km,2.5 km,Meulebeke teller 2,Meulebeke,2022-06-03,3.24471,50.96021,121,Higher risk
28,2024,11,0.9082203781505375,1,2_5km,2.5 km,Heers,Heers,2022-04-14,5.30314,50.75488,122,Higher risk
78,2024,11,0.9022286505289029,1,2_5km,2.5 km,Pepingen teller 1,Pepingen,2022-07-13,4.1652,50.75824,123,Higher risk
43,2024,11,0.8941140497209975,1,2_5km,2.5 km,Maaseik teller 1,Maaseik,2022-04-28,5.79715,51.09344,124,Higher risk
29,2024,11,0.891394788783469,1,2_5km,2.5 km,Tongeren,Tongeren,2022-04-14,5.52825,50.79286,125,Higher risk
79,2024,11,0.864633792105327,1,2_5km,2.5 km,Pepingen teller 2,Pepingen,2022-07-13,4.16537,50.75848,126,Higher risk
73,2024,11,0.3410500077130947,1,2_5km,2.5 km,Herent teller 2,Herent,2022-07-07,4.64685,50.89128,127,Higher risk
59,2024,11,0.2977234075394492,1,2_5km,2.5 km,Ardooie teller 1,Ardooie,2022-06-03,3.18479,50.96784,128,Higher risk
106,2024,11,0.287822340100653,1,2_5km,2.5 km,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,2022-08-04,4.24951,50.75533,129,Higher risk
72,2024,11,0.2762455247186629,1,2_5km,2.5 km,Herent teller 1,Herent,2022-07-07,4.64689,50.89135,130,Higher risk
21,2024,11,0.26848155790146033,1,2_5km,2.5 km,Bilzen,Bilzen,2019-08-31,5.50161,50.86015,131,Higher risk
60,2024,11,0.24019521357288467,1,2_5km,2.5 km,Ardooie teller 2,Ardooie,2022-06-03,3.18411,50.96783,132,Higher risk
131,2024,11,0.1656590341661882,0,2_5km,2.5 km,Nevele,Deinze,2023-01-25,3.558569,51.0276612,133,Lower risk
35,2024,11,0.14826354000487682,0,2_5km,2.5 km,Lanaken teller 1,Lanaken,2022-04-15,5.6314,50.88112,134,Lower risk
36,2024,11,0.14630159702505094,0,2_5km,2.5 km,Lanaken teller 2,Lanaken,2022-04-15,5.63012,50.88131,135,Lower risk
105,2024,11,0.1298814497040653,0,2_5km,2.5 km,St. pieters leeuw teller 2,Halle,2022-08-04,4.24943,50.75509,136,Lower risk
32,2024,11,0.12929073803087632,0,2_5km,2.5 km,Lummen,Lummen,2022-04-14,5.20961,50.97971,137,Lower risk
49,2024,11,0.09940370566136902,0,2_5km,2.5 km,Bokrijk,Genk,2022-06-01,5.41001,50.95264,138,Lower risk
31,2024,11,0.08870870013948465,0,2_5km,2.5 km,Herk De Stad,Herk-de-Stad,2022-04-14,5.1775,50.94366,139,Lower risk
30,2024,11,0.07858846621964548,0,2_5km,2.5 km,Herk De Stad,Herk-de-Stad,2022-04-14,5.17691,50.94374,140,Lower risk
33,2024,11,0.06962204141694137,0,2_5km,2.5 km,Lummen,Lummen,2022-04-14,5.20936,50.97978,141,Lower risk
