site_id,year,month,predicted_probability,predicted_label,radius_key,radius_label,naam,gemeente,datum_van,long,lat,forecast_risk_rank,risk_label
26,2024,11,0.35773230067971534,1,500m,500 m,Zaventem,Zaventem,2021-08-06,4.45444,50.86995,49,Higher risk
127,2024,11,0.3507464809109366,1,500m,500 m,Geel totem,Westerlo,2022-10-26,4.9400421,51.1342966,50,Higher risk
28,2024,11,0.3500861487722394,1,500m,500 m,Heers,Heers,2022-04-14,5.30314,50.75488,51,Higher risk
25,2024,11,0.3444550140962472,1,500m,500 m,Bree,Bree,2020-05-09,5.597669323604317,51.13679500160176,52,Higher risk
27,2024,11,0.33600752555787855,1,500m,500 m,Grimbergen,Meise,2021-08-14,4.34013,50.92127,53,Higher risk
74,2024,11,0.32275977040331316,1,500m,500 m,Kortrijk teller 1,Kortrijk,2022-07-07,3.25728,50.81909,54,Higher risk
100,2024,11,0.3088050926862302,1,500m,500 m,Mechelen teller 2,Mechelen,2022-07-28,4.46883,51.0457,55,Higher risk
99,2024,11,0.3085661853332291,1,500m,500 m,Mechelen teller 1,Mechelen,2022-07-28,4.46882,51.04564,56,Higher risk
75,2024,11,0.30201890121581515,1,500m,500 m,Kortrijk teller 2,Kortrijk,2022-07-07,3.25731,50.81925,57,Higher risk
34,2024,11,0.2948565793650803,1,500m,500 m,Heers teller 1,Heers,2022-04-15,5.3033,50.75486,58,Higher risk
1,2024,11,0.29030399594137424,1,500m,500 m,Machelen,Machelen,2019-08-22,4.456121776137429,50.91618331151478,59,Higher risk
13,2024,11,0.28885219465305706,1,500m,500 m,Gent,Gent,2019-08-22,3.70146,51.03018,60,Higher risk
112,2024,11,0.2401533394455411,1,500m,500 m,Geel teller 2,Westerlo,2022-09-06,4.9394789,51.1354992,61,Higher risk
21,2024,11,0.23164170899663042,1,500m,500 m,Bilzen,Bilzen,2019-08-31,5.50161,50.86015,62,Higher risk
139,2024,11,0.22561648870449197,0,500m,500 m,Houthalen-Helchteren,Houthalen-Helchteren,2023-04-21,5.3819796,51.0644267,63,Lower risk
20,2024,11,0.2153334909340984,0,500m,500 m,Brugge,Brugge,2019-08-22,3.20048,51.17416,64,Lower risk
42,2024,11,0.20615361441200478,0,500m,500 m,Maasmechelen teller 2,Maasmechelen,2022-04-22,5.6981,50.97043,65,Lower risk
55,2024,11,0.2006029749880338,0,500m,500 m,Torhout teller 1,Torhout,2022-06-02,3.08261,51.07161,66,Lower risk
113,2024,11,0.1998499091832073,0,500m,500 m,Deinze teller 2,Deinze,2022-09-21,3.55578,50.96018,67,Lower risk
47,2024,11,0.19379152148812534,0,500m,500 m,Vilvoorde,Vilvoorde,2022-05-19,4.41497,50.91372,68,Lower risk
41,2024,11,0.19132031831671964,0,500m,500 m,Maasmechelen teller 1,Maasmechelen,2022-04-22,5.69799,50.97025,69,Lower risk
52,2024,11,0.1895230058199301,0,500m,500 m,Brugge,Brugge,2022-06-01,3.24095,51.22632,70,Lower risk
56,2024,11,0.18123596578686318,0,500m,500 m,Torhout teller 2,Torhout,2022-06-02,3.08244,51.07147,71,Lower risk
109,2024,11,0.1707276774736713,0,500m,500 m,Zemst,Zemst,2022-08-26,4.4707023,50.9903936,72,Lower risk
53,2024,11,0.16426665215387543,0,500m,500 m,Brugge teller 1,Brugge,2022-06-02,3.228,51.23023,73,Lower risk
131,2024,11,0.16222969900191744,0,500m,500 m,Nevele,Deinze,2023-01-25,3.558569,51.0276612,74,Lower risk
12,2024,11,0.16070922917282127,0,500m,500 m,Tervuren,Kraainem,2019-08-22,4.47803,50.81896,75,Lower risk
54,2024,11,0.14972638328090385,0,500m,500 m,Brugge teller 2,Brugge,2022-06-02,3.22818,51.23015,76,Lower risk
71,2024,11,0.14710151434767066,0,500m,500 m,Kampenhout teller 2,Kampenhout,2022-07-07,4.59164,50.95589,77,Lower risk
49,2024,11,0.1426999454064776,0,500m,500 m,Bokrijk,Genk,2022-06-01,5.41001,50.95264,78,Lower risk
2,2024,11,0.1408406761977275,0,500m,500 m,Brasschaat 2,Brasschaat,2019-08-22,4.47169,51.27512,79,Lower risk
48,2024,11,0.13975951711299267,0,500m,500 m,As,As,2022-06-01,5.60389,51.00509,80,Lower risk
45,2024,11,0.1356911483967121,0,500m,500 m,Pelt teller 1,Pelt,2022-04-30,5.44377,51.23127,81,Lower risk
70,2024,11,0.13492675592736947,0,500m,500 m,Kampenhout teller 1,Kampenhout,2022-07-07,4.59318,50.95682,82,Lower risk
84,2024,11,0.13272807330659758,0,500m,500 m,Roeselare totem,Izegem,2022-07-13,3.18772,50.91717,83,Lower risk
8,2024,11,0.13073092257667418,0,500m,500 m,Heist op den Berg 1,Heist-op-den-Berg,2019-08-22,4.68823,51.06759,84,Lower risk
79,2024,11,0.12867842851760447,0,500m,500 m,Pepingen teller 2,Pepingen,2022-07-13,4.16537,50.75848,85,Lower risk
46,2024,11,0.1285847769081047,0,500m,500 m,Pelt teller 2,Pelt,2022-04-30,5.44375,51.231,86,Lower risk
114,2024,11,0.12548204268599927,0,500m,500 m,Deinze teller 1,Nazareth,2022-09-21,3.555502,50.9598305,87,Lower risk
3,2024,11,0.12415017257628697,0,500m,500 m,Brasschaat 1,Brasschaat,2019-08-22,4.47222,51.27503,88,Lower risk
80,2024,4,0.12010020430706218,0,500m,500 m,Wemmel teller 1,Wemmel,2022-07-13,4.29571,50.91418,89,Lower risk
29,2024,11,0.12003201255668881,0,500m,500 m,Tongeren,Tongeren,2022-04-14,5.52825,50.79286,90,Lower risk
72,2024,11,0.1190112130423452,0,500m,500 m,Herent teller 1,Herent,2022-07-07,4.64689,50.89135,91,Lower risk
95,2024,11,0.11238847396902389,0,500m,500 m,Lier teller 1,Lier,2022-07-26,4.58437,51.11687,92,Lower risk
86,2024,11,0.10885453610042443,0,500m,500 m,Asse teller 2,Asse,2022-07-14,4.1709,50.89132,93,Lower risk
9,2024,11,0.10835577775037505,0,500m,500 m,Heist op den Berg 2,Heist-op-den-Berg,2019-08-22,4.69524,51.06904,94,Lower risk
57,2024,11,0.10807353325529671,0,500m,500 m,Meulebeke teller 1,Meulebeke,2022-06-03,3.24491,50.96056,95,Lower risk
108,2024,11,0.10709229315233787,0,500m,500 m,Heverlee teller 1,Leuven,2022-08-25,4.6954674,50.8471728,96,Lower risk
58,2024,11,0.10321573791603801,0,500m,500 m,Meulebeke teller 2,Meulebeke,2022-06-03,3.24471,50.96021,97,Lower risk
85,2024,11,0.09812623063132636,0,500m,500 m,Asse teller 1,Asse,2022-07-14,4.17294,50.89621,98,Lower risk
73,2024,11,0.09786904929506722,0,500m,500 m,Herent teller 2,Herent,2022-07-07,4.64685,50.89128,99,Lower risk
30,2024,11,0.09410797667334711,0,500m,500 m,Herk De Stad,Herk-de-Stad,2022-04-14,5.17691,50.94374,100,Lower risk
