site_id,year,month,predicted_probability,predicted_label,predicted_count,forecast_risk_score,naam,gemeente,datum_van,forecast_risk_rank
69,2024,11,0.9905823573768084,1.0,1.6868529198426665,0.9893617021276595,Leuven teller 1,Leuven,2022-07-07,1
142,2023,10,0.9986837119370482,1.0,1.083633535358106,0.9787234042553192,TEST Validatie BRUGGE Y2H22022134,Brugge,2023-10-24,2
107,2024,11,0.9285599604478736,1.0,1.761734609913149,0.975177304964539,leuven totem,Leuven,2022-08-23,3
16,2024,11,0.9378445877605316,1.0,1.1568568978448184,0.9751773049645389,Kortrijk 1,Kortrijk,2019-08-22,4
17,2024,11,0.930312988491518,1.0,1.3765639006359087,0.9716312056737588,Kortrijk 2,Kortrijk,2019-08-22,5
137,2024,11,0.9418495209806468,1.0,0.9822845277710458,0.9680851063829787,Hasselt-Kempische brug,Hasselt,2023-04-19,6
143,2024,11,0.8567395784362026,1.0,2.3340710562943,0.9539007092198581,Eco Display Classic Budastraat,Kortrijk,2023-12-08,7
77,2024,11,0.922252448116646,1.0,0.8949595142176554,0.9397163120567376,Leuven teller 2,Leuven,2022-07-07,8
118,2024,11,0.9249202788655644,1.0,0.8690088430011278,0.9361702127659575,Gent teller 1,Gent,2022-10-04,9
7,2024,11,0.9371095708038656,1.0,0.7205320154516084,0.9290780141843971,Evergem 1,Evergem,2019-08-22,10
6,2024,11,0.915905646914553,1.0,0.801341790592543,0.9184397163120568,Evergem 2,Evergem,2019-08-22,11
140,2024,11,0.833297579946613,1.0,1.1008109280772047,0.9184397163120568,Hasselt ring,Hasselt,2023-05-04,12
25,2024,11,0.8260291759444817,1.0,0.916640227952042,0.9042553191489362,Bree,Bree,2020-05-09,13
125,2024,11,0.9130699483306056,1.0,0.6797932439736059,0.9007092198581561,Dendermonde totem,Dendermonde,2022-10-22,14
23,2024,11,0.8976798039720723,1.0,0.6763255356538991,0.8936170212765957,Tienen 3,Tienen,2019-08-31,15
18,2024,11,0.7915190908169322,1.0,0.8758186230608235,0.8865248226950355,Oostende 1,Oostende,2019-08-22,16
24,2024,11,0.8744174716087946,1.0,0.606596093495666,0.8829787234042553,Tienen 1,Tienen,2019-08-31,17
15,2024,11,0.7662562623845436,1.0,0.8596130717536823,0.8723404255319149,Oostende 2,Oostende,2019-08-22,18
100,2024,11,0.7798231567080972,1.0,0.7505132433302506,0.8652482269503545,Mechelen teller 2,Mechelen,2022-07-28,19
111,2024,11,0.8390836336014889,1.0,0.5684783205389,0.8581560283687943,Zaventem totem,Zaventem,2022-09-02,20
101,2024,11,0.7595027002608414,1.0,0.6866758172608438,0.8475177304964538,Diest teller 1,Diest,2022-08-02,21
22,2024,11,0.7925350342423508,1.0,0.5568638914153453,0.8368794326241135,Tienen 2,Tienen,2019-08-31,22
138,2024,11,0.8065928592358609,1.0,0.5282966801545669,0.8297872340425532,Hasselt-Kempische brug,Hasselt,2023-04-20,23
102,2024,11,0.7085659046755463,1.0,0.6417574806854324,0.8297872340425532,Diest teller 2,Diest,2022-08-02,24
115,2024,11,0.764348221147853,1.0,0.5189131597170266,0.8049645390070922,Aalter,Aalter,2022-10-01,25
41,2024,11,0.8442004075331297,1.0,0.4439166281522428,0.801418439716312,Maasmechelen teller 1,Maasmechelen,2022-04-22,26
64,2024,11,0.7564028635128416,1.0,0.5273337957116297,0.801418439716312,Nieuwpoort teller 1,Nieuwpoort,2022-06-24,27
42,2024,11,0.8365661897582424,1.0,0.4432355743621287,0.7872340425531915,Maasmechelen teller 2,Maasmechelen,2022-04-22,28
13,2024,11,0.6944890707560875,1.0,0.5030261830271991,0.7872340425531915,Gent,Gent,2019-08-22,29
126,2024,11,0.6305990511152897,1.0,0.5537758343625411,0.7872340425531914,Hamme totem,Hamme,2022-10-25,30
89,2024,11,0.5844174057204561,1.0,0.5858646866436904,0.7765957446808511,Westerlo teller 2,Westerlo,2022-07-16,31
122,2024,11,0.8407417577840772,1.0,0.4322063173049456,0.776595744680851,Dendermonde teller 2,Dendermonde,2022-10-05,32
