site_id,year,month,crash_count_2_5km,nearest_crash_distance_km,average_crash_distance_km,crash_happened_in_month_2_5km
1,2017,1,9,0.5728047390257447,1.855952077079012,1
1,2017,2,10,0.5728047390257447,1.7274662017252034,1
1,2017,3,10,0.5981828847941292,1.857090309411862,1
1,2017,4,4,1.5261838842784847,2.174813072238341,1
1,2017,5,8,0.5728047390257447,1.6749438904453835,1
1,2017,6,8,0.5467786747906214,1.5918126938944077,1
1,2017,7,9,0.2468810722563423,1.6994985842632029,1
1,2017,8,13,0.5910382924848491,2.014560665659288,1
1,2017,9,12,1.2916920462534405,2.1472872318377596,1
1,2017,10,11,1.3660552198145135,1.9042378669840099,1
1,2017,11,7,1.658221652598971,2.1129979062749986,1
1,2017,12,6,1.694647162311159,2.2074625505346037,1
1,2018,1,8,0.6458870243292942,1.6814067382809768,1
1,2018,2,13,0.2512816473757054,1.6011728738453952,1
1,2018,3,8,0.2512816473757054,1.3322849698759107,1
1,2018,4,7,0.9005703549965647,1.6307016444295444,1
1,2018,5,8,0.6481972369464827,1.9688643935855121,1
1,2018,6,9,0.6458870243292942,1.7739285671753349,1
1,2018,7,7,1.1098159560943346,1.7137536927597297,1
1,2018,8,4,1.5896657606511648,2.0120189275698337,1
1,2018,9,8,0.8862979036519595,1.6874177702830921,1
1,2018,10,7,0.8311532749631134,1.7315568608835732,1
1,2018,11,10,0.2512816473757054,1.8801592320931413,1
1,2018,12,4,1.749444004740301,2.0507461375769336,1
1,2019,1,8,0.7941015512355367,1.928290718735897,1
1,2019,2,8,1.6285755706313605,1.962710877322205,1
1,2019,3,10,0.5728047390257447,1.894165425746334,1
1,2019,4,8,0.2056366520774073,1.7445800153143631,1
1,2019,5,9,0.9507599906286304,1.7978713200226513,1
1,2019,6,7,1.4845376863546,2.0455695852968456,1
1,2019,7,8,0.2056366520774073,1.78443912840473,1
1,2019,8,6,0.5972105578423624,1.4880857213621894,1
1,2019,9,10,0.1456083565023246,1.8826972098549575,1
1,2019,10,13,1.1589177332827492,1.9986259193324634,1
1,2019,11,10,0.2417782945238176,1.5227796077164557,1
1,2019,12,3,0.1848954267263072,1.5048905843682292,1
1,2020,1,9,1.507524187378473,1.9605512072723106,1
1,2020,2,12,1.1307375817597187,1.8955935840554543,1
1,2020,3,3,1.07999839464503,1.6187485227222915,1
1,2020,4,5,1.561109498339752,1.9957947866889587,1
1,2020,5,4,2.000303283521162,2.103343229046867,1
1,2020,6,7,1.9326716106515616,2.2138869195421007,1
1,2020,7,14,0.5972105578423624,2.0110678238780517,1
1,2020,8,8,0.331674015744081,1.885722811569381,1
1,2020,9,13,0.965424576129112,2.118949193773393,1
1,2020,10,11,0.5981828847941292,1.9642428142982025,1
1,2020,11,7,1.047234705139659,1.882111276496648,1
1,2020,12,10,0.5728047390257447,1.7483742234806847,1
1,2021,1,6,0.6336456203489131,1.7446226749949527,1
1,2021,2,7,0.5796882934375847,1.6200490367175402,1
1,2021,3,5,0.649166217845214,1.7323881188878516,1
1,2021,4,5,1.3205848596004512,1.9371782621177338,1
1,2021,5,12,0.7941015512355367,1.9370569711552286,1
1,2021,6,11,0.8283488750018266,1.7030840558812423,1
1,2021,7,6,0.649166217845214,1.7631366508529809,1
1,2021,8,7,1.159095035474123,1.9006663611318984,1
1,2021,9,12,1.055973243327737,1.7989955285311172,1
1,2021,10,8,0.2295573190406159,1.5481497641338289,1
1,2021,11,15,0.1848954267263072,1.7038647548865384,1
1,2021,12,7,1.6285755706313605,1.998014189045749,1
1,2022,1,2,1.5008783173013382,1.6519391112193849,1
1,2022,2,6,1.6418115236439634,2.145632407118163,1
1,2022,3,8,1.024032236294328,2.01347633718528,1
1,2022,4,9,1.706761568805815,2.108890741910479,1
1,2022,5,12,0.805674656424492,1.8970939431205185,1
1,2022,6,19,0.6469479063627595,1.7644818490354597,1
1,2022,7,10,0.5971288813081389,1.4243032953917893,1
1,2022,8,9,0.9748773049347546,2.0459858851024313,1
1,2022,9,14,0.6491662798827775,1.616937536936092,1
1,2022,10,16,0.1575657378048483,1.6690950619811942,1
1,2022,11,15,1.5943673229400344,2.0456138778449064,1
1,2022,12,11,0.7661127499923202,1.8119470128465716,1
1,2023,1,9,1.6098303011599076,2.130187367191991,1
1,2023,2,9,0.6350758040337076,1.9361424707925852,1
1,2023,3,12,0.5054871997538742,1.7074568899994198,1
1,2023,4,16,0.213385482366535,1.734902264865613,1
1,2023,5,15,0.2519582970061602,1.7524946372134724,1
1,2023,6,10,0.6495912428318457,1.6294312922708172,1
1,2023,7,9,0.2519582970061602,1.3623361456402643,1
1,2023,8,11,1.5106646000662165,1.9312140133671711,1
1,2023,9,17,0.7419231183789851,1.7492855526813502,1
1,2023,10,13,0.2519582970061602,1.8288043803525211,1
1,2023,11,20,0.2519582970061602,1.8638263996211992,1
1,2023,12,9,0.2519582970061602,1.6429384123222306,1
1,2024,1,6,0.6495912428318457,1.4865630217709176,1
1,2024,2,11,0.7676317600574872,1.9722748220519057,1
1,2024,3,5,1.3989183390484226,1.8336135866805552,1
1,2024,4,11,0.1877411540581442,1.5798226212013455,1
1,2024,5,10,0.2519582970061602,1.8040182934746583,1
1,2024,6,10,0.8774619598670225,1.8788239674440923,1
1,2024,7,7,0.7318217565974703,1.8470291484901882,1
1,2024,8,12,0.2515973551979599,1.5564362611337066,1
1,2024,9,16,0.6494165555204929,1.882450807199849,1
1,2024,10,22,0.1877277464249541,1.8214248116872178,1
1,2024,11,6,0.883704139132326,1.4981823500952107,1
1,2024,12,6,0.9986043874111888,1.7588670623552105,1
2,2017,1,12,0.217599535438059,1.612336016190393,1
2,2017,2,5,0.9661820397295944,1.3226490469877425,1
2,2017,3,9,0.9661820397295944,1.9162984742141431,1
2,2017,4,8,0.1382308183811662,1.5124218965260439,1
2,2017,5,12,0.1382308183811662,1.6695119757409522,1
2,2017,6,17,0.2513456970542899,1.5658487192166934,1
2,2017,7,8,0.217599535438059,1.7789977384155788,1
2,2017,8,16,0.1382308183811662,1.6119566581477116,1
2,2017,9,11,1.3291616761742333,2.2338675027725157,1
2,2017,10,5,1.034888731153732,1.701941992670431,1
2,2017,11,11,0.9847327347325482,1.8546385529825906,1
2,2017,12,8,0.8943735301815771,1.676805536718084,1
2,2018,1,9,0.9929984014672424,1.6593971397074958,1
2,2018,2,9,0.0660776105202289,1.5035055705282194,1
2,2018,3,13,0.0488118568723446,1.68368874946232,1
2,2018,4,4,1.0910924595917366,1.8181103641248864,1
2,2018,5,13,0.0488118568723446,1.4204226311003518,1
2,2018,6,11,0.058601870143023,1.5136320658244828,1
2,2018,7,14,0.9392369506634652,1.7226920707438929,1
2,2018,8,13,0.0624090346974545,1.3788986560126952,1
2,2018,9,14,0.1382308183811662,1.8765631248775576,1
2,2018,10,12,0.8956206250176786,1.6222598772263888,1
2,2018,11,12,0.6088205486363271,1.697336292685888,1
2,2018,12,7,0.5245493013972407,1.456548483510797,1
2,2019,1,8,0.1513106882629191,1.5016474465648026,1
2,2019,2,10,1.181488109712544,1.9099287791826416,1
