site_id,year,month,interval_count_in,interval_count_out,max_interval_count_in,max_interval_count_out,mean_interval_count_in,mean_interval_count_out,min_interval_count_in,min_interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,crash_count_500m,crash_happened_500m,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,crash_count_500m_lag1,crash_count_500m_lag2,crash_count_500m_roll3_mean,crash_count_500m_roll6_mean,crash_count_500m_roll3_std,crash_happened_500m_lag1,crash_happened_500m_lag2,crash_count_500m_roll3_sum,crash_count_500m_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,crashes_per_1000_cyclists_lag1,site_avg_crash_count_history,site_avg_total_count_in_history,site_avg_total_count_out_history,target_crash_count_next_month_500m,target_crash_happened_next_month_500m
1,2019,9,2880,2880,73.0,45.0,2.451041666666667,2.0909722222222222,0.0,0.0,7059.0,6022.0,1103,1109,720,15.374583333333334,6.1,25.8,73.17893493194444,56.8,56.8,0.0,59.31805555555555,14.673562786944444,3.0,3.51331843620502,1.0,1,-1.0,-1.8369701987210294e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.172201926270342,,13081.0,,,,,,0.0,0.0
1,2019,10,2976,2976,30.0,30.0,1.840725806451613,1.6935483870967742,0.0,0.0,5478.0,5040.0,1252,1289,744,12.40893817204301,0.7,23.6,82.47122202150537,113.6,113.6,0.0,80.63709677419355,16.540118407526883,3.0,3.51331843620502,0.0,0,-0.8660254037844386,0.5000000000000001,7059.0,,7059.0,7059.0,,6022.0,,6022.0,6022.0,,2.451041666666667,,2.451041666666667,2.451041666666667,,2.0909722222222222,,2.0909722222222222,2.0909722222222222,,1103.0,,1103.0,1103.0,,1109.0,,1109.0,1109.0,,15.374583333333334,,15.374583333333334,15.374583333333334,,56.8,,56.8,56.8,,14.673562786944444,,14.673562786944444,14.673562786944444,,59.31805555555555,,59.31805555555555,59.31805555555555,,1.0,,1.0,1.0,,1.0,,1.0,1.0,-1581.0,-982.0,-2.9656451612903236,56.8,1.0869047619047618,1.172201926270342,10518.0,13081.0,0.07644675483525724,1.0,7059.0,6022.0,2.0,1.0
1,2019,11,2880,2880,32.0,25.0,1.4715277777777778,1.4552083333333334,0.0,0.0,4238.0,4191.0,1375,1365,720,6.553680555555555,-1.75,14.8,87.79495963055555,69.5,69.5,0.0,70.69305555555556,14.510999752222222,3.0,3.51331843620502,2.0,1,-0.5000000000000004,0.8660254037844384,5478.0,7059.0,6268.5,6268.5,1117.9358210559317,5040.0,6022.0,5531.0,5531.0,694.3788591251897,1.840725806451613,2.451041666666667,2.14588373655914,2.14588373655914,0.43155848342376557,1.6935483870967742,2.0909722222222222,1.8922603046594983,1.8922603046594983,0.28102108882236876,1252.0,1103.0,1177.5,1177.5,105.35891039679558,1289.0,1109.0,1199.0,1199.0,127.27922061357856,12.40893817204301,15.374583333333334,13.891760752688171,13.891760752688171,2.0970278041414594,113.6,56.8,85.19999999999999,85.19999999999999,40.163665171395905,16.540118407526883,14.673562786944444,15.606840597235664,15.606840597235664,1.3198541367757068,80.63709677419355,59.31805555555555,69.97757616487455,69.97757616487455,15.07483861409445,0.0,1.0,0.5,0.5,0.7071067811865476,0.0,1.0,1.0,1.0,-1240.0,-849.0,-5.855257616487455,-44.099999999999994,1.0112145072774994,1.0869047619047618,8429.0,10518.0,0.0,0.5,6268.5,5531.0,1.0,1.0
1,2019,12,2976,2976,31.0,17.0,1.1794354838709675,1.095766129032258,0.0,0.0,3510.0,3261.0,1572,1583,744,5.832325268817204,-2.2,15.1,85.44804557526882,74.2,74.2,0.0,69.84543010752688,18.34630571061828,3.0,3.51331843620502,1.0,1,-2.4492935982947064e-16,1.0,4238.0,5478.0,5591.666666666667,5591.666666666667,1413.9308092453937,4191.0,5040.0,5084.333333333333,5084.333333333333,916.304716419889,1.4715277777777778,1.840725806451613,1.9210984169653524,1.9210984169653524,0.49467836219320693,1.4552083333333334,1.6935483870967742,1.7465763142174433,1.7465763142174433,0.3211820377835864,1375.0,1252.0,1243.3333333333333,1243.3333333333333,136.2069503855561,1365.0,1289.0,1254.3333333333333,1254.3333333333333,131.47369825685035,6.553680555555555,12.40893817204301,11.445734020310633,11.445734020310633,4.488641568691779,69.5,113.6,79.96666666666665,79.96666666666665,29.811463119634592,14.510999752222222,16.540118407526883,15.241560315564518,15.241560315564518,1.1275178595992308,70.69305555555556,80.63709677419355,70.21606929510155,70.21606929510155,10.667521574386104,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,-728.0,-930.0,-0.7213552867383513,4.700000000000003,1.076356945722171,1.0112145072774994,6771.0,8429.0,0.23727607070826906,1.0,5591.666666666667,5084.333333333333,0.0,0.0
1,2020,1,2976,2976,51.0,46.0,1.4163306451612905,1.3958333333333333,0.0,0.0,4215.0,4154.0,1449,1401,744,5.835887096774193,-2.05,13.0,87.11981076075269,37.2,37.2,0.0,72.33602150537635,17.26306297747312,3.0,3.51331843620502,0.0,0,0.4999999999999999,0.8660254037844387,3510.0,4238.0,4408.666666666667,5071.25,995.0383577196078,3261.0,4191.0,4164.0,4628.5,889.8072825055995,1.1794354838709675,1.4715277777777778,1.497229689366786,1.7356826836917563,0.3313935181611135,1.095766129032258,1.4552083333333334,1.4148409498207883,1.583873767921147,0.3009286481093395,1572.0,1375.0,1399.6666666666667,1325.5,161.41974269999733,1583.0,1365.0,1412.3333333333333,1336.5,152.6084313966085,5.832325268817204,6.553680555555555,8.26498133213859,10.042381832437275,3.6068507150517495,74.2,69.5,85.76666666666665,78.525,24.218656720250472,18.34630571061828,14.510999752222222,16.46580795678913,16.01774666432796,1.9187325193845328,69.84543010752688,70.69305555555556,73.72519414575866,70.12340949820789,6.000867910874261,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,705.0,893.0,0.0035618279569886724,-37.0,1.0146846413095811,1.076356945722171,8369.0,6771.0,0.14768867227883622,1.0,5071.25,4628.5,0.0,0.0
1,2020,2,2784,2784,18.0,18.0,1.1767241379310345,1.1458333333333333,0.0,0.0,3276.0,3190.0,1495,1466,696,7.131321839080459,-1.65,16.25,78.9115035933908,132.4,127.10000006,3.70999998,74.05172413793103,25.13964558071839,3.0,3.51331843620502,0.0,0,0.8660254037844386,0.5000000000000001,4215.0,3510.0,3987.6666666666665,4900.0,413.8312860736059,4154.0,3261.0,3868.6666666666665,4533.6,526.5798451643711,1.4163306451612905,1.1794354838709675,1.3557646356033455,1.671812275985663,0.15517943863561703,1.3958333333333333,1.095766129032258,1.3156025985663085,1.5462656810035842,0.19268472347113194,1449.0,1572.0,1465.3333333333333,1350.2,99.51046846102842,1401.0,1583.0,1449.6666666666667,1349.4,116.86459401090377,5.835887096774193,5.832325268817204,6.073964307048985,9.20108288530466,0.4154502749614249,37.2,74.2,60.30000000000001,70.26,20.142740627829156,17.26306297747312,18.34630571061828,16.706789480104543,16.266809926956988,1.9772387568356744,72.33602150537635,69.84543010752688,70.95816905615294,70.56593189964158,1.2662840336629926,0.0,1.0,1.0,0.8,1.0,0.0,1.0,3.0,4.0,-939.0,-964.0,1.2954347423062664,95.2,1.026959247648903,1.0146846413095811,6466.0,8369.0,0.0,0.8,4900.0,4533.6,0.0,0.0
1,2020,3,2972,2972,33.0,31.0,1.7752355316285329,1.721399730820996,0.0,0.0,5276.0,5116.0,1408,1351,744,6.795631720430107,-2.55,15.65,73.45239930107526,71.4,71.3,0.07,53.70161290322581,17.758615599731183,0.0,3.51331843620502,0.0,0,1.0,6.123233995736766e-17,3276.0,4215.0,3667.0,4629.333333333333,488.7913665358684,3190.0,4154.0,3535.0,4309.666666666667,537.2438924734274,1.1767241379310345,1.4163306451612905,1.257496755654431,1.5892975863098917,0.13756086358811964,1.1458333333333333,1.3958333333333333,1.212477598566308,1.4795269563918758,0.16075190618029436,1495.0,1449.0,1505.3333333333333,1374.3333333333333,62.147673595504266,1466.0,1401.0,1483.3333333333333,1368.8333333333333,92.2297854997688,7.131321839080459,5.835887096774193,6.266511401557286,8.85612271093396,0.7489499257569738,132.4,37.2,81.26666666666667,80.61666666666666,47.991804855968205,25.13964558071839,17.26306297747312,20.249671422936597,17.745615869250557,4.269337085843457,74.05172413793103,72.33602150537635,72.07772525027809,71.14689727268983,2.1150094761257843,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5773502691896258,0.0,0.0,1.0,4.0,2000.0,1926.0,-0.33569011865035225,-61.0,1.0312744331508992,1.026959247648903,10392.0,6466.0,0.0,0.6666666666666666,4629.333333333333,4309.666666666667,0.0,0.0
1,2020,4,2880,2880,69.0,99.0,3.50625,3.5059027777777776,0.0,0.0,10098.0,10097.0,1124,1083,720,11.905208333333333,-2.7,23.45,61.930925325,13.8,13.8,0.0,36.69305555555555,12.20446331111111,0.0,3.51331843620502,0.0,0,0.8660254037844387,-0.4999999999999998,5276.0,3276.0,4255.666666666667,4332.166666666667,1000.6199744824876,5116.0,3190.0,4153.333333333333,4158.666666666667,963.000173070251,1.7752355316285329,1.1767241379310345,1.456096771573619,1.4766632304702025,0.30123077648841146,1.721399730820996,1.1458333333333333,1.4210221324958876,1.4179315411583382,0.28860877703505533,1408.0,1495.0,1450.6666666666667,1425.1666666666667,43.52393977265083,1351.0,1466.0,1406.0,1409.1666666666667,57.66281297335417,6.795631720430107,7.131321839080459,6.587613552094919,7.426297442116755,0.6723031025227235,71.4,132.4,80.33333333333334,83.05,48.22461335597552,17.758615599731183,25.13964558071839,20.053774719307565,18.25979133804835,4.411457232544311,53.70161290322581,74.05172413793103,66.6964528488444,70.21082349730153,11.286509991579432,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,4822.0,4981.0,5.109576612903226,-57.60000000000001,1.0000990393186096,1.0312744331508992,20195.0,10392.0,0.0,0.5714285714285714,4721.714285714285,4424.857142857143,0.0,0.0
1,2020,5,2976,2976,40.0,45.0,3.401545698924731,3.319220430107527,0.0,0.0,10123.0,9878.0,1022,980,744,13.853091397849465,2.0,26.25,60.12365478225807,14.6,14.6,0.0,48.045698924731184,12.670380579946237,0.0,3.51331843620502,0.0,0,0.4999999999999999,-0.8660254037844387,10098.0,5276.0,6216.666666666667,5102.166666666667,3506.9304716993365,10097.0,5116.0,6134.333333333333,5001.5,3564.3252283333145,3.50625,1.7752355316285329,2.1527365565198555,1.7542505960616006,1.209773926548898,3.5059027777777776,1.721399730820996,2.124378613977369,1.7199906062718384,1.2305591943716263,1124.0,1408.0,1342.3333333333333,1403.8333333333333,194.02147647447,1083.0,1351.0,1300.0,1374.8333333333333,196.52735178595375,11.905208333333333,6.795631720430107,8.610720630947966,7.342342468998475,2.8580428407944094,13.8,71.4,72.53333333333335,66.41666666666667,59.30812198454216,12.20446331111111,17.758615599731183,18.36757483052023,17.537182155312383,6.489056834052469,36.69305555555555,53.70161290322581,54.81546419890413,62.88681662752854,18.704224872835702,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,25.0,-219.0,1.947883064516132,0.7999999999999989,1.0248025916177363,1.0000990393186096,20001.0,20195.0,0.0,0.5,5393.75,5133.875,0.0,0.0
1,2020,6,2880,2880,33.0,40.0,2.817708333333333,2.778125,0.0,0.0,8115.0,8001.0,932,917,720,17.530833333333334,8.5,29.85,68.56051380972222,82.2,82.2,0.0,64.43611111111112,12.837947244555554,3.0,3.51331843620502,0.0,0,1.2246467991473532e-16,-1.0,10123.0,10098.0,8499.0,6083.0,2791.2278660116585,9878.0,10097.0,8363.666666666666,5949.333333333333,2814.6925823850347,3.401545698924731,3.50625,2.8943437435177546,2.0759202495860927,0.9705890686095394,3.319220430107527,3.5059027777777776,2.8488409795687666,2.0306592890675375,0.9808442291038726,1022.0,1124.0,1184.6666666666667,1345.0,200.02333197238096,980.0,1083.0,1138.0,1310.6666666666667,191.5176232099804,13.853091397849465,11.905208333333333,10.851310483870968,8.558910942714126,3.6448538766905414,14.6,13.8,33.26666666666667,57.26666666666667,33.026857757487804,12.670380579946237,12.20446331111111,14.211153163596178,17.230412293266387,3.0810123380459506,48.045698924731184,36.69305555555555,46.146789127837515,59.1122571890578,8.661821377447216,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0,-2008.0,-1877.0,3.677741935483869,67.60000000000001,1.0142482189726285,1.0248025916177363,16116.0,20001.0,0.0,0.4444444444444444,5919.222222222223,5661.0,0.0,0.0
