site_id,months_observed,total_crashes_500m,average_monthly_crashes_500m,total_cyclists,average_monthly_cyclists,crash_month_share,crashes_per_10000_cyclists,smoothed_crashes_per_10000_cyclists,naam,gemeente,datum_van,historical_risk_rank
42,31,33.0,1.064516129032258,136711.0,4410.032258064516,0.6774193548387096,2.413851116589009,2.273615210062134,Maasmechelen teller 2,Maasmechelen,2022-04-22,1
41,31,33.0,1.064516129032258,137032.0,4420.387096774193,0.6774193548387096,2.408196625605698,2.268644577777326,Maasmechelen teller 1,Maasmechelen,2022-04-22,2
105,28,9.0,0.32142857142857145,33608.0,1200.2857142857142,0.2857142857142857,2.677933825279695,2.1449776034323182,St. pieters leeuw teller 2,Halle,2022-08-04,3
106,28,9.0,0.32142857142857145,41229.0,1472.4642857142858,0.2857142857142857,2.1829294913774286,1.8246108394465133,St. pieters leeuw teller 1,Sint-Pieters-Leeuw,2022-08-04,4
99,29,20.0,0.6896551724137931,106055.0,3657.0689655172414,0.5172413793103449,1.8858139644524068,1.7531208520233064,Mechelen teller 1,Mechelen,2022-07-28,5
119,26,34.0,1.3076923076923077,235662.0,9063.923076923076,0.6923076923076923,1.4427442693348949,1.397799140743458,Gent teller 2,Gent,2022-10-04,6
144,1,1.0,1.0,0.0,0.0,1.0,,1.3373837991301039,test leuven,Leuven,2024-01-12,7
102,28,25.0,0.8928571428571429,204812.0,7314.714285714285,0.5714285714285714,1.2206316036169755,1.1793646588470543,Diest teller 2,Diest,2022-08-02,8
114,27,6.0,0.2222222222222222,48309.0,1789.2222222222222,0.2222222222222222,1.2420045954170031,1.085984638083797,Deinze teller 1,Nazareth,2022-09-21,9
14,62,32.0,0.5161290322580645,298466.0,4813.967741935484,0.3870967741935484,1.0721489214851943,1.0481381302888872,Genk,Genk,2019-08-22,10
111,27,36.0,1.3333333333333333,341529.0,12649.222222222223,0.7777777777777778,1.0540832550090915,1.0335192873508416,Zaventem totem,Zaventem,2022-09-02,11
101,28,26.0,0.9285714285714286,259178.0,9256.357142857143,0.5714285714285714,1.0031715654878115,0.97816588705687,Diest teller 1,Diest,2022-08-02,12
86,29,7.0,0.2413793103448276,67022.0,2311.103448275862,0.20689655172413793,1.0444331711975172,0.9516155664088477,Asse teller 2,Asse,2022-07-14,13
123,4,1.0,0.25,4287.0,1071.75,0.25,2.332633543270352,0.9302858229969868,Beveren teller 1,Beveren,2022-10-06,14
7,62,48.0,0.7741935483870968,526932.0,8498.90322580645,0.5483870967741935,0.91093347908269,0.9000857610284867,Evergem 1,Evergem,2019-08-22,15
6,62,48.0,0.7741935483870968,572198.0,9229.0,0.5483870967741935,0.8388704609243653,0.8300794601807716,Evergem 2,Evergem,2019-08-22,16
