radius_km,radius_label,bike_crashes_in_bounds,unique_matched_crashes,match_rows,stations_used,station_month_rows,mean_monthly_crash_count,zero_crash_month_share,positive_month_share,crash_rate_per_10000_cyclists,average_match_distance_km,median_match_distance_km
0.25,250m,57746,416,698,120,4748,0.05033698399326032,0.9519797809604044,0.04802021903959562,0.035811664329568484,0.1427979731064635,0.15222606820840745
0.5,500m,57746,1275,2142,140,4748,0.15669755686604886,0.8702611625947767,0.12973883740522324,0.11148066218074876,0.30964694252067976,0.3301164726340858
1.0,1.0km,57746,3856,7217,149,4748,0.529486099410278,0.6834456613310868,0.31655433866891325,0.37669675365914296,0.6352547281381404,0.6796364818503594
1.5,1.5km,57746,7168,14974,151,4748,1.1063605728727886,0.5012636899747261,0.4987363100252738,0.7871074172519801,0.9577274284649716,1.0174942840001941
2.0,2.0km,57746,10873,23894,151,4748,1.7967565290648695,0.37510530749789384,0.6248946925021062,1.2782816250859779,1.2536158286468913,1.318780111250824
2.5,2.5km,57746,14658,33088,151,4748,2.518955349620893,0.28959561920808763,0.7104043807919124,1.7920816124754773,1.5321013925602587,1.593261523255833
