model,site_id,naam,gemeente,months_evaluated,actual_positive_months,predicted_positive_months,tn,fp,fn,tp,accuracy,precision,recall,specificity
random_forest,59,Ardooie teller 1,Ardooie,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,60,Ardooie teller 2,Ardooie,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,96,Lier teller 2,Lier,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,105,St. pieters leeuw teller 2,Halle,13,2,0,11,0,2,0,0.8461538461538461,,0.0,1.0
random_forest,8,Heist op den Berg 1,Heist-op-den-Berg,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,43,Maaseik teller 1,Maaseik,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,44,Maaseik teller 2,Maaseik,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,76,Heverlee teller 2,Leuven,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,87,Aarschot,Aarschot,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,97,Geel teller 1,Geel,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,98,Geel teller 2,Geel,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,128,Lokeren teller 1,Lokeren,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,129,Lokeren teller 2,Lokeren,13,3,0,10,0,3,0,0.7692307692307693,,0.0,1.0
random_forest,5,Balen 2,Balen,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
random_forest,9,Heist op den Berg 2,Heist-op-den-Berg,13,2,2,9,2,2,0,0.6923076923076923,0.0,0.0,0.8181818181818182
random_forest,63,Nieuwpoort teller 3,Nieuwpoort,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
random_forest,72,Herent teller 1,Herent,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
random_forest,121,Zele teller 2,Zele,13,4,0,9,0,4,0,0.6923076923076923,,0.0,1.0
random_forest,1,Machelen,Machelen,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,10,Aalst 2,Aalst,13,4,1,8,1,4,0,0.6153846153846154,0.0,0.0,0.8888888888888888
random_forest,19,Aalst 1,Aalst,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,45,Pelt teller 1,Pelt,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,46,Pelt teller 2,Pelt,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,53,Brugge teller 1,Brugge,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,54,Brugge teller 2,Brugge,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,74,Kortrijk teller 1,Kortrijk,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,75,Kortrijk teller 2,Kortrijk,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,88,Westerlo teller 1,Westerlo,13,4,1,8,1,4,0,0.6153846153846154,0.0,0.0,0.8888888888888888
random_forest,94,Herentals teller 2,Herentals,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,116,Melle teller 2,Melle,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,117,Melle teller 1,Melle,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,120,Zele teller 1,Zele,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,124,Beveren teller 2,Beveren,12,2,2,8,2,2,0,0.6666666666666666,0.0,0.0,0.8
random_forest,127,Geel totem,Westerlo,13,5,0,8,0,5,0,0.6153846153846154,,0.0,1.0
random_forest,139,Houthalen-Helchteren,Houthalen-Helchteren,13,2,3,8,3,2,0,0.6153846153846154,0.0,0.0,0.7272727272727273
random_forest,11,Aalst 3,Aalst,13,6,0,7,0,6,0,0.5384615384615384,,0.0,1.0
random_forest,14,Genk,Genk,13,6,0,7,0,6,0,0.5384615384615384,,0.0,1.0
random_forest,49,Bokrijk,Genk,13,5,1,7,1,5,0,0.5384615384615384,0.0,0.0,0.875
random_forest,26,Zaventem,Zaventem,13,5,2,6,2,5,0,0.46153846153846156,0.0,0.0,0.75
random_forest,80,Wemmel teller 1,Wemmel,8,1,1,6,1,1,0,0.75,0.0,0.0,0.8571428571428571
random_forest,70,Kampenhout teller 1,Kampenhout,13,2,6,5,6,2,0,0.38461538461538464,0.0,0.0,0.45454545454545453
random_forest,99,Mechelen teller 1,Mechelen,13,8,0,5,0,8,0,0.38461538461538464,,0.0,1.0
random_forest,2,Brasschaat 2,Brasschaat,13,3,6,4,6,3,0,0.3076923076923077,0.0,0.0,0.4
random_forest,7,Evergem 1,Evergem,13,9,0,4,0,9,0,0.3076923076923077,,0.0,1.0
random_forest,119,Gent teller 2,Gent,13,9,0,4,0,9,0,0.3076923076923077,,0.0,1.0
random_forest,101,Diest teller 1,Diest,13,9,1,3,1,9,0,0.23076923076923078,0.0,0.0,0.75
random_forest,123,Beveren teller 1,Beveren,2,0,2,0,2,0,0,0.0,0.0,,0.0
random_forest,142,TEST Validatie BRUGGE Y2H22022134,Brugge,1,0,1,0,1,0,0,0.0,0.0,,0.0
random_forest,144,test leuven,Leuven,1,1,0,0,0,1,0,0.0,,0.0,
