model,site_id,naam,gemeente,months_evaluated,actual_positive_months,predicted_positive_months,tn,fp,fn,tp,accuracy,precision,recall,specificity
logistic_regression,48,As,As,13,3,4,8,2,1,2,0.7692307692307693,0.5,0.6666666666666666,0.8
logistic_regression,63,Nieuwpoort teller 3,Nieuwpoort,13,4,5,6,3,2,2,0.6153846153846154,0.4,0.5,0.6666666666666666
logistic_regression,66,Nieuwpoort totem,Nieuwpoort,13,4,5,6,3,2,2,0.6153846153846154,0.4,0.5,0.6666666666666666
logistic_regression,19,Aalst 1,Aalst,13,5,5,5,3,3,2,0.5384615384615384,0.4,0.4,0.625
logistic_regression,65,Nieuwpoort teller 2,Nieuwpoort,13,5,5,5,3,3,2,0.5384615384615384,0.4,0.4,0.625
logistic_regression,108,Heverlee teller 1,Leuven,13,3,8,4,6,1,2,0.46153846153846156,0.25,0.6666666666666666,0.4
logistic_regression,111,Zaventem totem,Zaventem,13,8,3,4,1,6,2,0.46153846153846156,0.6666666666666666,0.25,0.8
logistic_regression,119,Gent teller 2,Gent,13,9,2,4,0,7,2,0.46153846153846156,1.0,0.2222222222222222,1.0
logistic_regression,70,Kampenhout teller 1,Kampenhout,13,2,11,2,9,0,2,0.3076923076923077,0.18181818181818182,1.0,0.18181818181818182
logistic_regression,71,Kampenhout teller 2,Kampenhout,13,2,11,2,9,0,2,0.3076923076923077,0.18181818181818182,1.0,0.18181818181818182
logistic_regression,112,Geel teller 2,Westerlo,13,2,11,2,9,0,2,0.3076923076923077,0.18181818181818182,1.0,0.18181818181818182
logistic_regression,12,Tervuren,Kraainem,4,2,4,0,2,0,2,0.5,0.5,1.0,0.0
logistic_regression,14,Genk,Genk,13,6,9,0,7,4,2,0.15384615384615385,0.2222222222222222,0.3333333333333333,0.0
logistic_regression,90,Brecht teller 1,Brecht,13,1,2,11,1,0,1,0.9230769230769231,0.5,1.0,0.9166666666666666
logistic_regression,91,Brecht teller 2,Brecht,13,1,2,11,1,0,1,0.9230769230769231,0.5,1.0,0.9166666666666666
logistic_regression,76,Heverlee teller 2,Leuven,13,3,1,10,0,2,1,0.8461538461538461,1.0,0.3333333333333333,1.0
logistic_regression,43,Maaseik teller 1,Maaseik,13,3,2,9,1,2,1,0.7692307692307693,0.5,0.3333333333333333,0.9
logistic_regression,87,Aarschot,Aarschot,13,3,2,9,1,2,1,0.7692307692307693,0.5,0.3333333333333333,0.9
logistic_regression,8,Heist op den Berg 1,Heist-op-den-Berg,13,3,3,8,2,2,1,0.6923076923076923,0.3333333333333333,0.3333333333333333,0.8
logistic_regression,27,Grimbergen,Meise,13,5,1,8,0,4,1,0.6923076923076923,1.0,0.2,1.0
logistic_regression,61,Wervik teller 2,Wervik,13,1,5,8,4,0,1,0.6923076923076923,0.2,1.0,0.6666666666666666
logistic_regression,94,Herentals teller 2,Herentals,13,5,1,8,0,4,1,0.6923076923076923,1.0,0.2,1.0
logistic_regression,62,Wervik teller 1,Wervik,13,1,6,7,5,0,1,0.6153846153846154,0.16666666666666666,1.0,0.5833333333333334
logistic_regression,4,Balen 1,Balen,13,4,4,6,3,3,1,0.5384615384615384,0.25,0.25,0.6666666666666666
logistic_regression,95,Lier teller 1,Lier,13,1,7,6,6,0,1,0.5384615384615384,0.14285714285714285,1.0,0.5
logistic_regression,96,Lier teller 2,Lier,13,2,6,6,5,1,1,0.5384615384615384,0.16666666666666666,0.5,0.5454545454545454
logistic_regression,5,Balen 2,Balen,13,4,5,5,4,3,1,0.46153846153846156,0.2,0.25,0.5555555555555556
logistic_regression,21,Bilzen,Bilzen,13,1,10,3,9,0,1,0.3076923076923077,0.1,1.0,0.25
logistic_regression,102,Diest teller 2,Diest,13,9,2,3,1,8,1,0.3076923076923077,0.5,0.1111111111111111,0.75
logistic_regression,29,Tongeren,Tongeren,13,1,11,2,10,0,1,0.23076923076923078,0.09090909090909091,1.0,0.16666666666666666
logistic_regression,20,Brugge,Brugge,13,1,12,1,11,0,1,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
logistic_regression,37,Lommel teller 1,Lommel,13,2,11,1,10,1,1,0.15384615384615385,0.09090909090909091,0.5,0.09090909090909091
logistic_regression,50,"Brugge, Sint-Andries",Brugge,13,1,12,1,11,0,1,0.15384615384615385,0.08333333333333333,1.0,0.08333333333333333
logistic_regression,51,"Brugge, Sint-Andries",Brugge,13,1,13,0,12,0,1,0.07692307692307693,0.07692307692307693,1.0,0.0
logistic_regression,109,Zemst,Zemst,13,1,13,0,12,0,1,0.07692307692307693,0.07692307692307693,1.0,0.0
logistic_regression,144,test leuven,Leuven,1,1,1,0,0,0,1,1.0,1.0,1.0,
logistic_regression,39,Peer teller 1,Peer,13,0,0,13,0,0,0,1.0,,,1.0
