trial,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,border_count,loss_function,eval_metric,verbose,random_seed,use_best_model,best_iteration,validation_roc_auc,validation_best_f1_threshold,validation_best_f1
4,786,4,0.015466594773021092,12.820883929624916,1.3481211765949441,1.4048526732358124,118,Logloss,AUC,False,42,True,166,0.7696406274486015,0.41,0.5755395683453237
32,491,4,0.01782921781259668,19.93757386100983,0.8502733782704452,2.0727575628484143,166,Logloss,AUC,False,42,True,128,0.7670169904507702,0.44,0.5703422053231939
23,264,4,0.014506946687722403,14.81734946796482,1.0913376151074248,0.5865437448750963,150,Logloss,AUC,False,42,True,185,0.7668956661965353,0.39,0.5728987993138936
2,994,5,0.09552596995385697,16.79341966443548,6.475387626115138,4.48998321717755,45,Logloss,AUC,False,42,True,43,0.7666530176880653,0.29,0.5655737704918032
33,290,5,0.019931848679387902,19.588819704510808,0.924618928807546,2.6658934449469216,173,Logloss,AUC,False,42,True,101,0.7659705687579936,0.38,0.5718849840255591
21,473,4,0.016623215481708663,18.30939723802105,0.23719544540626947,1.6276395895375995,104,Logloss,AUC,False,42,True,19,0.7659680411693636,0.45,0.583963691376702
31,314,4,0.014929837878243526,18.195640206959816,0.017241996083871003,1.388724295004416,93,Logloss,AUC,False,42,True,4,0.7656925340087051,0.49,0.5664
26,317,4,0.027468714882361675,15.325213547280654,3.557723714329418,2.2709261399999896,206,Logloss,AUC,False,42,True,229,0.764312470616782,0.25,0.5685019206145967
10,544,4,0.015839951659635747,19.83436605353713,0.3795907000585391,1.8269591773235114,115,Logloss,AUC,False,42,True,47,0.7638372839543619,0.39,0.5782122905027933
27,620,5,0.01018449937689885,13.370938000595066,2.479693040780684,0.02286320315146062,128,Logloss,AUC,False,42,True,192,0.763710904522867,0.36,0.5687789799072643
25,929,5,0.01359938653081999,12.657336873036119,1.5913908638803846,0.8173449552439405,151,Logloss,AUC,False,42,True,237,0.7635794699141125,0.27,0.5658409387222947
36,421,5,0.012230964486429545,3.1540463792363598,2.9623496882856406,1.0297314241400146,180,Logloss,AUC,False,42,True,350,0.7619820339000186,0.42,0.5714285714285714
0,776,6,0.06271236391461425,9.18043580165515,6.888087330266572,4.044493225982425,38,Logloss,AUC,False,42,True,83,0.7616130059600539,0.3,0.5710344827586207
16,1055,5,0.012145279151694912,8.270627729407794,1.8137819433390376,0.8989252657908822,163,Logloss,AUC,False,42,True,174,0.761587730073755,0.31,0.5656836461126006
11,1160,4,0.0978086984018879,18.879070860102807,2.782559288434941,4.273108879677603,106,Logloss,AUC,False,42,True,79,0.7609406673845018,0.29,0.571041948579161
13,1026,5,0.026078924067487585,16.920975586802026,3.3624305948465874,4.837844352395573,77,Logloss,AUC,False,42,True,146,0.7606676878124732,0.27,0.5643044619422573
37,496,4,0.07149321745452349,17.26890974909912,0.9430550779024894,4.454506845665844,144,Logloss,AUC,False,42,True,64,0.7604553703675618,0.27,0.5757162346521146
18,827,4,0.020355115804169068,17.434161684367407,7.8922807459989155,4.95337465942863,203,Logloss,AUC,False,42,True,386,0.75881243775813,0.24,0.5668711656441717
