crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,TX_ROAD_USR_TYPE1_NL,TX_ROAD_USR_TYPE2_NL
91,117,Melle teller 1,Melle,50.9986113,3.8040599,2.0853869809296857,51.01730614709483,3.8016877577415658,2017,1,20,44013,Destelbergen,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
91,116,Melle teller 2,Melle,50.9986113,3.8040599,2.0853869809296857,51.01730614709483,3.8016877577415658,2017,1,20,44013,Destelbergen,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
92,117,Melle teller 1,Melle,50.9986113,3.8040599,1.5298587727324824,50.9957488348698,3.782677363013455,2017,1,17,44040,Melle,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
92,116,Melle teller 2,Melle,50.9986113,3.8040599,1.5298587727324824,50.9957488348698,3.782677363013455,2017,1,17,44040,Melle,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
94,118,Gent teller 1,Gent,51.028049,3.7681359,2.1604564868467833,51.028831823997876,3.7372683393843107,2017,1,2,44021,Gent,Normaal,"Ijzel, sneeuw","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
94,119,Gent teller 2,Gent,51.0281795,3.7683918,2.1778036196525146,51.028831823997876,3.7372683393843107,2017,1,2,44021,Gent,Normaal,"Ijzel, sneeuw","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
99,84,Roeselare totem,Izegem,50.91717,3.18772,2.203605452661798,50.89872134695696,3.17624235469948,2017,1,5,36015,Roeselare,Sneeuwval+Hagelbui,"Nat, plassen+Ijzel of sneeuw","Nacht, geen openbare verlichting aanwezig",Met doden,personenauto,een weggebruiker tegen een hindernis
106,84,Roeselare totem,Izegem,50.91717,3.18772,0.7287795505904853,50.91564190038341,3.1776107026225717,2017,1,17,36008,Izegem,Normaal,"Ijzel, sneeuw",Dag,met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
107,74,Kortrijk teller 1,Kortrijk,50.81909,3.25728,2.246628503614114,50.79933836128557,3.250548965160903,2017,1,16,34022,Kortrijk,Normaal,Droog,Dag,met zwaargewonden,Vrachtwagen,Lichte vrachtauto
107,75,Kortrijk teller 2,Kortrijk,50.81925,3.25731,2.26446520756278,50.79933836128557,3.250548965160903,2017,1,16,34022,Kortrijk,Normaal,Droog,Dag,met zwaargewonden,Vrachtwagen,Lichte vrachtauto
110,61,Wervik teller 2,Wervik,50.80555,3.0921,2.3713346472551655,50.81624880923415,3.1212954099459007,2017,1,3,34027,Menen,Normaal,"Ijzel, sneeuw","Nacht, geen openbare verlichting aanwezig",met zwaargewonden,personenauto,een weggebruiker tegen een hindernis
110,62,Wervik teller 1,Wervik,50.8058,3.09154,2.3918215150719213,50.81624880923415,3.1212954099459007,2017,1,3,34027,Menen,Normaal,"Ijzel, sneeuw","Nacht, geen openbare verlichting aanwezig",met zwaargewonden,personenauto,een weggebruiker tegen een hindernis
111,74,Kortrijk teller 1,Kortrijk,50.81909,3.25728,1.2835248767652827,50.80918193675621,3.247907154597986,2017,1,8,34023,Kuurne,Normaal,Droog,Dageraad - schemering,met lichtgewonden,Vrachtwagen,personenauto
111,75,Kortrijk teller 2,Kortrijk,50.81925,3.25731,1.2998975067394003,50.80918193675621,3.247907154597986,2017,1,8,34023,Kuurne,Normaal,Droog,Dageraad - schemering,met lichtgewonden,Vrachtwagen,personenauto
117,26,Zaventem,Zaventem,50.86995,4.45444,1.0968448259692898,50.86800942228982,4.469764761836706,2017,1,14,23094,Zaventem,Normaal,"Nat, plassen",Dag,Met doden,Lichte vrachtauto,Vrachtwagen
117,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.2392430926487674,50.86800942228982,4.469764761836706,2017,1,14,23094,Zaventem,Normaal,"Nat, plassen",Dag,Met doden,Lichte vrachtauto,Vrachtwagen
119,12,Tervuren,Kraainem,50.81896,4.47803,2.1782808426842646,50.802129566048414,4.462165272090321,2017,1,23,21002,Oudergem,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,Vrachtwagen
120,80,Wemmel teller 1,Wemmel,50.91418,4.29571,2.453806017478342,50.893698152410856,4.308735557740194,2017,1,13,23102,Wemmel,Normaal,"Nat, plassen",Dag,met lichtgewonden,Vrachtwagen,Lichte vrachtauto
120,81,Wemmel teller 2,Wemmel,50.91439,4.29568,2.4762704245586087,50.893698152410856,4.308735557740194,2017,1,13,23102,Wemmel,Normaal,"Nat, plassen",Dag,met lichtgewonden,Vrachtwagen,Lichte vrachtauto
121,86,Asse teller 2,Asse,50.89132,4.1709,1.8715623802509975,50.88062106211156,4.1914960860889785,2017,1,2,23086,Ternat,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
121,85,Asse teller 1,Asse,50.89621,4.17294,2.167703393887883,50.88062106211156,4.1914960860889785,2017,1,2,23086,Ternat,Normaal,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
122,26,Zaventem,Zaventem,50.86995,4.45444,1.0968448259692898,50.86800942228982,4.469764761836706,2017,1,18,23094,Zaventem,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
122,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.2392430926487674,50.86800942228982,4.469764761836706,2017,1,18,23094,Zaventem,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
124,26,Zaventem,Zaventem,50.86995,4.45444,1.2585215770383942,50.8673928183517,4.471910277078875,2017,1,12,23094,Zaventem,Normaal,Droog,Dag,met lichtgewonden,personenauto,personenauto
124,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.3548720184743135,50.8673928183517,4.471910277078875,2017,1,12,23094,Zaventem,Normaal,Droog,Dag,met lichtgewonden,personenauto,personenauto
126,27,Grimbergen,Meise,50.92127,4.34013,2.162515169485291,50.91724304361762,4.370310886312923,2017,1,23,23025,Grimbergen,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
127,27,Grimbergen,Meise,50.92127,4.34013,1.1866199374832582,50.91068430826109,4.342272571255979,2017,1,17,23025,Grimbergen,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,onbekend,onbekend
128,86,Asse teller 2,Asse,50.89132,4.1709,2.2267883414531195,50.881405175612805,4.198480303841643,2017,1,16,23086,Ternat,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
128,85,Asse teller 1,Asse,50.89621,4.17294,2.4330201983031223,50.881405175612805,4.198480303841643,2017,1,16,23086,Ternat,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
129,148,Hoeilaart,District Leuven,50.76699493,4.44471001,1.0097360951603829,50.75909426816789,4.437632694188126,2017,1,18,23033,Hoeilaart,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
131,149,Machelen,,50.88297881,4.43356644,1.9500764979105425,50.90030271999346,4.437891948429986,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Vrachtwagen,personenauto
131,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.118857498415252,50.90030271999346,4.437891948429986,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Vrachtwagen,personenauto
131,1,Machelen,Machelen,50.91618331151478,4.456121776137429,2.179902592383209,50.90030271999346,4.437891948429986,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Vrachtwagen,personenauto
131,47,Vilvoorde,Vilvoorde,50.91372,4.41497,2.192953405470312,50.90030271999346,4.437891948429986,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Vrachtwagen,personenauto
132,111,Zaventem totem,Zaventem,50.8871216,4.4597084,1.825703308297288,50.89874237025177,4.4413196287012,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Lichte vrachtauto,personenauto
132,149,Machelen,,50.88297881,4.43356644,1.835251490750863,50.89874237025177,4.4413196287012,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Lichte vrachtauto,personenauto
132,1,Machelen,Machelen,50.91618331151478,4.456121776137429,2.1996013964968806,50.89874237025177,4.4413196287012,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Lichte vrachtauto,personenauto
132,47,Vilvoorde,Vilvoorde,50.91372,4.41497,2.4874278546374606,50.89874237025177,4.4413196287012,2017,1,11,23047,Machelen,Normaal,Droog,Dag,met lichtgewonden,Lichte vrachtauto,personenauto
133,26,Zaventem,Zaventem,50.86995,4.45444,1.097789007362875,50.868840256802386,4.469984662207538,2017,1,3,23094,Zaventem,Normaal,Droog,"Nacht, geen openbare verlichting aanwezig",met lichtgewonden,Vrachtwagen,een weggebruiker tegen een hindernis
133,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.1568676484660916,50.868840256802386,4.469984662207538,2017,1,3,23094,Zaventem,Normaal,Droog,"Nacht, geen openbare verlichting aanwezig",met lichtgewonden,Vrachtwagen,een weggebruiker tegen een hindernis
135,12,Tervuren,Kraainem,50.81896,4.47803,0.23676090911451436,50.821086310659375,4.477853208729716,2017,1,10,23099,Kraainem,Normaal,"Nat, plassen",Dag,met lichtgewonden,Vrachtwagen,personenauto
141,149,Machelen,,50.88297881,4.43356644,1.9067204986841622,50.89977683619437,4.439027073532297,2017,1,19,23047,Machelen,Normaal,Onbekend,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Vrachtwagen,personenauto
141,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.0209605396631933,50.89977683619437,4.439027073532297,2017,1,19,23047,Machelen,Normaal,Onbekend,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Vrachtwagen,personenauto
141,1,Machelen,Machelen,50.91618331151478,4.456121776137429,2.182842204614037,50.89977683619437,4.439027073532297,2017,1,19,23047,Machelen,Normaal,Onbekend,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Vrachtwagen,personenauto
141,47,Vilvoorde,Vilvoorde,50.91372,4.41497,2.2911044006688903,50.89977683619437,4.439027073532297,2017,1,19,23047,Machelen,Normaal,Onbekend,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Vrachtwagen,personenauto
142,27,Grimbergen,Meise,50.92127,4.34013,1.0364916348105069,50.91720703863734,4.353437613246592,2017,1,15,23025,Grimbergen,Normaal,Droog,Dag,met lichtgewonden,Vrachtwagen,personenauto
146,27,Grimbergen,Meise,50.92127,4.34013,1.3645478385875256,50.90928755068558,4.344330940142613,2017,1,4,23025,Grimbergen,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
147,77,Leuven teller 2,Leuven,50.88672,4.70796,1.5161049862190454,50.89741719039872,4.694557244301969,2017,1,18,24062,Leuven,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Lichte vrachtauto,personenauto
147,107,leuven totem,Leuven,50.8870744,4.7087919,1.5229841757580187,50.89741719039872,4.694557244301969,2017,1,18,24062,Leuven,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,Lichte vrachtauto,personenauto
148,151,Leuven,District Leuven,50.8690262,4.6854839,1.804372304322813,50.878176287367474,4.664246817878566,2017,1,18,24062,Leuven,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
148,73,Herent teller 2,Herent,50.89128,4.64685,1.9006384449318359,50.878176287367474,4.664246817878566,2017,1,18,24062,Leuven,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
148,72,Herent teller 1,Herent,50.89135,4.64689,1.9048166074769366,50.878176287367474,4.664246817878566,2017,1,18,24062,Leuven,Normaal,Droog+Proper,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
150,150,Bertem,District Leuven,50.8687535,4.56136297,1.7344828492351554,50.86943511389631,4.536669862837326,2017,1,14,24055,Kortenberg,Sneeuwval,"Ijzel, sneeuw",Dag,met lichtgewonden,personenauto,een weggebruiker tegen een hindernis
153,150,Bertem,District Leuven,50.8687535,4.56136297,0.25885827566271374,50.868332210092206,4.564990801423473,2017,1,8,24055,Kortenberg,Normaal,Droog,Dag,met lichtgewonden,personenauto,Motorfiets
158,144,test leuven,Leuven,50.875576,4.7153726,0.7419526414053292,50.88217908563,4.716894462685029,2017,1,9,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,Voetganger,Vrachtwagen
158,69,Leuven teller 1,Leuven,50.87549,4.71526,0.7525803282850203,50.88217908563,4.716894462685029,2017,1,9,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,Voetganger,Vrachtwagen
158,107,leuven totem,Leuven,50.8870744,4.7087919,0.7870085098215639,50.88217908563,4.716894462685029,2017,1,9,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,Voetganger,Vrachtwagen
158,77,Leuven teller 2,Leuven,50.88672,4.70796,0.8048509168760658,50.88217908563,4.716894462685029,2017,1,9,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,Voetganger,Vrachtwagen
159,111,Zaventem totem,Zaventem,50.8871216,4.4597084,1.080745608497051,50.8933437983886,4.471545011804019,2017,1,7,23094,Zaventem,Normaal,Droog,Dag,met lichtgewonden,personenauto,Fiets
160,111,Zaventem totem,Zaventem,50.8871216,4.4597084,1.127340014510546,50.89450228415291,4.470727337678784,2017,1,22,23094,Zaventem,Regenval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
161,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.0932647221251353,50.89797302940881,4.484095651762303,2017,1,21,23094,Zaventem,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,Voetganger
196,27,Grimbergen,Meise,50.92127,4.34013,2.2655508425082487,50.90153048442934,4.348134983549218,2017,1,9,21004,Brussel,Normaal,"Nat, plassen+Proper",Dag,met lichtgewonden,personenauto,Fiets
236,27,Grimbergen,Meise,50.92127,4.34013,2.276558229861916,50.901330902725014,4.332759025266705,2017,1,11,23025,Grimbergen,Normaal,Onbekend,Dag,met lichtgewonden,onbekend,onbekend
355,26,Zaventem,Zaventem,50.86995,4.45444,0.5251962955436301,50.86523416016726,4.4548577442245545,2017,1,18,23099,Kraainem,Onbekend,Onbekend,Onbekend,met lichtgewonden,personenauto,Voetganger
355,111,Zaventem totem,Zaventem,50.8871216,4.4597084,2.45745378955225,50.86523416016726,4.4548577442245545,2017,1,18,23099,Kraainem,Onbekend,Onbekend,Onbekend,met lichtgewonden,personenauto,Voetganger
355,149,Machelen,,50.88297881,4.43356644,2.474885157161733,50.86523416016726,4.4548577442245545,2017,1,18,23099,Kraainem,Onbekend,Onbekend,Onbekend,met lichtgewonden,personenauto,Voetganger
358,26,Zaventem,Zaventem,50.86995,4.45444,1.7372962661440263,50.85530738939658,4.445805825527785,2017,1,18,21018,Sint-Lambrechts-Woluwe,Normaal,Proper,Dag,met lichtgewonden,personenauto,Fiets
362,26,Zaventem,Zaventem,50.86995,4.45444,1.976738461530475,50.85224516156876,4.451900793803474,2017,1,18,21018,Sint-Lambrechts-Woluwe,Sneeuwval,"Nat, plassen","Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,Voetganger
373,149,Machelen,,50.88297881,4.43356644,1.995706833978717,50.882223566546664,4.405144185392178,2017,1,21,21006,Evere,Normaal,Droog,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,personenauto,personenauto
376,149,Machelen,,50.88297881,4.43356644,1.7045219502092805,50.876347812189074,4.411661866677701,2017,1,12,21006,Evere,Normaal,Proper,Dag,met lichtgewonden,onbekend,onbekend
381,149,Machelen,,50.88297881,4.43356644,2.326181292913664,50.87662500871887,4.4019765542588365,2017,1,11,21006,Evere,Onbekend,"Nat, plassen",Dag,met lichtgewonden,personenauto,personenauto
394,149,Machelen,,50.88297881,4.43356644,2.4797264440788394,50.86256729128353,4.419331528114445,2017,1,16,21006,Evere,Normaal,"Nat, plassen",Dag,met lichtgewonden,personenauto,personenauto
