crash_row_id,site_id,site_name,site_gemeente,site_lat,site_long,distance_km,crash_lat,crash_long,DT_YEAR_COLLISION,DT_MONTH_COLLISION,DT_TIME,CD_NIS,TX_MUNTY_COLLISION_NL,TX_WEATHER_NL,TX_ROAD_CONDITION_NL,TX_LIGHT_CONDITION_NL,TX_CLASS_ACCIDENTS_NL,CD_ROAD_USR_TYPE1,TX_ROAD_USR_TYPE1_NL,CD_ROAD_USR_TYPE2,TX_ROAD_USR_TYPE2_NL
673,74,Kortrijk teller 1,Kortrijk,50.81909,3.25728,0.30606759496688396,50.82174464602702,3.2584315908331276,2017,2,8,34022,Kortrijk,Regenval,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets
709,138,Hasselt-Kempische brug,Hasselt,50.9405318,5.3422472,0.3151359929687238,50.93784039207889,5.340838158233632,2017,2,12,71022,Hasselt,Normaal,"Nat, plassen",Dag,met zwaargewonden,5,Lichte vrachtauto,3,Fiets
709,137,Hasselt-Kempische brug,Hasselt,50.9411605,5.3417576,0.37475816538959594,50.93784039207889,5.340838158233632,2017,2,12,71022,Hasselt,Normaal,"Nat, plassen",Dag,met zwaargewonden,5,Lichte vrachtauto,3,Fiets
899,88,Westerlo teller 1,Westerlo,51.082,4.91325,0.05625248740143969,51.08247490394491,4.912972491225178,2017,3,16,13049,Westerlo,Normaal,Droog,Dag,met lichtgewonden,6,Bromfiets,3,Fiets
899,89,Westerlo teller 2,Westerlo,51.08191,4.91334,0.06785786446359623,51.08247490394491,4.912972491225178,2017,3,16,13049,Westerlo,Normaal,Droog,Dag,met lichtgewonden,6,Bromfiets,3,Fiets
940,25,Bree,Bree,51.13679500160176,5.597669323604317,0.4166728265622194,51.13908245892577,5.59293898414101,2017,3,15,72004,Bree,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,10,"één bestuurder, geen hindernis"
953,69,Leuven teller 1,Leuven,50.87549,4.71526,0.4486710708710421,50.871867017248356,4.718074887514825,2017,3,8,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
953,144,test leuven,Leuven,50.875576,4.7153726,0.4539199591914059,50.871867017248356,4.718074887514825,2017,3,8,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
957,77,Leuven teller 2,Leuven,50.88672,4.70796,0.4952169586842211,50.88330457347213,4.703429481468307,2017,3,5,24062,Leuven,Onbekend,Onbekend,"Nacht, openbare verlichting aanwezig en ontstoken",met lichtgewonden,3,Fiets,5,Lichte vrachtauto
975,101,Diest teller 1,Diest,50.97799,5.04481,0.0350949406238372,50.978280315801484,5.045006653137968,2017,3,12,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
975,102,Diest teller 2,Diest,50.9779,5.04474,0.046226472584104075,50.978280315801484,5.045006653137968,2017,3,12,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
976,101,Diest teller 1,Diest,50.97799,5.04481,0.0350949406238372,50.978280315801484,5.045006653137968,2017,3,8,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
976,102,Diest teller 2,Diest,50.9779,5.04474,0.046226472584104075,50.978280315801484,5.045006653137968,2017,3,8,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
980,102,Diest teller 2,Diest,50.9779,5.04474,0.49385684221344817,50.97541161900839,5.050582749264745,2017,3,19,24020,Diest,Normaal,"Nat, plassen",Dag,met lichtgewonden,3,Fiets,9,personenauto
980,101,Diest teller 1,Diest,50.97799,5.04481,0.49552695622928633,50.97541161900839,5.050582749264745,2017,3,19,24020,Diest,Normaal,"Nat, plassen",Dag,met lichtgewonden,3,Fiets,9,personenauto
1059,117,Melle teller 1,Melle,50.9986113,3.8040599,0.19925192363540806,50.99958013837921,3.806455166697817,2017,3,16,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1059,116,Melle teller 2,Melle,50.9986113,3.8040599,0.19925192363540806,50.99958013837921,3.806455166697817,2017,3,16,44040,Melle,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1169,15,Oostende 2,Oostende,51.21371,2.92743,0.41989604979428097,51.21681629276849,2.9240020319162894,2017,3,9,35013,Oostende,Normaal,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets
1169,18,Oostende 1,Oostende,51.21378,2.92765,0.42254987546496453,51.21681629276849,2.9240020319162894,2017,3,9,35013,Oostende,Normaal,"Nat, plassen",Dag,met lichtgewonden,9,personenauto,3,Fiets
1233,41,Maasmechelen teller 1,Maasmechelen,50.97025,5.69799,0.030783648186253128,50.96999401387289,5.697822591285061,2017,3,9,73107,Maasmechelen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1233,42,Maasmechelen teller 2,Maasmechelen,50.97043,5.6981,0.052226217022887544,50.96999401387289,5.697822591285061,2017,3,9,73107,Maasmechelen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1261,140,Hasselt ring,Hasselt,50.9300038,5.3438616,0.049638296669573034,50.929570007346754,5.343694409745199,2017,3,19,71022,Hasselt,Normaal,Onbekend,Dag,met lichtgewonden,9,personenauto,3,Fiets
1263,140,Hasselt ring,Hasselt,50.9300038,5.3438616,0.4372595563417578,50.92971203856034,5.350083573105462,2017,3,11,71022,Hasselt,Onbekend,Onbekend,Dag,met lichtgewonden,9,personenauto,3,Fiets
1427,38,Lommel teller 2,Lommel,51.23277,5.29189,0.01368120758983138,51.2328913354185,5.2918574234743465,2017,4,17,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1427,37,Lommel teller 1,Lommel,51.23299,5.29211,0.020727290223475005,51.2328913354185,5.2918574234743465,2017,4,17,72020,Lommel,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1454,69,Leuven teller 1,Leuven,50.87549,4.71526,0.439194109024113,50.8725285820257,4.719401742376419,2017,4,14,24062,Leuven,Normaal,Droog,Dag,met zwaargewonden,4,Vrachtwagen,3,Fiets
1454,144,test leuven,Leuven,50.875576,4.7153726,0.44130595606107836,50.8725285820257,4.719401742376419,2017,4,14,24062,Leuven,Normaal,Droog,Dag,met zwaargewonden,4,Vrachtwagen,3,Fiets
1458,73,Herent teller 2,Herent,50.89128,4.64685,0.2452240019374092,50.8893578516412,4.64856394498921,2017,4,14,24038,Herent,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,8,Voetganger
1458,72,Herent teller 1,Herent,50.89135,4.64689,0.25071076572875217,50.8893578516412,4.64856394498921,2017,4,14,24038,Herent,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,8,Voetganger
1460,101,Diest teller 1,Diest,50.97799,5.04481,0.4388330332248166,50.97986480052137,5.039294215447558,2017,4,13,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
1460,102,Diest teller 2,Diest,50.9779,5.04474,0.4394161906273593,50.97986480052137,5.039294215447558,2017,4,13,24020,Diest,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
1613,18,Oostende 1,Oostende,51.21378,2.92765,0.22243308362198785,51.215617830505806,2.926389000225458,2017,4,19,35013,Oostende,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
1613,15,Oostende 2,Oostende,51.21371,2.92743,0.22419043767230035,51.215617830505806,2.926389000225458,2017,4,19,35013,Oostende,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
1652,61,Wervik teller 2,Wervik,50.80555,3.0921,0.3175621201664098,50.80423407017911,3.0961107779836086,2017,4,17,34027,Menen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1652,62,Wervik teller 1,Wervik,50.8058,3.09154,0.3653542585241202,50.80423407017911,3.0961107779836086,2017,4,17,34027,Menen,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
1660,75,Kortrijk teller 2,Kortrijk,50.81925,3.25731,0.4342312287979598,50.8207158890414,3.2630393446694668,2017,4,11,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets
1660,74,Kortrijk teller 1,Kortrijk,50.81909,3.25728,0.4431417362817073,50.8207158890414,3.2630393446694668,2017,4,11,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,5,Lichte vrachtauto,3,Fiets
1972,21,Bilzen,Bilzen,50.86015,5.50161,0.19893914016359154,50.86169923270364,5.503027694140075,2017,5,17,73006,Bilzen,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,10,"één bestuurder, geen hindernis"
1988,25,Bree,Bree,51.13679500160176,5.597669323604317,0.48811255596430336,51.140463200983305,5.601512221580173,2017,5,13,72004,Bree,Normaal,Droog,Dag,met lichtgewonden,6,Bromfiets,3,Fiets
1994,14,Genk,Genk,50.97172,5.48927,0.4944469367133339,50.97585671415436,5.486679636001186,2017,5,14,71016,Genk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2008,77,Leuven teller 2,Leuven,50.88672,4.70796,0.1514767017270262,50.88691777942181,4.7058234861662775,2017,5,16,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2008,107,leuven totem,Leuven,50.8870744,4.7087919,0.2089539231919342,50.88691777942181,4.7058234861662775,2017,5,16,24062,Leuven,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2010,77,Leuven teller 2,Leuven,50.88672,4.70796,0.4984876894625004,50.8824195067976,4.705953070074601,2017,4,18,24062,Leuven,Onbekend,Onbekend,Onbekend,met lichtgewonden,3,Fiets,11,een weggebruiker tegen een hindernis
2064,109,Zemst,Zemst,50.9903936,4.4707023,0.45128315616341447,50.98643584001912,4.469274793306057,2017,5,11,23096,Zemst,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2278,15,Oostende 2,Oostende,51.21371,2.92743,0.41989604979428097,51.21681629276849,2.9240020319162894,2017,5,12,35013,Oostende,Normaal,Proper,Dag,met lichtgewonden,3,Fiets,3,Fiets
2278,18,Oostende 1,Oostende,51.21378,2.92765,0.42254987546496453,51.21681629276849,2.9240020319162894,2017,5,12,35013,Oostende,Normaal,Proper,Dag,met lichtgewonden,3,Fiets,3,Fiets
2315,16,Kortrijk 1,Kortrijk,50.83332,3.27777,0.23196666107456096,50.831256587233185,3.2772839227076767,2017,5,19,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2315,17,Kortrijk 2,Kortrijk,50.83339,3.27773,0.2392843209503697,50.831256587233185,3.2772839227076767,2017,5,19,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2317,143,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,0.3158592475760789,50.83308195689341,3.2652100342359396,2017,5,16,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,3,Fiets
2319,75,Kortrijk teller 2,Kortrijk,50.81925,3.25731,0.23888332966564954,50.821309108652265,3.2582798244199904,2017,5,17,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2319,74,Kortrijk teller 1,Kortrijk,50.81909,3.25728,0.25655488542457416,50.821309108652265,3.2582798244199904,2017,5,17,34022,Kortrijk,Normaal,Droog,Dag,met lichtgewonden,9,personenauto,3,Fiets
2320,143,Eco Display Classic Budastraat,Kortrijk,50.83066,3.26286,0.48909914817342803,50.83459815060108,3.259757992886863,2017,5,17,34022,Kortrijk,Normaal,Droog+Proper,Dag,met zwaargewonden,9,personenauto,3,Fiets
2359,99,Mechelen teller 1,Mechelen,51.04564,4.46882,0.26074081098261387,51.043745950306445,4.471018828520913,2017,5,8,12025,Mechelen,Normaal,Droog,Dag,met lichtgewonden,3,Fiets,9,personenauto
