group_id,year,month,group_name,gemeente,member_site_count,group_lat,group_long,interval_count_in,interval_count_out,total_count_in,total_count_out,zero_count_intervals_in,zero_count_intervals_out,max_interval_count_in,max_interval_count_out,min_interval_count_in,min_interval_count_out,mean_interval_count_in,mean_interval_count_out,weather_hours_available,avg_temperature_2m,min_temperature_2m,max_temperature_2m,avg_relative_humidity_2m,total_precipitation,total_rain,total_snowfall,avg_cloud_cover,avg_wind_speed_10m,most_common_weather_code,station_to_weather_grid_km,bike_crash_count_1km_grouped,bike_crash_happened_1km_grouped,month_sin,month_cos,total_count_in_lag1,total_count_in_lag2,total_count_in_roll3_mean,total_count_in_roll6_mean,total_count_in_roll3_std,total_count_out_lag1,total_count_out_lag2,total_count_out_roll3_mean,total_count_out_roll6_mean,total_count_out_roll3_std,mean_interval_count_in_lag1,mean_interval_count_in_lag2,mean_interval_count_in_roll3_mean,mean_interval_count_in_roll6_mean,mean_interval_count_in_roll3_std,mean_interval_count_out_lag1,mean_interval_count_out_lag2,mean_interval_count_out_roll3_mean,mean_interval_count_out_roll6_mean,mean_interval_count_out_roll3_std,zero_count_intervals_in_lag1,zero_count_intervals_in_lag2,zero_count_intervals_in_roll3_mean,zero_count_intervals_in_roll6_mean,zero_count_intervals_in_roll3_std,zero_count_intervals_out_lag1,zero_count_intervals_out_lag2,zero_count_intervals_out_roll3_mean,zero_count_intervals_out_roll6_mean,zero_count_intervals_out_roll3_std,avg_temperature_2m_lag1,avg_temperature_2m_lag2,avg_temperature_2m_roll3_mean,avg_temperature_2m_roll6_mean,avg_temperature_2m_roll3_std,total_precipitation_lag1,total_precipitation_lag2,total_precipitation_roll3_mean,total_precipitation_roll6_mean,total_precipitation_roll3_std,avg_wind_speed_10m_lag1,avg_wind_speed_10m_lag2,avg_wind_speed_10m_roll3_mean,avg_wind_speed_10m_roll6_mean,avg_wind_speed_10m_roll3_std,avg_cloud_cover_lag1,avg_cloud_cover_lag2,avg_cloud_cover_roll3_mean,avg_cloud_cover_roll6_mean,avg_cloud_cover_roll3_std,bike_crash_count_1km_grouped_lag1,bike_crash_count_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_mean,bike_crash_count_1km_grouped_roll6_mean,bike_crash_count_1km_grouped_roll3_std,bike_crash_happened_1km_grouped_lag1,bike_crash_happened_1km_grouped_lag2,bike_crash_count_1km_grouped_roll3_sum,bike_crash_count_1km_grouped_roll6_sum,total_count_in_change_lag1,total_count_out_change_lag1,avg_temperature_2m_change_lag1,total_precipitation_change_lag1,in_out_ratio,in_out_ratio_lag1,total_count_sum,total_count_sum_lag1,bike_crashes_per_1000_cyclists_lag1,group_avg_bike_crash_count_history,group_avg_total_count_in_history,group_avg_total_count_out_history,target_bike_crash_count_next_month_1km_grouped,target_bike_crash_happened_next_month_1km_grouped
1,2019,9,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8640.0,8640.0,19292.0,19173.0,3846.0,3884.0,55.0,66.0,0.0,0.0,2.2328703703703705,2.219097222222222,720.0,15.367847222222224,6.65,25.75,73.75656718472223,60.7,60.7,0.0,59.790277777777774,14.400098390138888,3.0,0.38144804161580814,0.0,0,-1.0,-1.8369701987210297e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0062066447608615,,38465.0,,,,,,0.0,0.0
1,2019,10,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8504.0,8504.0,14099.0,13922.0,4248.0,4220.0,89.0,87.0,0.0,0.0,1.6579256820319852,1.6371119473189089,744.0,12.353360215053762,1.05,23.1,83.14819105241935,122.59999999999998,122.59999999999998,0.0,81.79166666666667,16.09404618252688,3.0,0.38144804161580814,0.0,0,-0.8660254037844386,0.5000000000000001,19292.0,,19292.0,19292.0,,19173.0,,19173.0,19173.0,,2.2328703703703705,,2.2328703703703705,2.2328703703703705,,2.219097222222222,,2.219097222222222,2.219097222222222,,3846.0,,3846.0,3846.0,,3884.0,,3884.0,3884.0,,15.367847222222224,,15.367847222222224,15.367847222222224,,60.7,,60.7,60.7,,14.400098390138888,,14.400098390138888,14.400098390138888,,59.790277777777774,,59.790277777777774,59.790277777777774,,0.0,,0.0,0.0,,0.0,,0.0,0.0,-5193.0,-5251.0,-3.014487007168462,61.89999999999998,1.012713690561701,1.0062066447608615,28021.0,38465.0,0.0,0.0,19292.0,19173.0,2.0,1.0
1,2019,11,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8524.0,8524.0,11561.0,11478.0,4560.0,4606.0,40.0,49.0,0.0,0.0,1.3562881276396057,1.3465509150633506,720.0,6.553472222222222,-1.95,14.5,88.23965103194445,67.09999999999998,67.09999999999998,0.0,71.01805555555555,13.966592126388887,3.0,0.38144804161580814,2.0,1,-0.5000000000000004,0.8660254037844384,14099.0,19292.0,16695.5,16695.5,3672.0055147017415,13922.0,19173.0,16547.5,16547.5,3713.017708010561,1.6579256820319852,2.2328703703703705,1.9453980262011779,1.9453980262011779,0.4065472879312584,1.6371119473189089,2.219097222222222,1.9281045847705656,1.9281045847705656,0.41152573443484985,4248.0,3846.0,4047.0,4047.0,284.2569260369921,4220.0,3884.0,4052.0,4052.0,237.58787847867995,12.353360215053762,15.367847222222224,13.860603718637993,13.860603718637993,2.1315642045675602,122.59999999999998,60.7,91.64999999999999,91.64999999999999,43.76990975544728,16.09404618252688,14.400098390138888,15.247072286332884,15.247072286332884,1.1978019709735324,81.79166666666667,59.790277777777774,70.79097222222222,70.79097222222222,15.557331278855699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2538.0,-2444.0,-5.79988799283154,-55.5,1.0072312249520823,1.012713690561701,23039.0,28021.0,0.0,0.0,16695.5,16547.5,0.0,0.0
1,2019,12,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8580.0,8580.0,8819.0,8546.0,4968.0,5005.0,34.0,41.0,0.0,0.0,1.0278554778554778,0.9960372960372961,744.0,5.776209677419355,-2.25,14.75,86.72963117338709,76.4,76.4,0.0,70.38172043010752,17.739043865994628,3.0,0.38144804161580814,0.0,0,-2.4492935982947064e-16,1.0,11561.0,14099.0,14984.0,14984.0,3940.7498017509306,11478.0,13922.0,14857.666666666666,14857.666666666666,3931.9028896112545,1.3562881276396057,1.6579256820319852,1.749028060013987,1.749028060013987,0.44533564816125604,1.3465509150633506,1.6371119473189089,1.734253361534827,1.734253361534827,0.4443102579291271,4560.0,4248.0,4218.0,4218.0,357.9441297185917,4606.0,4220.0,4236.666666666667,4236.666666666667,361.2884350949159,6.553472222222222,12.353360215053762,11.424893219832734,11.424893219832734,4.479937486290108,67.09999999999998,122.59999999999998,83.46666666666665,83.46666666666665,34.041200527204275,13.966592126388887,16.09404618252688,14.820245566351552,14.820245566351552,1.1242365976537625,71.01805555555555,81.79166666666667,70.86666666666666,70.86666666666666,11.001475683143157,2.0,0.0,0.6666666666666666,0.6666666666666666,1.1547005383792517,1.0,0.0,2.0,2.0,-2742.0,-2932.0,-0.7772625448028672,9.300000000000026,1.031944769482799,1.0072312249520823,17365.0,23039.0,0.08680932332132471,0.6666666666666666,14984.0,14857.666666666666,0.0,0.0
1,2020,1,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8696.0,8696.0,10530.0,10012.0,4754.0,4862.0,47.0,44.0,0.0,0.0,1.2109015639374425,1.1513339466421344,744.0,5.773252688172044,-2.05,12.95,87.94244650268818,43.10000000000001,43.10000000000001,0.0,73.48790322580645,16.827578186922043,3.0,0.38144804161580814,0.0,0,0.49999999999999994,0.8660254037844387,8819.0,11561.0,11493.0,13442.75,2640.6567364956773,8546.0,11478.0,11315.333333333334,13279.75,2691.6889369563733,1.0278554778554778,1.3562881276396057,1.3473564291756894,1.5687349144743599,0.3151300477197378,0.9960372960372961,1.3465509150633506,1.3265667194731852,1.5496993451604444,0.32100421053936345,4968.0,4560.0,4592.0,4405.5,361.06509108469623,5005.0,4606.0,4610.333333333333,4428.75,392.5179401420186,5.776209677419355,6.553472222222222,8.227680704898447,10.012722334229391,3.594016949219204,76.4,67.09999999999998,88.69999999999999,81.69999999999999,29.724232538452522,17.739043865994628,13.966592126388887,15.933227391636798,15.54994514126232,1.8913606331266133,70.38172043010752,71.01805555555555,74.39714755077658,70.74543010752689,6.411740427872747,0.0,2.0,0.6666666666666666,0.5,1.1547005383792517,0.0,1.0,2.0,2.0,1711.0,1466.0,-0.002956989247310915,-33.3,1.051737914502597,1.031944769482799,20542.0,17365.0,0.0,0.5,13442.75,13279.75,1.0,1.0
1,2020,2,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8352.0,8352.0,8714.0,8496.0,4951.0,5059.0,80.0,75.0,0.0,0.0,1.0433429118773947,1.0172413793103448,696.0,7.114224137931035,-1.55,15.5,79.656815375,135.7,130.39999981,3.71000002,72.76005747126437,24.10311380729885,3.0,0.38144804161580814,1.0,1,0.8660254037844386,0.5000000000000001,10530.0,8819.0,10303.333333333334,12860.2,1384.9817086638125,10012.0,8546.0,10012.0,12626.2,1465.9999999999998,1.2109015639374425,1.0278554778554778,1.198348389810842,1.4971682443669763,0.16457578192597333,1.1513339466421344,0.9960372960372961,1.1646407192475936,1.4700262654567824,0.17563528099036846,4754.0,4968.0,4760.666666666667,4475.2,204.08168299319107,4862.0,5005.0,4824.333333333333,4515.4,202.14928477076876,5.773252688172044,5.776209677419355,6.034311529271207,9.164828405017921,0.4496087796911795,43.10000000000001,76.4,62.199999999999996,73.97999999999999,17.182258291621626,16.827578186922043,17.739043865994628,16.17773805976852,15.805471750394265,1.968392027787598,73.48790322580645,70.38172043010752,71.62922640382317,71.29392473118278,1.64080475511354,0.0,0.0,0.6666666666666666,0.4,1.1547005383792517,0.0,0.0,2.0,2.0,-1816.0,-1516.0,1.3409714497589906,92.59999999999998,1.0256591337099812,1.051737914502597,17210.0,20542.0,0.0,0.4,12860.2,12626.2,0.0,0.0
1,2020,3,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8800.0,8800.0,13275.0,11997.0,4774.0,4860.0,29.0,34.0,0.0,0.0,1.5085227272727273,1.3632954545454545,744.0,6.723454301075269,-1.95,15.65,74.0197027123656,74.9,74.9,0.0,52.831989247311824,17.288010921344085,0.0,0.38144804161580814,0.0,0,1.0,6.123233995736766e-17,8714.0,10530.0,9354.333333333334,12169.166666666666,1019.5098495518981,8496.0,10012.0,9018.0,11937.833333333334,861.1921968991586,1.0433429118773947,1.2109015639374425,1.094033317890105,1.421530688952046,0.10150667640003605,1.0172413793103448,1.1513339466421344,1.0548708739965917,1.3945621177657095,0.08420953969133842,4951.0,4754.0,4891.0,4554.5,118.94956914591981,5059.0,4862.0,4975.333333333333,4606.0,101.7955467264331,7.114224137931035,5.773252688172044,6.221228834507478,8.823061027170107,0.7733580315085344,135.7,43.10000000000001,85.06666666666666,84.26666666666667,46.90440633174384,24.10311380729885,16.827578186922043,19.55657862007184,17.188412093211696,3.96370143647977,72.76005747126437,73.48790322580645,72.20989370905944,71.53828018786305,1.6245316291185887,1.0,0.0,0.3333333333333333,0.5,0.5773502691896258,1.0,0.0,1.0,3.0,4561.0,3501.0,-0.3907698368557657,-60.79999999999998,1.1065266316579145,1.0256591337099812,25272.0,17210.0,0.05810575246949448,0.5,12169.166666666666,11937.833333333334,1.0,1.0
1,2020,4,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8524.0,8524.0,27143.0,23974.0,3796.0,3710.0,53.0,44.0,0.0,0.0,3.18430314406382,2.812529328953543,720.0,11.702430555555555,-3.05,22.7,63.77813569444444,16.2,16.2,0.0,37.24722222222222,12.081892289416666,0.0,0.38144804161580814,1.0,1,0.8660254037844387,-0.4999999999999998,13275.0,8714.0,10839.666666666666,11166.333333333334,2296.2143482988117,11997.0,8496.0,10168.333333333334,10741.833333333334,1755.7278642583913,1.5085227272727273,1.0433429118773947,1.2542557343625216,1.3008060817691056,0.23560083453320804,1.3632954545454545,1.0172413793103448,1.1772902601659778,1.2519284898195815,0.1744810975593573,4774.0,4951.0,4826.333333333333,4709.166666666667,108.4266264961392,4860.0,5059.0,4927.0,4768.666666666667,114.31972708155004,6.723454301075269,7.114224137931035,6.536977042392782,7.382328873645615,0.6896603753091002,74.9,135.7,84.56666666666666,86.63333333333333,47.050752739284974,17.288010921344085,24.10311380729885,19.406234305188324,17.66973084841256,4.074126577407888,52.831989247311824,72.76005747126437,66.3599833147942,70.37856543278541,11.72123745506337,0.0,1.0,0.3333333333333333,0.5,0.5773502691896258,0.0,1.0,1.0,3.0,13868.0,11977.0,4.978976254480286,-58.7,1.132184866939184,1.1065266316579145,51117.0,25272.0,0.0,0.42857142857142855,12327.142857142857,11946.285714285714,0.0,0.0
1,2020,5,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8928.0,8928.0,27292.0,24280.0,3618.0,3539.0,90.0,67.0,0.0,0.0,3.056899641577061,2.7195340501792113,744.0,13.757258064516128,1.85,26.45,61.120620477150545,14.2,14.2,0.0,48.009408602150536,12.615287579838707,0.0,0.38144804161580814,0.0,0,0.49999999999999994,-0.8660254037844387,27143.0,13275.0,16377.333333333334,13340.333333333334,9598.19588950618,23974.0,11997.0,14822.333333333334,12417.166666666666,8116.588096813423,3.18430314406382,1.5085227272727273,1.9120562610713139,1.555202325441078,1.1260804427863573,2.812529328953543,1.3632954545454545,1.7310220542697807,1.4478313867586872,0.9524609412685286,3796.0,4774.0,4507.0,4633.833333333333,622.0715392943162,3710.0,4860.0,4543.0,4683.666666666667,728.2286728768651,11.702430555555555,6.723454301075269,8.513369664853952,7.273840597062581,2.768710401938229,16.2,74.9,75.59999999999998,68.89999999999999,59.75307523466888,12.081892289416666,17.288010921344085,17.82433900601987,17.001038532894192,6.028530298199336,37.24722222222222,52.831989247311824,54.27975631359948,62.95449135871132,17.80062889240359,1.0,0.0,0.6666666666666666,0.6666666666666666,0.5773502691896258,1.0,0.0,2.0,4.0,149.0,306.0,2.0548275089605728,-2.0,1.1240527182866558,1.132184866939184,51572.0,51117.0,0.019562963397695483,0.5,14179.125,13449.75,1.0,1.0
1,2020,6,Aalst 2,Aalst,3,50.93455666666667,4.015630000000001,8640.0,8640.0,22664.0,21324.0,3251.0,3307.0,56.0,53.0,0.0,0.0,2.623148148148148,2.4680555555555554,720.0,17.25777777777778,8.6,29.65,69.69934447916667,78.3,78.3,0.0,63.6,12.617921208472222,3.0,0.38144804161580814,1.0,1,1.2246467991473532e-16,-1.0,27292.0,27143.0,22570.0,15962.166666666666,8050.050869404492,24280.0,23974.0,20083.666666666668,14550.833333333334,7004.929859272921,3.056899641577061,3.18430314406382,2.5832418376378694,1.8386375777639872,0.9329114576150861,2.7195340501792113,2.812529328953543,2.298452944559403,1.6766619092779973,0.8112038454146228,3618.0,3796.0,4062.6666666666665,4476.833333333333,622.4285768932314,3539.0,3710.0,4036.3333333333335,4505.833333333333,718.4221136165935,13.757258064516128,11.702430555555555,10.727714307048984,8.47447157077823,3.6167876174135176,14.2,16.2,35.099999999999994,60.083333333333336,34.48231430748234,12.615287579838707,12.081892289416666,13.995063596866487,16.775821108469163,2.8642196485778175,48.009408602150536,37.24722222222222,46.02954002389486,59.119716866477155,7.9787937996262075,0.0,1.0,0.3333333333333333,0.3333333333333333,0.5773502691896257,0.0,1.0,1.0,2.0,-4628.0,-2956.0,3.5005197132616512,64.1,1.0628399924967173,1.1240527182866558,43988.0,51572.0,0.0,0.4444444444444444,15636.111111111111,14653.111111111111,0.0,0.0
